period,GP_CODE,all_fast,all_known,all_total,gp_fast,gp_known,gp_total
janfeb,A81001,1978,3041,3041,621,1089,1089
janfeb,A81002,6839,16748,16748,3022,6309,6309
janfeb,A81004,4134,8841,8841,1805,2994,2994
janfeb,A81005,5226,9277,9277,2719,3882,3882
janfeb,A81006,6004,13564,13564,2197,4608,4608
janfeb,A81007,6356,9662,9662,2329,3429,3429
janfeb,A81009,3621,6481,6481,631,1083,1083
janfeb,A81011,5970,10520,10520,3556,4562,4562
janfeb,A81012,2257,4842,4842,1715,2483,2483
janfeb,A81013,2216,6473,6473,918,2339,2339
janfeb,A81014,1252,3096,3096,973,1659,1659
janfeb,A81016,4819,9655,9655,2525,3462,3462
janfeb,A81017,5824,11535,11535,3410,6471,6471
janfeb,A81018,8607,12987,12987,4657,5276,5276
janfeb,A81019,4366,8284,8284,3219,4795,4795
janfeb,A81020,2327,6754,6754,1686,3608,3608
janfeb,A81021,12950,25512,25512,4987,7082,7082
janfeb,A81022,6163,10565,10565,3278,4343,4343
janfeb,A81023,3427,6923,6923,2722,3923,3923
janfeb,A81025,1429,2809,2809,894,1391,1391
janfeb,A81026,6358,13820,13820,4588,7220,7220
janfeb,A81027,7577,14080,14080,4592,6550,6550
janfeb,A81029,1658,4535,4535,1290,2519,2519
janfeb,A81030,3963,12637,12637,2739,5294,5294
janfeb,A81031,5165,12120,12120,2980,4506,4506
janfeb,A81032,7044,14214,14214,3976,6556,6556
janfeb,A81034,13149,19280,19280,8440,11153,11153
janfeb,A81035,3946,6658,6658,2752,3554,3554
janfeb,A81036,8435,17040,17040,4226,6318,6318
janfeb,A81037,2767,5237,5237,1326,2118,2118
janfeb,A81038,1661,2870,2870,1307,1782,1782
janfeb,A81039,4217,11094,11094,2219,4836,4836
janfeb,A81040,2813,6340,6340,2044,3892,3892
janfeb,A81041,3649,7276,7276,2073,3267,3267
janfeb,A81042,7482,14681,14681,3623,5778,5778
janfeb,A81044,12456,22581,22581,1614,3103,3103
janfeb,A81045,4181,9222,9222,2116,3429,3429
janfeb,A81046,3297,7742,7742,2355,3755,3755
janfeb,A81048,5409,10782,10782,2677,3599,3599
janfeb,A81049,3383,5172,5172,1665,1940,1940
janfeb,A81051,3122,6612,6612,1567,2415,2415
janfeb,A81052,5182,11604,11604,2542,3867,3867
janfeb,A81053,3181,6328,6328,1586,2482,2482
janfeb,A81054,4575,9586,9586,1508,2509,2509
janfeb,A81056,864,2367,2367,645,1616,1616
janfeb,A81057,4633,9618,9618,2403,4801,4801
janfeb,A81058,3936,8279,8279,1792,2924,2924
janfeb,A81060,4491,7208,7208,1295,2017,2017
janfeb,A81063,2278,4690,4690,1536,1882,1882
janfeb,A81064,6266,8696,8696,4190,4313,4313
janfeb,A81066,1577,4098,4098,1140,2145,2145
janfeb,A81067,5063,9232,9232,3573,4038,4038
janfeb,A81070,1813,4712,4712,580,1239,1239
janfeb,A81602,823,1836,1836,588,1023,1023
janfeb,A81608,12443,17105,17105,7259,8191,8191
janfeb,A81610,2640,5924,5924,1504,1922,1922
janfeb,A81611,13089,16529,16529,6074,6745,6745
janfeb,A81612,1459,4266,4266,504,1233,1233
janfeb,A81618,5017,9857,9857,2012,3570,3570
janfeb,A81621,1028,1999,1999,548,814,814
janfeb,A81622,1793,5040,5040,370,772,772
janfeb,A81629,2299,7356,7356,591,1809,1809
janfeb,A81631,3000,7319,7319,686,2336,2336
janfeb,A82003,1721,7506,7506,1039,2973,2973
janfeb,A82004,1173,2589,2589,954,1610,1610
janfeb,A82005,1872,4607,4607,1166,2104,2104
janfeb,A82006,5168,7710,7710,2800,3460,3460
janfeb,A82007,4363,9781,9781,3338,5148,5148
janfeb,A82008,2053,6715,6715,1608,3782,3782
janfeb,A82009,5744,9681,9681,5181,6946,6946
janfeb,A82010,2466,6191,6191,1438,2833,2833
janfeb,A82012,8772,16081,16081,5580,8537,8537
janfeb,A82013,4583,9033,9033,2875,4379,4379
janfeb,A82014,2860,5730,5730,2098,3459,3459
janfeb,A82015,5062,9767,9767,3590,5623,5623
janfeb,A82016,13857,35367,35367,7496,14586,14586
janfeb,A82018,13334,17444,17444,11231,12246,12246
janfeb,A82020,4508,10453,10453,2872,4195,4195
janfeb,A82021,5496,14197,14197,1990,4540,4540
janfeb,A82022,2319,4946,4946,1425,2308,2308
janfeb,A82023,5131,8464,8464,2762,3699,3699
janfeb,A82024,3044,5667,5667,1037,1667,1667
janfeb,A82025,3543,9344,9344,1838,3536,3536
janfeb,A82026,5231,15149,15149,3810,7387,7387
janfeb,A82027,4620,8823,8823,2392,3777,3777
janfeb,A82028,3586,8746,8746,2076,4748,4748
janfeb,A82029,1170,3074,3074,942,1927,1927
janfeb,A82030,2570,5508,5508,2064,3173,3173
janfeb,A82031,1843,4240,4240,1005,2243,2243
janfeb,A82032,13908,22861,22861,2909,4586,4586
janfeb,A82033,4130,9345,9345,2382,3899,3899
janfeb,A82035,6391,15281,15281,1440,4049,4049
janfeb,A82036,7259,14079,14079,2831,4672,4672
janfeb,A82037,2439,4542,4542,1654,2370,2370
janfeb,A82038,4387,6696,6696,2732,3567,3567
janfeb,A82039,2621,6311,6311,1938,3121,3121
janfeb,A82041,8836,16700,16700,4283,5783,5783
janfeb,A82044,9091,20119,20119,3675,6710,6710
janfeb,A82045,5165,9514,9514,3921,5043,5043
janfeb,A82046,1536,3699,3699,1007,1677,1677
janfeb,A82047,18629,36099,36099,7476,12817,12817
janfeb,A82053,3237,6999,6999,1886,2852,2852
janfeb,A82055,6816,11698,11698,1901,3480,3480
janfeb,A82062,3613,5975,5975,2426,3190,3190
janfeb,A82064,3325,7498,7498,1147,2514,2514
janfeb,A82068,1524,3143,3143,1328,1722,1722
janfeb,A82070,1527,5281,5281,1120,2598,2598
janfeb,A82071,1467,2998,2998,1013,1716,1716
janfeb,A82072,2021,5463,5463,920,2670,2670
janfeb,A82075,4595,8694,8694,2217,3242,3242
