Indicator ID,Indicator Name,Parent Code,Parent Name,Area Code,Area Name,Area Type,Sex,Age,Category Type,Category,Time period,Value,Lower CI 95.0 limit,Upper CI 95.0 limit,Lower CI 99.8 limit,Upper CI 99.8 limit,Count,Denominator,Value note,Recent Trend,Compared to England value or percentiles,Column not used,Time period Sortable,New data,Compared to goal,Time period range
94240,Deprivation score (IMD 2025),,,E92000001,England,England,Persons,All ages,,,2025,21.80951,,,,,,,,Cannot be calculated,Not compared,Not compared,20250000,,,1y
94240,Deprivation score (IMD 2025),E92000001,England,A81001,The Densham Surgery,GPs,Persons,All ages,,,2025,33.519,,,,,,,,Cannot be calculated,Not compared,Not compared,20250000,,,1y
94240,Deprivation score (IMD 2025),E92000001,England,A81002,Queens Park Medical Centre,GPs,Persons,All ages,,,2025,31.289,,,,,,,,Cannot be calculated,Not compared,Not compared,20250000,,,1y
94240,Deprivation score (IMD 2025),E92000001,England,A81004,Acklam Medical Centre,GPs,Persons,All ages,,,2025,24.556,,,,,,,,Cannot be calculated,Not compared,Not compared,20250000,,,1y
94240,Deprivation score (IMD 2025),E92000001,England,A81005,Springwood Surgery,GPs,Persons,All ages,,,2025,16.448,,,,,,,,Cannot be calculated,Not compared,Not compared,20250000,,,1y
94240,Deprivation score (IMD 2025),E92000001,England,A81006,Tennant Street Medical Practice,GPs,Persons,All ages,,,2025,34.168,,,,,,,,Cannot be calculated,Not compared,Not compared,20250000,,,1y
94240,Deprivation score (IMD 2025),E92000001,England,A81007,Bankhouse Surgery,GPs,Persons,All ages,,,2025,39.266,,,,,,,,Cannot be calculated,Not compared,Not compared,20250000,,,1y
94240,Deprivation score (IMD 2025),E92000001,England,A81009,Village Medical Centre,GPs,Persons,All ages,,,2025,37.658,,,,,,,,Cannot be calculated,Not compared,Not compared,20250000,,,1y
94240,Deprivation score (IMD 2025),E92000001,England,A81011,Chadwick Practice,GPs,Persons,All ages,,,2025,39.264,,,,,,,,Cannot be calculated,Not compared,Not compared,20250000,,,1y
94240,Deprivation score (IMD 2025),E92000001,England,A81012,Westbourne Medical Centre,GPs,Persons,All ages,,,2025,52.819,,,,,,,,Cannot be calculated,Not compared,Not compared,20250000,,,1y
94240,Deprivation score (IMD 2025),E92000001,England,A81013,Brotton Surgery,GPs,Persons,All ages,,,2025,33.112,,,,,,,,Cannot be calculated,Not compared,Not compared,20250000,,,1y
94240,Deprivation score (IMD 2025),E92000001,England,A81014,Queenstree Practice,GPs,Persons,All ages,,,2025,24.605,,,,,,,,Cannot be calculated,Not compared,Not compared,20250000,,,1y
94240,Deprivation score (IMD 2025),E92000001,England,A81016,Park Surgery,GPs,Persons,All ages,,,2025,48.445,,,,,,,,Cannot be calculated,Not compared,Not compared,20250000,,,1y
94240,Deprivation score (IMD 2025),E92000001,England,A81017,Woodbridge Practice,GPs,Persons,All ages,,,2025,18.095,,,,,,,,Cannot be calculated,Not compared,Not compared,20250000,,,1y
94240,Deprivation score (IMD 2025),E92000001,England,A81018,Bentley Medical Practice,GPs,Persons,All ages,,,2025,30.83,,,,,,,,Cannot be calculated,Not compared,Not compared,20250000,,,1y
94240,Deprivation score (IMD 2025),E92000001,England,A81019,Crossfell Health Centre,GPs,Persons,All ages,,,2025,52.403,,,,,,,,Cannot be calculated,Not compared,Not compared,20250000,,,1y
94240,Deprivation score (IMD 2025),E92000001,England,A81020,Martonside Medical Centre,GPs,Persons,All ages,,,2025,34.039,,,,,,,,Cannot be calculated,Not compared,Not compared,20250000,,,1y
94240,Deprivation score (IMD 2025),E92000001,England,A81021,Normanby Medical Centre,GPs,Persons,All ages,,,2025,37.744,,,,,,,,Cannot be calculated,Not compared,Not compared,20250000,,,1y
94240,Deprivation score (IMD 2025),E92000001,England,A81022,Hillside Practice,GPs,Persons,All ages,,,2025,30.908,,,,,,,,Cannot be calculated,Not compared,Not compared,20250000,,,1y
94240,Deprivation score (IMD 2025),E92000001,England,A81023,The Endeavour Practice,GPs,Persons,All ages,,,2025,49.491,,,,,,,,Cannot be calculated,Not compared,Not compared,20250000,,,1y
94240,Deprivation score (IMD 2025),E92000001,England,A81025,The Dovecot Surgery,GPs,Persons,All ages,,,2025,35.479,,,,,,,,Cannot be calculated,Not compared,Not compared,20250000,,,1y
94240,Deprivation score (IMD 2025),E92000001,England,A81026,Linthorpe Surgery,GPs,Persons,All ages,,,2025,45.894,,,,,,,,Cannot be calculated,Not compared,Not compared,20250000,,,1y
94240,Deprivation score (IMD 2025),E92000001,England,A81027,Yarm Medical Practice,GPs,Persons,All ages,,,2025,9.338,,,,,,,,Cannot be calculated,Not compared,Not compared,20250000,,,1y
