GP_CODE,total_oc_submissions,TOTAL_PATIENTS,oc_rate,tertile,REGION_NAME,SUPPLIER
A81001,157.0,3743,2.0972481966337164,Mid,NORTH EAST AND YORKSHIRE,ECONSULT HEALTH LIMITED
A81002,566.0,18654,1.517100889889568,Low,NORTH EAST AND YORKSHIRE,TPP
A81004,2005.0,11419,8.77922760311761,High,NORTH EAST AND YORKSHIRE,"ECONSULT HEALTH LIMITED, TPP"
A81005,405.0,7592,2.6672813487881983,Mid,NORTH EAST AND YORKSHIRE,ECONSULT HEALTH LIMITED
A81006,796.0,14558,2.7338920181343593,Mid,NORTH EAST AND YORKSHIRE,TPP
A81007,236.0,10436,1.1307014181678805,Low,NORTH EAST AND YORKSHIRE,ECONSULT HEALTH LIMITED
A81009,1427.0,7923,9.005427237157644,High,NORTH EAST AND YORKSHIRE,ECONSULT HEALTH LIMITED
A81011,217.0,12009,0.9034890498792573,Low,NORTH EAST AND YORKSHIRE,ECONSULT HEALTH LIMITED
A81012,106.0,5642,0.9393831974477136,Low,NORTH EAST AND YORKSHIRE,ECONSULT HEALTH LIMITED
A81013,60.0,7801,0.3845660812716319,Low,NORTH EAST AND YORKSHIRE,ECONSULT HEALTH LIMITED
A81014,119.0,4107,1.448746043340638,Low,NORTH EAST AND YORKSHIRE,ECONSULT HEALTH LIMITED
A81016,278.0,12666,1.0974261803252803,Low,NORTH EAST AND YORKSHIRE,ECONSULT HEALTH LIMITED
A81017,290.0,18231,0.7953485820854589,Low,NORTH EAST AND YORKSHIRE,ECONSULT HEALTH LIMITED
A81018,786.0,10111,3.8868558995153792,Mid,NORTH EAST AND YORKSHIRE,ECONSULT HEALTH LIMITED
A81019,344.0,8828,1.9483461712732215,Mid,NORTH EAST AND YORKSHIRE,ECONSULT HEALTH LIMITED
A81020,357.0,7825,2.281150159744409,Mid,NORTH EAST AND YORKSHIRE,ECONSULT HEALTH LIMITED
A81021,367.0,26481,0.692949662021827,Low,NORTH EAST AND YORKSHIRE,ECONSULT HEALTH LIMITED
A81022,246.0,9344,1.3163527397260275,Low,NORTH EAST AND YORKSHIRE,ECONSULT HEALTH LIMITED
A81023,304.0,8118,1.8723823601872382,Mid,NORTH EAST AND YORKSHIRE,ECONSULT HEALTH LIMITED
A81025,96.0,4084,1.1753183153770812,Low,NORTH EAST AND YORKSHIRE,ECONSULT HEALTH LIMITED
A81026,3876.0,20556,9.42790426152948,High,NORTH EAST AND YORKSHIRE,ECONSULT HEALTH LIMITED
A81027,1691.0,14223,5.944596779863601,Mid,NORTH EAST AND YORKSHIRE,TPP
A81029,50.0,6847,0.3651234117131591,Low,NORTH EAST AND YORKSHIRE,ECONSULT HEALTH LIMITED
A81030,3145.0,17039,9.228827982862844,High,NORTH EAST AND YORKSHIRE,ECONSULT HEALTH LIMITED
A81031,389.0,13604,1.4297265510144075,Low,NORTH EAST AND YORKSHIRE,ECONSULT HEALTH LIMITED
A81032,455.0,11652,1.9524545142464813,Mid,NORTH EAST AND YORKSHIRE,TPP
A81034,636.0,20870,1.5237182558696694,Low,NORTH EAST AND YORKSHIRE,ECONSULT HEALTH LIMITED
A81035,382.0,9545,2.001047668936616,Mid,NORTH EAST AND YORKSHIRE,ECONSULT HEALTH LIMITED
A81036,1966.0,16036,6.1299575954103265,Mid,NORTH EAST AND YORKSHIRE,ECONSULT HEALTH LIMITED
A81037,95.0,6093,0.7795831281798785,Low,NORTH EAST AND YORKSHIRE,ECONSULT HEALTH LIMITED
A81038,722.0,3703,9.748852281933567,High,NORTH EAST AND YORKSHIRE,ECONSULT HEALTH LIMITED
A81039,1702.0,13160,6.466565349544074,Mid,NORTH EAST AND YORKSHIRE,TPP
A81040,265.0,8513,1.5564430870433454,Low,NORTH EAST AND YORKSHIRE,ECONSULT HEALTH LIMITED
A81041,75.0,9390,0.3993610223642172,Low,NORTH EAST AND YORKSHIRE,ECONSULT HEALTH LIMITED
A81042,433.0,15796,1.3706001519371993,Low,NORTH EAST AND YORKSHIRE,ECONSULT HEALTH LIMITED
A81044,6106.0,19463,15.686173765606535,High,NORTH EAST AND YORKSHIRE,ECONSULT HEALTH LIMITED
A81045,234.0,6266,1.8672199170124482,Mid,NORTH EAST AND YORKSHIRE,ECONSULT HEALTH LIMITED
A81046,443.0,12171,1.8198997617286996,Mid,NORTH EAST AND YORKSHIRE,ECONSULT HEALTH LIMITED
A81048,195.0,7142,1.365163819658359,Low,NORTH EAST AND YORKSHIRE,ECONSULT HEALTH LIMITED
A81049,48.0,6348,0.3780718336483932,Low,NORTH EAST AND YORKSHIRE,ECONSULT HEALTH LIMITED
A81051,198.0,7257,1.364200082678793,Low,NORTH EAST AND YORKSHIRE,ECONSULT HEALTH LIMITED
A81052,181.0,10111,0.8950647809316585,Low,NORTH EAST AND YORKSHIRE,ECONSULT HEALTH LIMITED
