Indicator ID,Indicator Name,Parent Code,Parent Name,Area Code,Area Name,Area Type,Sex,Age,Category Type,Category,Time period,Value,Lower CI 95.0 limit,Upper CI 95.0 limit,Lower CI 99.8 limit,Upper CI 99.8 limit,Count,Denominator,Value note,Recent Trend,Compared to England value or percentiles,Column not used,Time period Sortable,New data,Compared to goal,Time period range
93553,Deprivation score (IMD 2019),,,E92000001,England,England,Persons,All ages,,,2019,21.7220870988933,,,,,,,,Cannot be calculated,Not compared,Not compared,20190000,,,1y
93553,Deprivation score (IMD 2019),E92000001,England,A81001,The Densham Surgery,GPs,Persons,All ages,,,2019,32.3609392614188,,,,,,,,Cannot be calculated,Not compared,Not compared,20190000,,,1y
93553,Deprivation score (IMD 2019),E92000001,England,A81002,Queens Park Medical Centre,GPs,Persons,All ages,,,2019,31.9219576370791,,,,,,,,Cannot be calculated,Not compared,Not compared,20190000,,,1y
93553,Deprivation score (IMD 2019),E92000001,England,A81004,Acklam Medical Centre,GPs,Persons,All ages,,,2019,28.0240260610573,,,,,,,,Cannot be calculated,Not compared,Not compared,20190000,,,1y
93553,Deprivation score (IMD 2019),E92000001,England,A81005,Springwood Surgery,GPs,Persons,All ages,,,2019,15.398206930816,,,,,,,,Cannot be calculated,Not compared,Not compared,20190000,,,1y
93553,Deprivation score (IMD 2019),E92000001,England,A81006,Tennant Street Medical Practice,GPs,Persons,All ages,,,2019,35.6123870901918,,,,,,,,Cannot be calculated,Not compared,Not compared,20190000,,,1y
93553,Deprivation score (IMD 2019),E92000001,England,A81007,Bankhouse Surgery,GPs,Persons,All ages,,,2019,34.4445323985979,,,,,,,,Cannot be calculated,Not compared,Not compared,20190000,,,1y
93553,Deprivation score (IMD 2019),E92000001,England,A81009,Village Medical Centre,GPs,Persons,All ages,,,2019,35.8658491784038,,,,,,,,Cannot be calculated,Not compared,Not compared,20190000,,,1y
93553,Deprivation score (IMD 2019),E92000001,England,A81011,Chadwick Practice,GPs,Persons,All ages,,,2019,36.3089020068855,,,,,,,,Cannot be calculated,Not compared,Not compared,20190000,,,1y
93553,Deprivation score (IMD 2019),E92000001,England,A81012,Westbourne Medical Centre,GPs,Persons,All ages,,,2019,52.6470209196763,,,,,,,,Cannot be calculated,Not compared,Not compared,20190000,,,1y
93553,Deprivation score (IMD 2019),E92000001,England,A81013,Brotton Surgery,GPs,Persons,All ages,,,2019,29.722752783285,,,,,,,,Cannot be calculated,Not compared,Not compared,20190000,,,1y
