area_code,area_name,la_type,chronic_acsc_value,chronic_acsc_count,chronic_acsc_denominator,chronic_acsc_lower_ci95,chronic_acsc_upper_ci95,chronic_acsc_note,chronic_acsc_period,acute_notusual_adm_value,acute_notusual_adm_count,acute_notusual_adm_denominator,acute_notusual_adm_lower_ci95,acute_notusual_adm_upper_ci95,acute_notusual_adm_note,acute_notusual_adm_period,child_lrti_adm_value,child_lrti_adm_count,child_lrti_adm_denominator,child_lrti_adm_lower_ci95,child_lrti_adm_upper_ci95,child_lrti_adm_note,child_lrti_adm_period,spend_emergency_planning_value,spend_emergency_planning_count,spend_emergency_planning_denominator,spend_emergency_planning_lower_ci95,spend_emergency_planning_upper_ci95,spend_emergency_planning_note,spend_emergency_planning_period
E06000001,Hartlepool,UA,119.2,,,,,,2020/21,1280.5,,,,,,2020/21,84.5,,,,,,2020/21,256.0,,,,,,2020/21
E06000002,Middlesbrough,UA,292.4,,,,,,2020/21,1216.6,,,,,,2020/21,84.8,,,,,,2020/21,45.0,,,,,,2020/21
E06000003,Redcar and Cleveland,UA,235.4,,,,,,2020/21,1067.7,,,,,,2020/21,80.4,,,,,,2020/21,96.0,,,,,,2020/21
E06000004,Stockton-on-Tees,UA,184.5,,,,,,2020/21,1237.2,,,,,,2020/21,86.5,,,,,,2020/21,106.0,,,,,,2020/21
E06000005,Darlington,UA,220.8,,,,,,2020/21,1036.6,,,,,,2020/21,176.5,,,,,,2020/21,79.0,,,,,,2020/21
E06000006,Halton,UA,181.6,,,,,,2020/21,1198.6,,,,,,2020/21,84.6,,,,,,2020/21,0.0,,,,,,2020/21
E06000007,Warrington,UA,137.7,,,,,,2020/21,875.8,,,,,,2020/21,110.8,,,,,,2020/21,0.0,,,,,,2020/21
E06000008,Blackburn with Darwen,UA,246.2,,,,,,2020/21,1354.3,,,,,,2020/21,103.9,,,,,,2020/21,280.0,,,,,,2020/21
E06000009,Blackpool,UA,247.0,,,,,,2020/21,1281.1,,,,,,2020/21,190.4,,,,,,2020/21,100.0,,,,,,2020/21
E06000010,Kingston upon Hull,UA,126.9,,,,,,2020/21,988.3,,,,,,2020/21,85.0,,,,,,2020/21,153.0,,,,,,2020/21
