gp_code,gp_name,postcode,pcn_name,region,list_size,wd_total,clin,adm,unk,unk_share,clin_of_cat,category,oc_rate_12m,supplier,satisfaction,continuity
F84022,STRATFORD HEALTH CENTRE,E15 1EN,NEWHAM NORTH WEST 2 PCN,LONDON,9201.6,123.0,0.0,123.0,0.0,0.0,0.0,admin-dominant (split present),4.3,Klinik Healthcare Solutions UK Ltd,70.9,26.3
L82022,OLD BRIDGE SURGERY,PL13 1HA,EAST CORNWALL PCN,SOUTH WEST,9854.5,128.0,0.0,128.0,0.0,0.0,0.0,admin-dominant (split present),26.3,ACCURX LIMITED,83.4,26.0
F84086,THE FOREST PRACTICE,E7 0EP,NEWHAM NORTH WEST 2 PCN,LONDON,6755.7,112.0,0.0,112.0,0.0,0.0,0.0,admin-dominant (split present),6.8,Klinik Healthcare Solutions UK Ltd,85.8,32.5
G81088,WEALDEN RIDGE MEDICAL PARTNERSHIP,BN8 4LR,GREATER WEALDEN PCN,SOUTH EAST,21950.1,163.0,0.0,163.0,0.0,0.0,0.0,admin-dominant (split present),1.6,ACCURX LIMITED,89.5,46.8
K82046,THE SIMPSON CENTRE,HP9 1TX,ARC BUCKS PCN,SOUTH EAST,18479.2,699.0,0.0,699.0,0.0,0.0,0.0,admin-dominant (split present),12.0,Klinik Healthcare Solutions UK Ltd,88.3,50.2
Y02646,TURNER ROAD SURGERY,CO4 5JR,CREFFIELD MEDICAL GROUP PCN,EAST OF ENGLAND,10621.8,325.0,0.0,325.0,0.0,0.0,0.0,admin-dominant (split present),3.7,ACCURX LIMITED,67.4,40.7
D83050,CARDINAL MEDICAL PRACTICE,IP1 5EN,WOLSEY PCN,EAST OF ENGLAND,28713.1,9660.0,0.0,416.0,9244.0,95.7,0.0,admin-dominant (split present),183.9,"EVERGREEN HEALTH SOLUTIONS, SILICON PRACTICE LTD, TPP",61.9,32.1
F83020,ADELAIDE MEDICAL CENTRE,NW3 3RY,NORTH CAMDEN PCN,LONDON,11613.3,1852.0,2.0,1078.0,772.0,41.7,0.2,admin-dominant (split present),0.0,SILICON PRACTICE LTD,82.7,41.0
M87028,ANCHOR MEDICAL PRACTICE,DY2 9PU,DUDLEY AND NETHERTON PCN,MIDLANDS,8635.2,927.0,1.0,532.0,394.0,42.5,0.2,admin-dominant (split present),0.4,SILICON PRACTICE LTD,83.6,60.4
D82053,MUNDESLEY MEDICAL CENTRE,NR11 8AR,NORTH NORFOLK 2 PCN,EAST OF ENGLAND,5777.2,105.0,2.0,103.0,0.0,0.0,1.9,admin-dominant (split present),0.3,TPP,89.9,51.7
