gp_code,month,inbound,ivr_ended,answered,missed,callback_req
A81004,2024-10,7985.0,1444.0,4609.0,1888.0,25.0
A81012,2024-10,5681.0,1513.0,3693.0,373.0,92.0
A81019,2024-10,8678.0,2650.0,4536.0,1088.0,403.0
A81041,2024-10,11862.0,3937.0,6290.0,950.0,656.0
A81058,2024-10,7385.0,1761.0,4702.0,877.0,31.0
A81612,2024-10,3553.0,728.0,2656.0,164.0,
A81618,2024-10,11313.0,3531.0,4672.0,2156.0,950.0
A82009,2024-10,6701.0,770.0,5220.0,621.0,90.0
A82014,2024-10,4582.0,432.0,3134.0,110.0,
A82021,2024-10,22577.0,5456.0,7726.0,3168.0,2865.0
A82053,2024-10,2142.0,331.0,1586.0,195.0,19.0
A82071,2024-10,4345.0,750.0,3162.0,393.0,29.0
A83003,2024-10,6953.0,1347.0,4177.0,557.0,859.0
A83007,2024-10,9055.0,1800.0,5523.0,1374.0,308.0
A83016,2024-10,10719.0,2746.0,6945.0,476.0,448.0
A83018,2024-10,12549.0,3611.0,6679.0,531.0,1098.0
A83021,2024-10,20694.0,4511.0,14084.0,991.0,1108.0
A83023,2024-10,6054.0,1434.0,4199.0,122.0,4.0
A83025,2024-10,17814.0,3941.0,11186.0,1649.0,1036.0
A83031,2024-10,9129.0,2557.0,5822.0,313.0,436.0
A83033,2024-10,9829.0,2636.0,4924.0,1645.0,300.0
A83041,2024-10,6728.0,914.0,5475.0,266.0,14.0
A83044,2024-10,2105.0,519.0,1527.0,52.0,3.0
A83045,2024-10,11432.0,1549.0,9441.0,357.0,85.0
A83046,2024-10,9709.0,2410.0,6374.0,707.0,210.0
A83047,2024-10,11049.0,2854.0,6506.0,886.0,726.0
A83049,2024-10,12178.0,1879.0,9044.0,362.0,190.0
A83070,2024-10,4699.0,568.0,3923.0,203.0,1.0
A83071,2024-10,4231.0,819.0,3176.0,150.0,81.0
A83075,2024-10,7590.0,701.0,6334.0,528.0,20.0
A83618,2024-10,6952.0,1379.0,4870.0,568.0,104.0
A83626,2024-10,2815.0,414.0,1809.0,106.0,2.0
A83627,2024-10,6092.0,898.0,4985.0,203.0,6.0
A83636,2024-10,5702.0,1251.0,4026.0,268.0,157.0
A84009,2024-10,32430.0,8317.0,14909.0,1894.0,1101.0
A84014,2024-10,14844.0,2711.0,10278.0,1406.0,156.0
A84016,2024-10,5698.0,1047.0,4133.0,430.0,65.0
A84031,2024-10,5806.0,1000.0,3245.0,292.0,2.0
A84034,2024-10,6859.0,1822.0,3487.0,219.0,
A85004,2024-10,8356.0,2252.0,4517.0,1023.0,564.0
A85006,2024-10,7271.0,1707.0,4936.0,374.0,254.0
A85007,2024-10,9087.0,1792.0,4949.0,1069.0,4.0
A85009,2024-10,8289.0,2224.0,4408.0,234.0,175.0
A85011,2024-10,8737.0,2304.0,4972.0,922.0,512.0
A85016,2024-10,13944.0,4778.0,6773.0,1566.0,557.0
A85019,2024-10,9345.0,2423.0,4721.0,1044.0,1157.0
A85611,2024-10,7230.0,1032.0,5031.0,1020.0,147.0
A85616,2024-10,5868.0,1054.0,4020.0,792.0,
A86008,2024-10,8136.0,1771.0,5173.0,923.0,48.0
A86012,2024-10,8619.0,2070.0,5137.0,729.0,434.0
A86013,2024-10,8047.0,2341.0,5080.0,429.0,194.0
A86018,2024-10,11732.0,2912.0,4358.0,1230.0,247.0
A86021,2024-10,7725.0,1753.0,5423.0,288.0,260.0
A86022,2024-10,8376.0,2244.0,5237.0,535.0,360.0
A86025,2024-10,15555.0,6182.0,7371.0,1063.0,684.0
A86026,2024-10,8308.0,1924.0,5374.0,402.0,599.0
A86040,2024-10,8098.0,1660.0,4348.0,636.0,144.0
A87004,2024-10,26293.0,5878.0,8155.0,3547.0,7549.0
A87008,2024-10,7384.0,1673.0,5455.0,207.0,39.0
A87011,2024-10,5761.0,953.0,4409.0,368.0,31.0
A87012,2024-10,10034.0,2634.0,4442.0,700.0,292.0
A87013,2024-10,8046.0,1982.0,4669.0,800.0,149.0
A87029,2024-10,21803.0,4921.0,5663.0,2451.0,4574.0
A87030,2024-10,6283.0,897.0,5009.0,284.0,81.0
A87615,2024-10,5811.0,1341.0,4208.0,246.0,7.0
A88001,2024-10,2886.0,504.0,1898.0,371.0,96.0
A88006,2024-10,8613.0,1617.0,4670.0,930.0,27.0
A88012,2024-10,3546.0,620.0,2732.0,191.0,2.0
A88016,2024-10,6897.0,2063.0,3882.0,584.0,359.0
A88022,2024-10,8068.0,2543.0,4440.0,487.0,500.0
A88025,2024-10,3804.0,516.0,3140.0,131.0,1.0
A88613,2024-10,3385.0,640.0,2431.0,252.0,27.0
A89001,2024-10,11836.0,4079.0,6710.0,793.0,254.0
A89002,2024-10,7621.0,1892.0,5123.0,606.0,
A89004,2024-10,15507.0,6602.0,8269.0,406.0,220.0
A89005,2024-10,5505.0,1134.0,4141.0,218.0,12.0
A89006,2024-10,8796.0,1576.0,6963.0,257.0,
A89007,2024-10,12650.0,2919.0,7487.0,1606.0,638.0
A89008,2024-10,6760.0,1620.0,4512.0,511.0,110.0
A89009,2024-10,11270.0,2427.0,7318.0,1242.0,278.0
A89010,2024-10,9829.0,3178.0,4395.0,474.0,1702.0
A89012,2024-10,9487.0,1979.0,6228.0,644.0,636.0
A89013,2024-10,7153.0,1141.0,5738.0,273.0,1.0
A89015,2024-10,10195.0,2369.0,7112.0,679.0,
A89016,2024-10,8052.0,1423.0,3971.0,1011.0,183.0
A89019,2024-10,18420.0,8102.0,3878.0,1241.0,5191.0
A89020,2024-10,6194.0,1747.0,3662.0,528.0,251.0
A89021,2024-10,9337.0,2330.0,6691.0,299.0,
A89022,2024-10,6670.0,2089.0,4180.0,397.0,
A89023,2024-10,10098.0,3456.0,5700.0,452.0,489.0
A89026,2024-10,8790.0,2027.0,5647.0,1116.0,
A89028,2024-10,8621.0,2301.0,5307.0,797.0,216.0
A89030,2024-10,7616.0,2169.0,4901.0,307.0,230.0
A89031,2024-10,5951.0,1686.0,3638.0,299.0,4.0
A89034,2024-10,3570.0,674.0,2300.0,558.0,
A89035,2024-10,10087.0,2958.0,5503.0,942.0,684.0
A89036,2024-10,2486.0,737.0,1081.0,668.0,
A89040,2024-10,4368.0,597.0,3327.0,444.0,
A89041,2024-10,9645.0,1897.0,6911.0,611.0,226.0
A89614,2024-10,3686.0,594.0,2582.0,510.0,
A89616,2024-10,2801.0,483.0,2193.0,124.0,
A89617,2024-10,4239.0,912.0,2960.0,341.0,25.0
B81004,2024-10,11383.0,2223.0,5786.0,1143.0,486.0
B81005,2024-10,7497.0,1372.0,5386.0,718.0,14.0
B81013,2024-10,7143.0,1948.0,4233.0,499.0,463.0
B81020,2024-10,10060.0,3261.0,5021.0,701.0,1070.0
B81022,2024-10,9984.0,2651.0,3802.0,1198.0,463.0
B81025,2024-10,28626.0,15329.0,5219.0,2497.0,4915.0
B81029,2024-10,7249.0,1448.0,4865.0,578.0,261.0
B81034,2024-10,14716.0,4369.0,7729.0,1486.0,1132.0
B81036,2024-10,8084.0,1831.0,5860.0,241.0,17.0
B81041,2024-10,1514.0,212.0,1173.0,121.0,7.0
B81043,2024-10,14762.0,3043.0,6993.0,773.0,878.0
B81046,2024-10,10684.0,2329.0,5470.0,2482.0,402.0
B81048,2024-10,50062.0,12857.0,23995.0,4153.0,9057.0
B81063,2024-10,6223.0,744.0,4459.0,1008.0,12.0
B81064,2024-10,10811.0,3186.0,4897.0,1066.0,940.0
B81082,2024-10,4883.0,1313.0,2880.0,671.0,19.0
B81088,2024-10,8493.0,2419.0,3237.0,558.0,841.0
B81092,2024-10,8591.0,2601.0,4172.0,757.0,778.0
B81100,2024-10,3636.0,485.0,2806.0,341.0,4.0
B81104,2024-10,4412.0,614.0,3232.0,261.0,88.0
B81118,2024-10,5309.0,1147.0,3663.0,416.0,55.0
B81616,2024-10,3283.0,483.0,2557.0,176.0,47.0
B81619,2024-10,1465.0,554.0,872.0,37.0,2.0
B81663,2024-10,3627.0,1437.0,1717.0,337.0,136.0
B81665,2024-10,1761.0,249.0,1390.0,95.0,27.0
B82002,2024-10,4884.0,1315.0,2219.0,386.0,907.0
B82005,2024-10,29182.0,13452.0,5820.0,2660.0,6487.0
B82007,2024-10,5868.0,684.0,4500.0,599.0,58.0
B82008,2024-10,7103.0,1043.0,5552.0,376.0,85.0
B82010,2024-10,5162.0,878.0,3556.0,728.0,
B82011,2024-10,5034.0,666.0,3983.0,311.0,61.0
B82012,2024-10,12555.0,3197.0,4442.0,1551.0,3349.0
B82014,2024-10,4119.0,674.0,3167.0,198.0,65.0
B82017,2024-10,14440.0,2990.0,8039.0,2064.0,21.0
B82018,2024-10,4955.0,474.0,4160.0,309.0,
B82019,2024-10,2753.0,487.0,1920.0,296.0,45.0
B82021,2024-10,6519.0,1766.0,3025.0,852.0,808.0
B82024,2024-10,9706.0,1717.0,5535.0,1651.0,803.0
B82025,2024-10,16285.0,3321.0,10048.0,2010.0,686.0
B82026,2024-10,19788.0,5955.0,9269.0,3140.0,958.0
B82030,2024-10,4752.0,573.0,3869.0,297.0,9.0
B82031,2024-10,6873.0,1353.0,4618.0,846.0,36.0
B82033,2024-10,9484.0,1603.0,6562.0,951.0,10.0
B82036,2024-10,5672.0,701.0,4548.0,422.0,
B82037,2024-10,6910.0,1037.0,4735.0,671.0,178.0
B82038,2024-10,15881.0,5904.0,8005.0,870.0,1062.0
B82041,2024-10,8461.0,2289.0,2610.0,1303.0,2200.0
B82042,2024-10,7679.0,1663.0,4992.0,609.0,415.0
B82045,2024-10,3131.0,365.0,2501.0,172.0,41.0
B82047,2024-10,7695.0,1245.0,4825.0,758.0,685.0
B82049,2024-10,7638.0,2381.0,3778.0,773.0,706.0
B82053,2024-10,10804.0,3258.0,2316.0,2178.0,3020.0
B82054,2024-10,19969.0,5415.0,4139.0,1255.0,4376.0
B82059,2024-10,8266.0,1289.0,6291.0,541.0,102.0
B82064,2024-10,2308.0,334.0,1788.0,159.0,
B82074,2024-10,11003.0,2902.0,5404.0,656.0,1977.0
B82075,2024-10,8447.0,1969.0,4553.0,1446.0,382.0
B82077,2024-10,5189.0,987.0,3775.0,349.0,65.0
B82080,2024-10,10104.0,2252.0,2955.0,1507.0,1357.0
B82083,2024-10,14498.0,3948.0,7361.0,1956.0,469.0
B82097,2024-10,7656.0,1686.0,4329.0,1182.0,426.0
B82098,2024-10,16052.0,3726.0,7597.0,2172.0,2451.0
B82100,2024-10,7649.0,1696.0,4848.0,894.0,195.0
B82105,2024-10,4548.0,939.0,3165.0,256.0,31.0
B82106,2024-10,4333.0,686.0,3010.0,637.0,
B82609,2024-10,4446.0,962.0,3172.0,250.0,
B82628,2024-10,3590.0,652.0,2455.0,410.0,9.0
B83002,2024-10,4979.0,948.0,3322.0,674.0,
B83005,2024-10,8065.0,1821.0,4821.0,650.0,725.0
B83015,2024-10,6882.0,1234.0,4463.0,439.0,746.0
B83018,2024-10,11191.0,2902.0,5971.0,569.0,1476.0
B83019,2024-10,5386.0,1106.0,3798.0,459.0,3.0
B83022,2024-10,5954.0,789.0,3868.0,669.0,192.0
B83031,2024-10,1182.0,664.0,481.0,21.0,15.0
B83033,2024-10,34099.0,13635.0,9023.0,4084.0,7161.0
B83034,2024-10,8351.0,2431.0,4487.0,512.0,888.0
B83035,2024-10,11623.0,2843.0,5758.0,1173.0,1187.0
B83038,2024-10,22710.0,9678.0,9595.0,779.0,1136.0
