Date,REGION_CODE,ICB_CODE,SUB_ICB_LOCATION_CODE,PCN_CODE,PRACTICE_CODE,Indicator,Wait_Time,Core_Category,Value
2026-06-01,Y59,S9B9J,09D,U14062,G81001,CBT003,121_180,Core_10_1830,6.0
2026-06-01,Y59,S9B9J,09D,U14062,G81001,CBT003,121_180,Core_8_10,3.0
2026-06-01,Y59,S9B9J,09D,U14062,G81001,CBT003,181_240,Core_10_1830,2.0
2026-06-01,Y59,S9B9J,09D,U14062,G81001,CBT003,181_240,Core_8_10,3.0
2026-06-01,Y59,S9B9J,09D,U14062,G81001,CBT003,1_30,Core_10_1830,66.0
2026-06-01,Y59,S9B9J,09D,U14062,G81001,CBT003,1_30,Core_8_10,6.0
2026-06-01,Y59,S9B9J,09D,U14062,G81001,CBT003,241_300,Core_8_10,2.0
2026-06-01,Y59,S9B9J,09D,U14062,G81001,CBT003,31_60,Core_10_1830,12.0
2026-06-01,Y59,S9B9J,09D,U14062,G81001,CBT003,31_60,Core_8_10,5.0
2026-06-01,Y59,S9B9J,09D,U14062,G81001,CBT003,61_90,Core_10_1830,5.0
2026-06-01,Y59,S9B9J,09D,U14062,G81001,CBT003,61_90,Core_8_10,3.0
2026-06-01,Y59,S9B9J,09D,U14062,G81001,CBT003,91_120,Core_10_1830,5.0
2026-06-01,Y59,S9B9J,09D,U14062,G81001,CBT003,91_120,Core_8_10,5.0
2026-06-01,Y59,S9B9J,09D,U14062,G81001,CBT003,>300,Core_8_10,12.0
2026-06-01,Y59,S9B9J,97R,U42972,G81002,CBT003,121_180,Core_10_1830,2.0
2026-06-01,Y59,S9B9J,97R,U42972,G81002,CBT003,121_180,Core_8_10,1.0
2026-06-01,Y59,S9B9J,97R,U42972,G81002,CBT003,181_240,Core_10_1830,4.0
2026-06-01,Y59,S9B9J,97R,U42972,G81002,CBT003,181_240,Core_8_10,1.0
2026-06-01,Y59,S9B9J,97R,U42972,G81002,CBT003,1_30,Core_10_1830,9.0
2026-06-01,Y59,S9B9J,97R,U42972,G81002,CBT003,1_30,Core_8_10,3.0
2026-06-01,Y59,S9B9J,97R,U42972,G81002,CBT003,241_300,Core_10_1830,1.0
2026-06-01,Y59,S9B9J,97R,U42972,G81002,CBT003,31_60,Core_10_1830,5.0
2026-06-01,Y59,S9B9J,97R,U42972,G81002,CBT003,31_60,Core_8_10,1.0
2026-06-01,Y59,S9B9J,97R,U42972,G81002,CBT003,61_90,Core_10_1830,7.0
2026-06-01,Y59,S9B9J,97R,U42972,G81002,CBT003,61_90,Core_8_10,1.0
2026-06-01,Y59,S9B9J,97R,U42972,G81002,CBT003,91_120,Core_10_1830,5.0
2026-06-01,Y59,S9B9J,97R,U42972,G81002,CBT003,91_120,Core_8_10,2.0
2026-06-01,Y59,S9B9J,97R,U42972,G81002,CBT003,>300,Core_10_1830,20.0
2026-06-01,Y59,S9B9J,97R,U42972,G81002,CBT003,>300,Core_8_10,10.0
2026-06-01,Y59,S9B9J,09D,U29677,G81006,CBT003,121_180,Core_10_1830,15.0
2026-06-01,Y59,S9B9J,09D,U29677,G81006,CBT003,121_180,Core_8_10,7.0
2026-06-01,Y59,S9B9J,09D,U29677,G81006,CBT003,181_240,Core_10_1830,2.0
2026-06-01,Y59,S9B9J,09D,U29677,G81006,CBT003,181_240,Core_8_10,9.0
2026-06-01,Y59,S9B9J,09D,U29677,G81006,CBT003,1_30,Core_10_1830,34.0
2026-06-01,Y59,S9B9J,09D,U29677,G81006,CBT003,1_30,Core_8_10,5.0
2026-06-01,Y59,S9B9J,09D,U29677,G81006,CBT003,241_300,Core_10_1830,2.0
2026-06-01,Y59,S9B9J,09D,U29677,G81006,CBT003,241_300,Core_8_10,4.0
2026-06-01,Y59,S9B9J,09D,U29677,G81006,CBT003,31_60,Core_10_1830,10.0
2026-06-01,Y59,S9B9J,09D,U29677,G81006,CBT003,31_60,Core_8_10,3.0
2026-06-01,Y59,S9B9J,09D,U29677,G81006,CBT003,61_90,Core_10_1830,17.0
2026-06-01,Y59,S9B9J,09D,U29677,G81006,CBT003,61_90,Core_8_10,5.0
2026-06-01,Y59,S9B9J,09D,U29677,G81006,CBT003,91_120,Core_10_1830,2.0
2026-06-01,Y59,S9B9J,09D,U29677,G81006,CBT003,91_120,Core_8_10,11.0
2026-06-01,Y59,S9B9J,09D,U29677,G81006,CBT003,>300,Core_8_10,10.0
2026-06-01,Y59,S9B9J,97R,U48056,G81008,CBT003,121_180,Core_10_1830,28.0
2026-06-01,Y59,S9B9J,97R,U48056,G81008,CBT003,121_180,Core_8_10,2.0
2026-06-01,Y59,S9B9J,97R,U48056,G81008,CBT003,181_240,Core_10_1830,26.0
2026-06-01,Y59,S9B9J,97R,U48056,G81008,CBT003,181_240,Core_8_10,4.0
2026-06-01,Y59,S9B9J,97R,U48056,G81008,CBT003,1_30,Core_10_1830,23.0
2026-06-01,Y59,S9B9J,97R,U48056,G81008,CBT003,1_30,Core_8_10,4.0
2026-06-01,Y59,S9B9J,97R,U48056,G81008,CBT003,241_300,Core_10_1830,20.0
2026-06-01,Y59,S9B9J,97R,U48056,G81008,CBT003,241_300,Core_8_10,4.0
2026-06-01,Y59,S9B9J,97R,U48056,G81008,CBT003,31_60,Core_10_1830,10.0
2026-06-01,Y59,S9B9J,97R,U48056,G81008,CBT003,61_90,Core_10_1830,13.0
2026-06-01,Y59,S9B9J,97R,U48056,G81008,CBT003,61_90,Core_8_10,2.0
2026-06-01,Y59,S9B9J,97R,U48056,G81008,CBT003,91_120,Core_10_1830,9.0
2026-06-01,Y59,S9B9J,97R,U48056,G81008,CBT003,91_120,Core_8_10,2.0
2026-06-01,Y59,S9B9J,97R,U48056,G81008,CBT003,>300,Core_10_1830,45.0
2026-06-01,Y59,S9B9J,97R,U48056,G81008,CBT003,>300,Core_8_10,33.0
2026-06-01,Y59,S9B9J,09D,U29677,G81011,CBT003,181_240,Core_8_10,1.0
2026-06-01,Y59,S9B9J,09D,U29677,G81011,CBT003,1_30,Core_8_10,1.0
2026-06-01,Y59,S9B9J,09D,U29677,G81011,CBT003,91_120,Core_10_1830,1.0
2026-06-01,Y59,S9B9J,09D,U29677,G81011,CBT003,>300,Core_10_1830,27.0
2026-06-01,Y59,S9B9J,09D,U29677,G81011,CBT003,>300,Core_8_10,20.0
2026-06-01,Y59,S9B9J,97R,U94996,G81012,CBT003,0,Core_10_1830,14.0
2026-06-01,Y59,S9B9J,97R,U94996,G81012,CBT003,0,Core_8_10,22.0
2026-06-01,Y59,S9B9J,97R,U94996,G81012,CBT003,181_240,Core_8_10,1.0
2026-06-01,Y59,S9B9J,97R,U94996,G81012,CBT003,1_30,Core_10_1830,16.0
2026-06-01,Y59,S9B9J,97R,U94996,G81012,CBT003,1_30,Core_8_10,45.0
2026-06-01,Y59,S9B9J,97R,U94996,G81012,CBT003,31_60,Core_8_10,1.0
2026-06-01,Y59,S9B9J,97R,U94996,G81012,CBT003,>300,Core_10_1830,83.0
2026-06-01,Y59,S9B9J,97R,U94996,G81012,CBT003,>300,Core_8_10,21.0
2026-06-01,Y59,S9B9J,09D,U55014,G81014,CBT003,121_180,Core_10_1830,4.0
2026-06-01,Y59,S9B9J,09D,U55014,G81014,CBT003,121_180,Core_8_10,1.0
2026-06-01,Y59,S9B9J,09D,U55014,G81014,CBT003,181_240,Core_10_1830,7.0
2026-06-01,Y59,S9B9J,09D,U55014,G81014,CBT003,181_240,Core_8_10,1.0
2026-06-01,Y59,S9B9J,09D,U55014,G81014,CBT003,1_30,Core_10_1830,16.0
2026-06-01,Y59,S9B9J,09D,U55014,G81014,CBT003,1_30,Core_8_10,1.0
2026-06-01,Y59,S9B9J,09D,U55014,G81014,CBT003,241_300,Core_10_1830,6.0
2026-06-01,Y59,S9B9J,09D,U55014,G81014,CBT003,241_300,Core_8_10,1.0
2026-06-01,Y59,S9B9J,09D,U55014,G81014,CBT003,31_60,Core_10_1830,8.0
2026-06-01,Y59,S9B9J,09D,U55014,G81014,CBT003,31_60,Core_8_10,1.0
2026-06-01,Y59,S9B9J,09D,U55014,G81014,CBT003,61_90,Core_10_1830,3.0
2026-06-01,Y59,S9B9J,09D,U55014,G81014,CBT003,91_120,Core_10_1830,10.0
2026-06-01,Y59,S9B9J,09D,U55014,G81014,CBT003,>300,Core_10_1830,47.0
2026-06-01,Y59,S9B9J,09D,U55014,G81014,CBT003,>300,Core_8_10,20.0
2026-06-01,Y59,S9B9J,97R,U21317,G81016,CBT003,121_180,Core_10_1830,2.0
2026-06-01,Y59,S9B9J,97R,U21317,G81016,CBT003,121_180,Core_8_10,2.0
2026-06-01,Y59,S9B9J,97R,U21317,G81016,CBT003,181_240,Core_10_1830,9.0
2026-06-01,Y59,S9B9J,97R,U21317,G81016,CBT003,181_240,Core_8_10,1.0
2026-06-01,Y59,S9B9J,97R,U21317,G81016,CBT003,1_30,Core_10_1830,9.0
2026-06-01,Y59,S9B9J,97R,U21317,G81016,CBT003,241_300,Core_10_1830,10.0
2026-06-01,Y59,S9B9J,97R,U21317,G81016,CBT003,31_60,Core_10_1830,9.0
2026-06-01,Y59,S9B9J,97R,U21317,G81016,CBT003,31_60,Core_8_10,1.0
2026-06-01,Y59,S9B9J,97R,U21317,G81016,CBT003,61_90,Core_10_1830,7.0
2026-06-01,Y59,S9B9J,97R,U21317,G81016,CBT003,91_120,Core_10_1830,11.0
2026-06-01,Y59,S9B9J,97R,U21317,G81016,CBT003,>300,Core_10_1830,32.0
2026-06-01,Y59,S9B9J,97R,U21317,G81016,CBT003,>300,Core_8_10,27.0
2026-06-01,Y59,S9B9J,97R,U52868,G81017,CBT003,121_180,Core_10_1830,16.0
2026-06-01,Y59,S9B9J,97R,U52868,G81017,CBT003,121_180,Core_8_10,3.0
2026-06-01,Y59,S9B9J,97R,U52868,G81017,CBT003,181_240,Core_10_1830,10.0
2026-06-01,Y59,S9B9J,97R,U52868,G81017,CBT003,181_240,Core_8_10,1.0
2026-06-01,Y59,S9B9J,97R,U52868,G81017,CBT003,1_30,Core_10_1830,55.0
2026-06-01,Y59,S9B9J,97R,U52868,G81017,CBT003,1_30,Core_8_10,3.0
2026-06-01,Y59,S9B9J,97R,U52868,G81017,CBT003,1_30,Non-Core,2.0
2026-06-01,Y59,S9B9J,97R,U52868,G81017,CBT003,241_300,Core_10_1830,9.0
2026-06-01,Y59,S9B9J,97R,U52868,G81017,CBT003,31_60,Core_10_1830,28.0
