month,gp_code,gp_name,inb_total,ans_total,pct_u2_total,inb_core,ans_core,pct_u2_core,inb_810,ans_810,pct_u2_810
2026-06-01,D81004,ALCONBURY SURGERY,10217.0,5773.0,0.598,9657.0,5750.0,0.597,2927.0,1805.0,0.538
2026-06-01,D81045,BUCKDEN SURGERY,5234.0,3874.0,0.835,5126.0,3872.0,0.835,1135.0,869.0,0.815
2026-06-01,D81038,KIMBOLTON MEDICAL CENTRE,4956.0,3638.0,0.909,4344.0,3554.0,0.909,1342.0,1006.0,0.774
2026-06-01,D81027,WELLSIDE SURGERY,4812.0,2828.0,0.703,4128.0,2700.0,0.711,1529.0,906.0,0.578
2026-06-01,D81026,BOROUGHBURY MEDICAL CENTRE,41474.0,21649.0,0.67,35797.0,20116.0,0.645,13229.0,4577.0,0.575
2026-06-01,Y07057,BRETTON MEDICAL PRACTICE,7945.0,3873.0,0.279,7708.0,3873.0,0.279,1952.0,955.0,0.215
2026-06-01,D81630,HAMPTON MEDICAL CENTRE,7119.0,3691.0,0.413,6513.0,3546.0,0.414,2215.0,964.0,0.376
2026-06-01,D81001,LENSFIELD MEDICAL PRACTICE,3610.0,2633.0,0.87,3533.0,2618.0,0.869,770.0,513.0,0.879
2026-06-01,D81013,TRUMPINGTON STREET MEDICAL PRACTICE,6033.0,3706.0,0.407,5892.0,3706.0,0.407,1275.0,693.0,0.43
2026-06-01,D81025,CHERRY HINTON MEDICAL CENTRE,4656.0,3135.0,0.656,4447.0,3110.0,0.655,1227.0,886.0,0.59
2026-06-01,D81012,CORNFORD HOUSE SURGERY,5327.0,3987.0,0.841,4878.0,3987.0,0.841,1824.0,1400.0,0.73
2026-06-01,D81066,QUEEN EDITH MEDICAL PRACTICE,4643.0,3795.0,0.72,4447.0,3764.0,0.718,1441.0,1296.0,0.738
2026-06-01,D81070,WOODLANDS SURGERY,3313.0,2311.0,0.543,3251.0,2307.0,0.542,778.0,526.0,0.548
2026-06-01,D81016,ARBURY ROAD SURGERY,7842.0,4673.0,0.305,7451.0,4672.0,0.305,2547.0,1651.0,0.18
2026-06-01,D81055,BOTTISHAM MEDICAL PRACTICE,2780.0,1422.0,0.656,2650.0,1385.0,0.65,317.0,177.0,0.785
2026-06-01,D81086,EAST BARNWELL HEALTH CENTRE,4633.0,2985.0,0.454,4291.0,2985.0,0.454,1313.0,985.0,0.376
2026-06-01,D81028,FIRS HOUSE SURGERY,6434.0,4635.0,0.721,5650.0,4635.0,0.721,1924.0,1497.0,0.635
2026-06-01,D81033,OVER SURGERY,2858.0,2173.0,0.747,2639.0,2165.0,0.747,824.0,637.0,0.63
2026-06-01,D81607,SWAVESEY SURGERY,1944.0,1209.0,0.612,1825.0,1176.0,0.617,585.0,414.0,0.469
2026-06-01,D81042,WATERBEACH AND COTTENHAM SURGERIES,6781.0,3653.0,0.676,6666.0,3653.0,0.676,3373.0,1234.0,0.427
2026-06-01,D81084,WILLINGHAM MEDICAL PRACTICE,6233.0,3254.0,0.657,6159.0,3254.0,0.657,2239.0,865.0,0.534
2026-06-01,D81037,BRIDGE STREET MEDICAL CENTRE,3523.0,2392.0,0.637,3454.0,2386.0,0.636,661.0,358.0,0.785
2026-06-01,D81054,RED HOUSE SURGERY,5082.0,3990.0,0.635,4970.0,3990.0,0.635,1100.0,934.0,0.654
2026-06-01,D81021,ST. GEORGE'S MEDICAL CENTRE,5920.0,3730.0,0.35,5730.0,3730.0,0.35,1512.0,1029.0,0.277
2026-06-01,D81051,BURWELL SURGERY,3177.0,2319.0,0.728,3102.0,2319.0,0.728,749.0,522.0,0.724
2026-06-01,D81064,MERCHEFORD HOUSE,5793.0,2498.0,0.512,5535.0,2470.0,0.511,1578.0,748.0,0.384
2026-06-01,D81603,RIVERSIDE PRACTICE,5401.0,1744.0,0.147,4860.0,1743.0,0.147,1579.0,596.0,0.176
2026-06-01,D81633,ACORN SURGERY,4543.0,2212.0,0.269,4386.0,2212.0,0.269,1240.0,638.0,0.288
2026-06-01,D81085,PAPWORTH SURGERY,3614.0,2415.0,0.598,3515.0,2415.0,0.598,833.0,585.0,0.591
2026-06-01,D81010,PRIORY FIELDS SURGERY,5073.0,3020.0,0.822,4846.0,2994.0,0.823,1282.0,902.0,0.784
2026-06-01,D81050,THE HICKS GROUP PRACTICE,6458.0,4243.0,0.691,6269.0,4230.0,0.692,1556.0,1050.0,0.686
2026-06-01,D81035,COMBERTON SURGERY,7216.0,3890.0,0.45,6989.0,3890.0,0.45,2434.0,1039.0,0.483
2026-06-01,D81637,MONKFIELD MEDICAL PRACTICE,6386.0,1992.0,0.301,5936.0,1992.0,0.301,2059.0,481.0,0.252
2026-06-01,D81018,"ORCHARD SURGERY,MELBOURN",4255.0,2696.0,0.766,4054.0,2626.0,0.761,520.0,295.0,0.766
2026-06-01,E82132,ROYSIA SURGERY,3448.0,1919.0,0.521,3395.0,1919.0,0.521,1018.0,410.0,0.373
2026-06-01,Y07059,NENE VALLEY AND HODGSON MEDICAL PRACTICE,5980.0,3835.0,0.48,5817.0,3835.0,0.48,1281.0,892.0,0.534
