Date,REGION_CODE,ICB_CODE,SUB_ICB_LOCATION_CODE,PCN_CODE,PRACTICE_CODE,Indicator,Duration,Value
2026-06-01,Y61,S1Y5D,06H,U88254,D81001,CBT001,TOTAL,187.0
2026-06-01,Y61,S1Y5D,06H,U88254,D81001,CBT002,TOTAL,33.0
2026-06-01,Y61,S1Y5D,06H,U88254,D81001,CBT003,121_180,5.0
2026-06-01,Y61,S1Y5D,06H,U88254,D81001,CBT003,181_240,4.0
2026-06-01,Y61,S1Y5D,06H,U88254,D81001,CBT003,1_30,65.0
2026-06-01,Y61,S1Y5D,06H,U88254,D81001,CBT003,241_300,3.0
2026-06-01,Y61,S1Y5D,06H,U88254,D81001,CBT003,31_60,31.0
2026-06-01,Y61,S1Y5D,06H,U88254,D81001,CBT003,61_90,24.0
2026-06-01,Y61,S1Y5D,06H,U88254,D81001,CBT003,91_120,12.0
2026-06-01,Y61,S1Y5D,06H,U88254,D81001,CBT004,1_30,4.0
2026-06-01,Y61,S1Y5D,06H,U88254,D81001,CBT004,31_60,3.0
2026-06-01,Y61,S1Y5D,06H,U88254,D81001,CBT004,91_120,2.0
2026-06-01,Y61,S1Y5D,06H,U88254,D81001,CBT004,>300,1.0
2026-06-01,Y61,S1Y5D,06H,U88254,D81001,CBT007,0_10,5.0
2026-06-01,Y61,S1Y5D,06H,U88254,D81001,CBT007,11_30,5.0
2026-06-01,Y61,S1Y5D,06H,U88254,D81001,CBT007,121_180,32.0
2026-06-01,Y61,S1Y5D,06H,U88254,D81001,CBT007,181_240,10.0
2026-06-01,Y61,S1Y5D,06H,U88254,D81001,CBT007,241_300,6.0
2026-06-01,Y61,S1Y5D,06H,U88254,D81001,CBT007,31_60,21.0
2026-06-01,Y61,S1Y5D,06H,U88254,D81001,CBT007,61_90,36.0
2026-06-01,Y61,S1Y5D,06H,U88254,D81001,CBT007,91_120,18.0
2026-06-01,Y61,S1Y5D,06H,U88254,D81001,CBT007,>300,11.0
2026-06-01,Y61,S1Y5D,06H,U89554,D81004,CBT001,TOTAL,724.0
2026-06-01,Y61,S1Y5D,06H,U89554,D81004,CBT002,TOTAL,192.0
2026-06-01,Y61,S1Y5D,06H,U89554,D81004,CBT003,121_180,29.0
2026-06-01,Y61,S1Y5D,06H,U89554,D81004,CBT003,181_240,16.0
2026-06-01,Y61,S1Y5D,06H,U89554,D81004,CBT003,1_30,78.0
2026-06-01,Y61,S1Y5D,06H,U89554,D81004,CBT003,241_300,12.0
2026-06-01,Y61,S1Y5D,06H,U89554,D81004,CBT003,31_60,28.0
2026-06-01,Y61,S1Y5D,06H,U89554,D81004,CBT003,61_90,20.0
2026-06-01,Y61,S1Y5D,06H,U89554,D81004,CBT003,91_120,17.0
