gp_code,month,inbound_calls,answered_calls,abandoned_calls
A81004,2024-10,7985,4609,1888
A81012,2024-10,5681,3693,373
A81019,2024-10,8678,4536,1088
A81041,2024-10,11862,6290,950
A81058,2024-10,7385,4702,877
A81612,2024-10,3553,2656,164
A81618,2024-10,11313,4672,2156
A82009,2024-10,6701,5220,621
A82014,2024-10,4582,3134,110
A82021,2024-10,22577,7726,3168
A82053,2024-10,2142,1586,195
A82071,2024-10,4345,3162,393
A83003,2024-10,6953,4177,557
A83007,2024-10,9055,5523,1374
A83016,2024-10,10719,6945,476
A83018,2024-10,12549,6679,531
A83021,2024-10,20694,14084,991
A83023,2024-10,6054,4199,122
A83025,2024-10,17814,11186,1649
A83031,2024-10,9129,5822,313
A83033,2024-10,9829,4924,1645
A83041,2024-10,6728,5475,266
A83044,2024-10,2105,1527,52
A83045,2024-10,11432,9441,357
A83046,2024-10,9709,6374,707
A83047,2024-10,11049,6506,886
A83049,2024-10,12178,9044,362
A83070,2024-10,4699,3923,203
A83071,2024-10,4231,3176,150
A83075,2024-10,7590,6334,528
A83618,2024-10,6952,4870,568
A83626,2024-10,2815,1809,106
A83627,2024-10,6092,4985,203
A83636,2024-10,5702,4026,268
A84009,2024-10,32430,14909,1894
A84014,2024-10,14844,10278,1406
A84016,2024-10,5698,4133,430
A84031,2024-10,5806,3245,292
A84034,2024-10,6859,3487,219
A85004,2024-10,8356,4517,1023
A85006,2024-10,7271,4936,374
A85007,2024-10,9087,4949,1069
A85009,2024-10,8289,4408,234
A85011,2024-10,8737,4972,922
A85016,2024-10,13944,6773,1566
A85019,2024-10,9345,4721,1044
A85611,2024-10,7230,5031,1020
A85616,2024-10,5868,4020,792
A86008,2024-10,8136,5173,923
A86012,2024-10,8619,5137,729
A86013,2024-10,8047,5080,429
A86018,2024-10,11732,4358,1230
A86021,2024-10,7725,5423,288
A86022,2024-10,8376,5237,535
A86025,2024-10,15555,7371,1063
A86026,2024-10,8308,5374,402
A86040,2024-10,8098,4348,636
A87004,2024-10,26293,8155,3547
A87008,2024-10,7384,5455,207
A87011,2024-10,5761,4409,368
A87012,2024-10,10034,4442,700
A87013,2024-10,8046,4669,800
A87029,2024-10,21803,5663,2451
A87030,2024-10,6283,5009,284
A87615,2024-10,5811,4208,246
A88001,2024-10,2886,1898,371
A88006,2024-10,8613,4670,930
A88012,2024-10,3546,2732,191
A88016,2024-10,6897,3882,584
A88022,2024-10,8068,4440,487
A88025,2024-10,3804,3140,131
A88613,2024-10,3385,2431,252
A89001,2024-10,11836,6710,793
A89002,2024-10,7621,5123,606
A89004,2024-10,15507,8269,406
A89005,2024-10,5505,4141,218
A89006,2024-10,8796,6963,257
A89007,2024-10,12650,7487,1606
A89008,2024-10,6760,4512,511
A89009,2024-10,11270,7318,1242
A89010,2024-10,9829,4395,474
A89012,2024-10,9487,6228,644
A89013,2024-10,7153,5738,273
A89015,2024-10,10195,7112,679
A89016,2024-10,8052,3971,1011
A89019,2024-10,18420,3878,1241
A89020,2024-10,6194,3662,528
A89021,2024-10,9337,6691,299
A89022,2024-10,6670,4180,397
A89023,2024-10,10098,5700,452
A89026,2024-10,8790,5647,1116
A89028,2024-10,8621,5307,797
A89030,2024-10,7616,4901,307
A89031,2024-10,5951,3638,299
A89034,2024-10,3570,2300,558
A89035,2024-10,10087,5503,942
A89036,2024-10,2486,1081,668
A89040,2024-10,4368,3327,444
A89041,2024-10,9645,6911,611
A89614,2024-10,3686,2582,510
A89616,2024-10,2801,2193,124
A89617,2024-10,4239,2960,341
B81004,2024-10,11383,5786,1143
B81005,2024-10,7497,5386,718
B81013,2024-10,7143,4233,499
B81020,2024-10,10060,5021,701
B81022,2024-10,9984,3802,1198
B81025,2024-10,28626,5219,2497
B81029,2024-10,7249,4865,578
B81034,2024-10,14716,7729,1486
B81036,2024-10,8084,5860,241
B81041,2024-10,1514,1173,121
B81043,2024-10,14762,6993,773
B81046,2024-10,10684,5470,2482
B81048,2024-10,50062,23995,4153
B81063,2024-10,6223,4459,1008
B81064,2024-10,10811,4897,1066
B81082,2024-10,4883,2880,671
B81088,2024-10,8493,3237,558
B81092,2024-10,8591,4172,757
B81100,2024-10,3636,2806,341
B81104,2024-10,4412,3232,261
B81118,2024-10,5309,3663,416
B81616,2024-10,3283,2557,176
B81619,2024-10,1465,872,37
B81663,2024-10,3627,1717,337
B81665,2024-10,1761,1390,95
B82002,2024-10,4884,2219,386
B82005,2024-10,29182,5820,2660
B82007,2024-10,5868,4500,599
B82008,2024-10,7103,5552,376
B82010,2024-10,5162,3556,728
B82011,2024-10,5034,3983,311
B82012,2024-10,12555,4442,1551
B82014,2024-10,4119,3167,198
B82017,2024-10,14440,8039,2064
B82018,2024-10,4955,4160,309
B82019,2024-10,2753,1920,296
B82021,2024-10,6519,3025,852
B82024,2024-10,9706,5535,1651
B82025,2024-10,16285,10048,2010
B82026,2024-10,19788,9269,3140
B82030,2024-10,4752,3869,297
B82031,2024-10,6873,4618,846
B82033,2024-10,9484,6562,951
B82036,2024-10,5672,4548,422
B82037,2024-10,6910,4735,671
B82038,2024-10,15881,8005,870
B82041,2024-10,8461,2610,1303
B82042,2024-10,7679,4992,609
B82045,2024-10,3131,2501,172
B82047,2024-10,7695,4825,758
B82049,2024-10,7638,3778,773
B82053,2024-10,10804,2316,2178
B82054,2024-10,19969,4139,1255
B82059,2024-10,8266,6291,541
B82064,2024-10,2308,1788,159
B82074,2024-10,11003,5404,656
B82075,2024-10,8447,4553,1446
B82077,2024-10,5189,3775,349
B82080,2024-10,10104,2955,1507
B82083,2024-10,14498,7361,1956
B82097,2024-10,7656,4329,1182
B82098,2024-10,16052,7597,2172
B82100,2024-10,7649,4848,894
B82105,2024-10,4548,3165,256
B82106,2024-10,4333,3010,637
B82609,2024-10,4446,3172,250
B82628,2024-10,3590,2455,410
B83002,2024-10,4979,3322,674
B83005,2024-10,8065,4821,650
B83015,2024-10,6882,4463,439
B83018,2024-10,11191,5971,569
B83019,2024-10,5386,3798,459
B83022,2024-10,5954,3868,669
B83031,2024-10,1182,481,21
B83033,2024-10,34099,9023,4084
B83034,2024-10,8351,4487,512
B83035,2024-10,11623,5758,1173
B83038,2024-10,22710,9595,779
B83041,2024-10,11464,5596,1054
B83042,2024-10,6676,3882,286
B83058,2024-10,9551,5703,1641
B83067,2024-10,6162,4410,189
B83604,2024-10,8583,5681,757
B83614,2024-10,9854,3153,1147
B83620,2024-10,2887,2391,92
B83621,2024-10,4590,2618,491
B83624,2024-10,11935,4842,1305
B83660,2024-10,5485,2930,563
B84003,2024-10,7324,3791,953
B84006,2024-10,13393,3387,1015
B84008,2024-10,10934,4715,1402
B84013,2024-10,9490,5996,572
B84623,2024-10,3803,3088,198
B85002,2024-10,4052,2707,323
B85006,2024-10,10096,6995,751
B85015,2024-10,10391,6661,1126
B85016,2024-10,7718,6158,382
B85019,2024-10,9671,7742,352
B85022,2024-10,6695,4319,955
B85031,2024-10,6217,4014,324
B85033,2024-10,4070,2714,196
B85038,2024-10,5905,3801,424
B85042,2024-10,8075,4508,1069
B85048,2024-10,4842,2288,727
B85054,2024-10,8368,4999,911
B85606,2024-10,3463,2178,321
B85611,2024-10,2388,1444,292
B85612,2024-10,4188,3123,125
B85614,2024-10,3966,2647,542
B85619,2024-10,3009,2126,93
B85620,2024-10,2769,2257,38
B85623,2024-10,3277,1884,299
B85634,2024-10,3193,2009,70
B85645,2024-10,2376,1532,286
B85646,2024-10,8339,4357,810
B86006,2024-10,9912,5728,1562
B86012,2024-10,14144,5824,364
B86013,2024-10,10385,4926,864
B86018,2024-10,5486,4051,308
B86020,2024-10,3577,2491,223
B86030,2024-10,6606,2538,996
B86035,2024-10,8623,6081,372
B86038,2024-10,6924,4178,563
B86041,2024-10,6629,4964,351
B86052,2024-10,7245,5739,469
B86060,2024-10,3203,2123,239
B86066,2024-10,8197,4688,802
B86068,2024-10,1578,1266,45
B86096,2024-10,4709,3233,185
B86104,2024-10,13869,8182,989
B86109,2024-10,5019,3966,140
B87002,2024-10,7358,2648,1238
B87003,2024-10,10762,7154,1917
B87006,2024-10,10289,5419,1161
B87018,2024-10,11308,7558,806
B87031,2024-10,23601,8513,1057
B87044,2024-10,1934,1442,66
C81003,2024-10,6531,5130,295
C81013,2024-10,4920,3506,216
C81016,2024-10,8694,5335,634
C81022,2024-10,3938,2700,162
C81031,2024-10,6470,4593,251
C81034,2024-10,8168,6215,551
C81055,2024-10,4450,2464,608
C81056,2024-10,6793,3220,1461
C81059,2024-10,4685,2132,790
C81063,2024-10,6115,3470,512
C81074,2024-10,6345,3816,758
C81077,2024-10,392,317,21
C81080,2024-10,5566,4211,290
C81081,2024-10,14557,9066,828
C81092,2024-10,5315,4291,402
C81099,2024-10,10852,7106,843
C81101,2024-10,5273,3793,289
C81106,2024-10,6182,3788,380
C81615,2024-10,2360,1776,103
C81634,2024-10,2925,2081,363
C81638,2024-10,3116,2372,156
C81647,2024-10,3886,2725,358
C82002,2024-10,7164,4120,656
C82007,2024-10,9140,3748,1071
C82013,2024-10,11889,4730,1122
C82016,2024-10,8204,5895,811
C82017,2024-10,9665,7243,347
C82018,2024-10,13252,5622,1850
C82024,2024-10,16121,7293,1520
C82025,2024-10,10255,5270,1155
C82026,2024-10,7670,4532,455
C82027,2024-10,5507,3433,467
C82028,2024-10,7140,5021,347
C82031,2024-10,9723,7521,377
C82037,2024-10,8375,6356,994
C82038,2024-10,20744,6836,2261
C82039,2024-10,11255,1669,1666
C82040,2024-10,6014,4369,211
C82042,2024-10,8753,6244,946
C82044,2024-10,8684,5654,650
C82045,2024-10,9326,4402,654
C82051,2024-10,8656,6102,654
C82053,2024-10,12266,5676,1181
C82054,2024-10,11039,5752,1045
C82055,2024-10,11715,6061,1536
