gp_code,sat_24,cont_24,n_24,sat_25,cont_25,n_25,sd_24,oc_24,sd_25,oc_25,rural,imd_score,log_list,gp_per10k,nurse_per10k,dpc_per10k,merged_recent,dispensing_f,region,d_sat,d_cont,d_sd,d_oc,w
A84002,97.85231578257671,57.082670467025196,115.0,89.1297828,60.2391451,121.0,42.303451581975075,11.62851699041371,37.35987022106002,11.080747525042897,1.0,16.06,8.722362842293554,11.807124239791484,7.558644656820156,6.342311034969591,0.0,0.0,NORTH EAST AND YORKSHIRE,-8.722532982576709,3.156474632974806,-4.943581360915054,-0.5477694653708127,115.0
A84005,69.8255434971353,33.0941437748595,102.0,85.6449137,35.1481117,105.0,41.0079189035694,13.626550648490834,46.30168185003504,10.180521109981203,0.0,23.01,9.445768162123612,13.618554665138882,9.988541625508711,4.952125066972223,0.0,0.0,NORTH EAST AND YORKSHIRE,15.819370202864704,2.0539679251404976,5.293762946465641,-3.446029538509631,102.0
A84006,68.1537368520804,29.4553742464286,116.0,84.8628382,39.2197957,117.0,36.72335615470578,29.05430158835621,33.708377777492196,115.76659416839027,1.0,16.23,9.846096758756875,13.37251891180598,9.545747393894464,27.874712063332364,0.0,1.0,NORTH EAST AND YORKSHIRE,16.7091013479196,9.764421453571398,-3.0149783772135876,86.71229258003406,116.0
A84007,65.171614930337,35.7992262534509,103.0,70.4648662,23.0045745,109.0,52.940795229916716,33.59622758662513,43.00462624786949,148.67858454333137,1.0,8.11,9.29002917087755,17.218646597719193,4.407713499238192,3.324253197285193,0.0,0.0,NORTH EAST AND YORKSHIRE,5.293251269663003,-12.794651753450896,-9.936168982047228,115.08235695670623,103.0
A84008,91.7351516496377,60.658651504500305,122.0,91.12664860000001,78.87659769999999,122.0,47.44307804699866,14.688646967770973,44.75036496350365,16.548311479125594,1.0,20.81,8.407006232381482,22.627465576479345,8.634164494231486,16.01786379010049,0.0,1.0,NORTH EAST AND YORKSHIRE,-0.6085030496376902,18.217946195499685,-2.6927130834950077,1.8596645113546213,122.0
A84009,71.2601565664163,22.2766414082199,110.0,78.2748976,25.1487594,126.0,43.53130962914808,17.62184868239355,43.6802041528529,31.88063073970217,0.0,34.28,10.210310268515292,11.444240062173495,5.552694184754617,5.64353861599588,0.0,0.0,NORTH EAST AND YORKSHIRE,7.014741033583704,2.872117991780101,0.14889452370481848,14.258782057308618,110.0
A84011,78.6109352701359,27.7378533452315,104.0,86.95674650000001,49.9070682,110.0,30.942217595002603,7.452159449198045,29.073324548192772,9.592173691261499,1.0,8.23,9.050777852302742,10.1128032695353,4.128951535649352,1.1260776915407325,0.0,1.0,NORTH EAST AND YORKSHIRE,8.345811229864111,22.169214854768498,-1.8688930468098306,2.1400142420634536,104.0
A84013,82.9937450041124,31.442073348284698,105.0,89.03597810000001,51.231420299999996,98.0,25.300351354414598,25.550017310307908,20.950587486406917,184.96541795388393,0.0,31.5,8.75135580921288,14.03204494362464,4.13551186295842,7.7646345151718945,0.0,1.0,NORTH EAST AND YORKSHIRE,6.04223309588761,19.7893469517153,-4.349763868007681,159.41540064357602,98.0
A84014,84.4141826660054,74.1890592976073,107.0,82.5253716,67.9503323,89.0,31.112877169211526,24.023775094664398,30.98706637896914,28.224623183334586,0.0,32.24,9.513021888218123,15.441047173835411,5.043775935672154,2.915932962602667,0.0,0.0,NORTH EAST AND YORKSHIRE,-1.8888110660054025,-6.238726997607301,-0.12581079024238662,4.200848088670188,89.0
A84016,89.80657428502991,74.1212625167521,98.0,85.9540187,48.0088594,100.0,32.41126966703256,16.661169732392903,36.64676267415994,17.974952255537335,0.0,14.93,8.84503303784264,13.564206634165089,4.649487258579697,3.074041164293091,0.0,0.0,NORTH EAST AND YORKSHIRE,-3.8525555850299043,-26.1124031167521,4.235493007127374,1.3137825231444324,98.0
