gp_code,practice_name,CVDP004HYP,CVDP002HYP,CVDP003HYP,CVDP007HYP,CVDP006HYP,CVDP009HYP,CVDP005HYP,CVDP002AF,CVDP005AF,CVDP004AF,CVDP009CHOL,CVDP011CHOL,CVDP012CHOL,CVDP003CHOL,CVDP006CHOL,CVDP008CHOL,CVDP010CHOL,CVDP004CKD,CVDP006CKD,CVDP005CKD,CVDP007CKD,CVDP003CKD,CVDP002CKD,CVDP003DM,CVDP005DM,CVDP002NDH,CVDP002CHD,CVDP002STRK,CVDP002HF,CVDP001SMOK,CVDP002SMOK,CVDP001BMI
A81001,The Densham Surgery,96.17,69.36,92.63,75.0,,43.78,3.16,92.86,92.86,,94.37,93.07,64.07,70.73,63.16,64.65,79.47,74.74,99.47,75.0,77.4,0.77,,0.0,0.3,1.0,88.19,85.71,,94.35,94.31,77.41
A81002,Queens Park Medical Centre,91.81,74.39,84.98,76.49,0.71,66.1,2.62,96.0,94.82,75.0,91.78,87.48,57.2,75.72,67.05,68.66,79.55,74.14,95.38,77.46,78.1,1.56,0.53,,0.14,0.33,82.5,82.34,,84.28,81.58,82.37
A81004,Acklam Medical Centre,95.59,74.56,87.91,77.38,0.47,29.92,3.47,92.89,91.63,50.0,85.69,88.93,50.09,64.27,65.03,66.84,73.57,51.16,96.41,71.7,80.51,1.02,0.52,,0.14,,83.47,77.87,78.36,90.7,93.36,82.13
A81005,Springwood Surgery,93.85,69.51,86.33,73.87,0.68,21.94,2.69,94.67,92.89,73.33,93.24,91.22,66.0,70.76,67.64,69.28,76.62,75.38,96.0,77.59,75.11,1.89,0.91,,,1.26,82.92,86.61,,58.11,66.9,49.72
A81006,Tennant Street Medical Practice,91.89,78.41,88.08,79.98,0.6,50.45,2.44,94.97,94.34,92.31,92.64,88.19,51.19,73.91,65.14,66.75,79.62,61.31,95.22,80.33,79.56,0.86,0.13,0.0,,0.43,87.07,83.93,,86.19,79.86,80.22
A81007,Bankhouse Surgery,85.98,64.67,78.45,67.35,0.86,39.44,2.89,91.43,90.48,89.47,85.5,70.85,44.26,63.6,50.66,54.28,72.73,51.26,88.38,80.77,71.43,0.72,0.12,,0.14,0.2,76.0,72.56,69.0,73.41,62.5,43.42
A81009,VILLAGE MEDICAL CENTRE,95.99,73.24,86.94,75.63,,59.85,3.05,90.63,88.13,56.25,86.01,91.61,55.48,69.23,61.38,61.53,69.85,63.6,95.22,71.05,76.06,1.25,0.2,,,0.13,79.45,81.48,,89.43,99.24,85.64
A81011,Chadwick Practice,95.89,85.8,95.28,87.63,0.45,8.8,3.46,97.29,95.35,68.75,92.33,90.86,62.08,65.83,62.79,67.45,78.92,29.58,95.42,64.86,84.01,0.55,0.0,0.0,0.29,1.2,93.24,92.62,83.53,93.39,92.13,53.6
A81012,WESTBOURNE MEDICAL CENTRE,86.28,60.61,85.15,63.49,,31.75,2.36,98.65,94.59,,92.65,80.82,44.49,83.16,70.56,70.04,82.98,57.45,91.49,67.74,77.57,0.88,0.19,,0.25,1.39,79.73,67.37,,79.67,81.59,78.78
A81013,BROTTON SURGERY,91.36,66.51,80.41,68.76,,18.08,3.59,95.86,94.67,61.54,90.0,83.49,53.72,68.47,65.73,67.06,69.55,38.27,93.85,78.43,65.26,1.51,0.27,0.0,,0.48,76.87,65.66,85.0,76.73,96.34,46.77
