indicator_code,indicator_id,short_name,full_description,n_practices_valued
CVDP002CKD,13,CKD: Uncoded - two low eGFRs with no recorded CKD (CVDP002CKD),"Patients whose last two eGFRs are less than 60ml/min/1.73m2 (uncoded CKD), who do not have a record of GP recorded CKD (G3a to G5)",4622
CVDP005HYP,20,Hypertension: High risk – one high BP with no recorded hypertension (CVDP005HYP),"Patients with single blood pressure reading of systolic >=140mmHg and diastolic >=90mmHg (at risk of hypertension), who do not have a record of GP recorded hypertension",6079
CVDP010CHOL,23,Cholesterol: CKD treated with LLT (CVDP010CHOL),"Patients with GP recorded chronic kidney disease (G3a to G5), who are currently treated with lipid lowering therapy.",6063
CVDP001SMOK,24,Smoking: Record of smoking status (CVDP001SMOK),"Patients with GP recorded CVD or CVD risk factors who are GP recorded current smokers or have no smoking status recorded, whose notes record smoking status in the preceding 12 months.",6081
CVDP002NDH,25,"NDH: High risk – one HbA1c 42-48 mmol/mol, with no recorded NDH or DM (CVDP002NDH)","Patients whose last HbA1c record is between 42 and 48 mmol/mol (at high risk of NDH), without a GP record of non-diabetic hyperglycaemia or diabetes mellitus.",5670
CVDP009HYP,52,Hypertension: Monitoring with ACR (CVDP009HYP),"Patients with GP recorded hypertension, with a record of a urine ACR test in the preceding 12 months.",6079
CVDP002AF,7,AF: Treated with anticoagulants (CVDP002AF),"Patients with GP recorded atrial fibrillation and with a CHADS2 or CHA2DS2-VASc score of 2 or more, who are currently treated with any oral anticoagulant.",6029
CVDP003CKD,15,CKD: High risk - one low eGFR with no recorded CKD (CVDP003CKD),"Patients whose last single eGFR is less than 60ml/min/1.73m2 (at risk of CKD), who do not have a record of GP recorded CKD (G3a to G5)",5997
CVDP002SMOK,26,Smoking: Current smokers offered support/treatment (CVDP002SMOK),"Patients with GP recorded CVD or CVD risk factors who are GP recorded current smokers, who have a record of an offer of support or treatment within the preceding 12 months.",6080
CVDP003DM,27,DM: Uncoded - two high HbA1c with no recorded diabetes (CVDP003DM),"Patients whose last two HbA1c records are 48mmol/mol or more (uncoded diabetes), who do not have a GP record of diabetes.",1979
