k,beta,se
-12,-1.0820747253980951,0.24831006934423178
-11,-1.0783474260213972,0.2148697079715869
-10,-0.8388498037952258,0.19618187548497568
-9,-0.9475828221891862,0.19266276921953396
-8,-0.7854080048255326,0.17380676640844003
-7,-0.6946947687936544,0.1619619807667164
-6,0.05258160444844886,0.1645509684102118
-5,0.14551135975406101,0.15651132382628868
-4,0.2688655514194273,0.13934447404536826
-3,-0.4855081634556094,0.12016220949081671
-2,0.0516609673832201,0.08717827662029733
0,0.49757365492004413,0.13106489711076288
1,0.5073315833904847,0.1737839012836709
2,0.4160607550544879,0.18126579888819586
3,0.36780128244592103,0.19059167869511778
4,0.4998180613481408,0.1981156202096477
5,0.4592143532572542,0.20041868363209447
6,0.30844954001745534,0.21202362429851998
7,0.5214256870587989,0.22577463582704002
8,0.4508153554158872,0.23371562596952278
9,0.4129278690518434,0.24307679651674552
10,0.275188548372093,0.25250073391618316
11,0.1252411773059528,0.26780862007537876
12,-0.05560888189107308,0.32189564069848337
