grp,k,beta,se
Accurx,-12,-0.09981483572068328,0.34504860950498867
Accurx,-11,-0.21378598777813376,0.30989532885311266
Accurx,-10,0.0037856321523074368,0.28186177937769985
Accurx,-9,-0.2562923985184142,0.293247416989949
Accurx,-8,-0.028218250733427565,0.24857519287436733
Accurx,-7,-0.02668738294194267,0.22890293729242078
Accurx,-6,-0.01555890342072245,0.21678052479278523
Accurx,-5,0.10320622498311516,0.2072738666495707
Accurx,-4,-0.04380692290450375,0.18860025953097842
Accurx,-3,0.09265397559958957,0.15886405832071765
Accurx,-2,0.07953184795709846,0.12914000479456456
Accurx,0,0.697153617657218,0.2221370694859997
Accurx,1,0.5509065709216235,0.29470329225825787
Accurx,2,0.5452436344407644,0.3190523487950733
Accurx,3,0.4033061042223938,0.3386007916430558
Accurx,4,0.47193747021374305,0.3533816255402324
Accurx,5,0.38124506956242005,0.35005287184643885
Accurx,6,0.40796625222460015,0.3605214097171278
Accurx,7,0.6213077127994729,0.3898677185207582
Accurx,8,0.6659503300031593,0.39976247585128566
Accurx,9,0.5823712905078668,0.4233742043891903
Accurx,10,0.5284752692592579,0.4291197898839002
Accurx,11,0.6183339076270117,0.449208730209776
Accurx,12,0.6980884284151649,0.4947968058097732
eConsult,-12,1.1870846247342228,0.9250194684482226
eConsult,-11,0.8807565654725551,0.7447656501230874
eConsult,-10,0.5226064976353888,0.7108061885593282
eConsult,-9,0.019125653854017183,0.7702288718270365
eConsult,-8,0.401929821880908,0.7367603696612182
eConsult,-7,0.28126459350825705,0.7671205464871093
eConsult,-6,-0.03606273750086809,0.7727901953872026
eConsult,-5,-0.001984082141615827,0.754077644672488
eConsult,-4,-0.1653072643307401,0.7142105079702974
eConsult,-3,0.24250058953158923,0.5973019291794489
eConsult,-2,0.7551321396042706,0.42148024138277
eConsult,0,0.8249271549776727,0.6090955876771628
eConsult,1,0.5500040706232405,0.7657471713227804
eConsult,2,-0.028665214795690785,0.71585701736437
eConsult,3,-0.5174988728296868,0.69038504523963
eConsult,4,0.2504680269052801,0.769283281909438
eConsult,5,0.05556229010563458,0.788113897778759
eConsult,6,-0.18061006082761763,0.8405320491811911
eConsult,7,-0.676278884948282,0.9539306795264382
eConsult,8,-1.2282459440909161,0.9913525701875592
eConsult,9,-0.595841820350821,0.9317036048929725
eConsult,10,-0.4075018485866476,1.0245972936555152
eConsult,11,-0.41417093137754235,1.1046660972180127
eConsult,12,1.1404151250069292,1.0357080568885377
TPP/SystmConnect,-12,-6.459183868766026,0.8235858120339846
TPP/SystmConnect,-11,-6.22965864311916,0.7951087076997886
TPP/SystmConnect,-10,-5.7553030333213515,0.7476548010685979
TPP/SystmConnect,-9,-5.121337685554915,0.7124051213199224
TPP/SystmConnect,-8,-4.049602475888666,0.6763468531527432
TPP/SystmConnect,-7,-3.8383339316780973,0.5997354018683433
TPP/SystmConnect,-6,-3.297893127889358,0.5728781707575644
TPP/SystmConnect,-5,-3.0689893202377116,0.5449830214810247
TPP/SystmConnect,-4,-2.339524311187066,0.3606442132888325
TPP/SystmConnect,-3,-2.088524047841815,0.34706201736653214
TPP/SystmConnect,-2,-0.6945712945526786,0.26577798341092806
TPP/SystmConnect,0,1.4112151562796773,0.46797207042970734
TPP/SystmConnect,1,1.7921762134533457,0.6010905990671266
TPP/SystmConnect,2,2.0405879143469585,0.5998674913885714
TPP/SystmConnect,3,2.132216983598762,0.6289139782375385
TPP/SystmConnect,4,1.9429523205930943,0.639670611262541
TPP/SystmConnect,5,2.1865213879754064,0.6637858263314885
TPP/SystmConnect,6,2.2598930480944968,0.6995928853939186
TPP/SystmConnect,7,2.203418280370622,0.8243227899790984
TPP/SystmConnect,8,2.134604190697099,0.7841436354216693
TPP/SystmConnect,9,2.0471337887473604,0.7520351748911189
TPP/SystmConnect,10,2.577590921852818,0.7595200677957136
TPP/SystmConnect,11,2.5651219305799815,0.7823688019743084
TPP/SystmConnect,12,2.9322484789369154,1.0309035591720586
