gp_code,fft_responses,fft_pct_positive
H85003,251.0,92.82868525896414
G83001,49.0,85.71428571428571
G83002,80.0,93.75
G83004,371.0,87.33153638814017
G83006,,
G83009,48.0,87.5
G83010,145.0,88.96551724137932
G83012,92.0,88.04347826086956
G83013,88.0,77.27272727272727
G83015,,
G83016,207.0,82.6086956521739
G83018,396.0,89.39393939393939
G83019,7.0,42.857142857142854
G83021,149.0,91.2751677852349
G83024,11.0,100.0
G83025,26.0,100.0
G83026,136.0,91.91176470588235
G83027,13.0,92.3076923076923
G83028,755.0,99.47019867549669
G83029,215.0,96.74418604651163
G83030,124.0,86.29032258064517
G83031,11.0,90.9090909090909
G83033,82.0,91.46341463414635
G83039,99.0,94.94949494949495
G83044,205.0,90.73170731707317
G83046,225.0,96.0
G83047,,
G83049,319.0,96.86520376175548
G83052,157.0,84.07643312101911
G83053,232.0,86.63793103448276
G83057,313.0,90.73482428115017
G83058,246.0,90.2439024390244
G83060,177.0,97.74011299435028
G83062,303.0,92.07920792079209
G83065,291.0,90.72164948453609
G83066,192.0,83.85416666666666
G83067,239.0,84.51882845188284
G83628,106.0,89.62264150943396
G83630,46.0,73.91304347826086
G83631,63.0,90.47619047619048
G83633,15.0,93.33333333333333
G83635,110.0,93.63636363636364
G83641,22.0,86.36363636363636
G83642,60.0,65.0
G83647,28.0,89.28571428571429
G83651,41.0,97.5609756097561
G83654,61.0,95.08196721311475
G83673,122.0,89.34426229508196
G83680,810.0,89.62962962962962
G84001,282.0,92.5531914893617
G84002,155.0,93.54838709677419
G84003,184.0,91.30434782608695
G84004,127.0,90.5511811023622
G84005,81.0,88.88888888888889
G84006,123.0,95.1219512195122
G84007,87.0,85.0574712643678
G84008,105.0,96.19047619047619
G84009,51.0,100.0
G84010,414.0,89.3719806763285
G84011,94.0,86.17021276595744
G84013,77.0,87.01298701298701
G84015,238.0,94.53781512605042
G84016,63.0,84.12698412698413
G84017,266.0,90.22556390977444
G84018,228.0,94.73684210526315
G84019,264.0,93.56060606060606
G84020,301.0,89.70099667774086
G84023,154.0,87.01298701298701
G84024,55.0,89.0909090909091
G84025,166.0,87.95180722891565
G84027,574.0,94.25087108013938
G84028,182.0,92.85714285714286
G84029,34.0,91.17647058823529
G84030,161.0,95.65217391304348
G84032,306.0,90.84967320261438
G84033,292.0,99.31506849315068
G84035,197.0,83.24873096446701
G84039,35.0,94.28571428571428
G84040,137.0,92.7007299270073
G84041,,
G84604,149.0,85.23489932885906
G84607,67.0,77.61194029850746
G84609,68.0,100.0
G84621,49.0,79.59183673469387
G84624,25.0,80.0
G84625,84.0,92.85714285714286
G84627,309.0,90.61488673139159
G84629,147.0,96.5986394557823
G84630,24.0,66.66666666666666
G85001,49.0,87.75510204081633
G85002,160.0,83.75
G85004,558.0,86.55913978494624
G85006,67.0,88.05970149253731
G85011,210.0,91.42857142857143
G85013,,
G85014,,
G85015,41.0,92.6829268292683
G85016,50.0,94.0
G85019,62.0,83.87096774193549
G85020,106.0,83.01886792452831
G85021,35.0,94.28571428571428
G85022,190.0,90.52631578947368
G85023,103.0,92.23300970873787
G85024,8.0,75.0
G85025,,
G85026,10.0,100.0
G85028,107.0,93.45794392523365
G85029,114.0,77.19298245614034
G85030,52.0,88.46153846153845
G85031,16.0,81.25
G85032,121.0,80.99173553719008
G85034,237.0,88.60759493670885
G85038,140.0,82.85714285714286
G85039,22.0,90.9090909090909
G85040,122.0,85.24590163934425
G85041,18.0,94.44444444444444
G85042,155.0,93.54838709677419
G85044,65.0,98.46153846153847
G85045,114.0,92.98245614035088
G85046,103.0,96.11650485436894
G85047,70.0,90.0
G85051,238.0,97.89915966386555
G85052,120.0,90.83333333333333
G85053,115.0,88.69565217391305
G85054,62.0,87.09677419354838
G85057,39.0,97.43589743589743
G85061,283.0,95.0530035335689
G85073,212.0,94.81132075471697
G85076,102.0,83.33333333333334
G85083,88.0,96.5909090909091
G85084,100.0,71.0
G85085,8.0,100.0
G85086,136.0,94.11764705882352
G85087,154.0,79.87012987012987
G85091,46.0,91.30434782608695
G85096,13.0,61.53846153846154
G85100,58.0,91.37931034482759
G85102,165.0,86.66666666666667
G85104,98.0,90.81632653061224
G85105,17.0,94.11764705882352
G85109,345.0,95.07246376811594
G85114,131.0,92.36641221374046
G85119,47.0,82.97872340425532
G85120,,
G85121,10.0,100.0
G85123,247.0,92.71255060728745
G85125,105.0,93.33333333333333
G85127,97.0,95.87628865979381
G85129,60.0,90.0
G85130,98.0,81.63265306122449
G85132,,
G85134,,
G85135,68.0,92.64705882352942
G85136,39.0,100.0
G85137,211.0,96.6824644549763
G85138,46.0,95.65217391304348
G85623,99.0,77.77777777777779
G85632,137.0,95.62043795620438
G85633,7.0,100.0
G85642,125.0,96.0
G85644,54.0,90.74074074074075
G85647,95.0,92.63157894736842
G85651,51.0,84.31372549019608
G85662,148.0,96.62162162162163
G85673,30.0,96.66666666666667
G85674,61.0,95.08196721311475
G85681,100.0,99.0
G85685,,
G85690,71.0,94.36619718309859
G85695,24.0,95.83333333333334
G85696,182.0,92.3076923076923
G85698,119.0,84.87394957983193
G85705,117.0,94.01709401709401
G85706,25.0,96.0
G85708,183.0,91.80327868852459
G85711,71.0,88.73239436619718
G85715,89.0,80.89887640449437
G85716,182.0,92.3076923076923
G85721,80.0,97.5
G85722,171.0,88.30409356725146
G85724,191.0,86.91099476439791
G85726,45.0,84.44444444444444
G85727,77.0,84.4155844155844
G85736,12.0,83.33333333333334
Y00020,181.0,95.02762430939227
Y02811,,
Y02974,132.0,87.87878787878788
Y03063,59.0,93.22033898305084
Y03755,123.0,78.86178861788618
Y06113,7.0,100.0
Y06345,,
Y06545,,
Y07020,,
Y08411,,
Y06592,,
F81062,,
F83053,,
F82001,10.0,90.0
F82002,,
F82003,21.0,100.0
F82005,,
F82006,16.0,100.0
F82007,35.0,97.14285714285714
F82008,,
F82009,191.0,82.72251308900523
F82010,7.0,85.71428571428571
F82011,,
F82013,58.0,98.27586206896551
F82014,170.0,91.76470588235294
F82015,28.0,100.0
F82016,16.0,75.0
F82017,,
F82018,,
F82019,,
F82021,111.0,91.8918918918919
F82022,42.0,90.47619047619048
F82023,70.0,97.14285714285714
F82025,,
F82027,23.0,95.65217391304348
F82028,155.0,64.51612903225806
F82030,75.0,97.33333333333334
F82031,,
F82033,31.0,100.0
F82034,85.0,82.35294117647058
F82038,,
F82039,,
F82040,45.0,88.88888888888889
F82042,244.0,87.29508196721312
F82045,,
F82051,6.0,100.0
F82053,,
F82055,41.0,97.5609756097561
F82604,72.0,86.11111111111111
F82607,8.0,100.0
F82609,,
F82610,,
F82612,98.0,84.6938775510204
F82619,82.0,92.6829268292683
F82624,27.0,96.29629629629629
F82625,40.0,92.5
F82627,91.0,71.42857142857143
F82630,27.0,100.0
F82634,102.0,91.17647058823529
F82638,,
F82642,,
F82647,,
F82648,,
F82649,,
F82650,169.0,91.71597633136095
F82660,35.0,42.857142857142854
F82661,14.0,100.0
F82663,,
F82670,,
F82671,80.0,91.25
F82674,,
F82675,,
F82677,,
F82678,12.0,100.0
F82679,65.0,90.76923076923077
F82680,41.0,92.6829268292683
F82686,53.0,79.24528301886792
F84003,,
F84004,246.0,93.08943089430895
F84006,130.0,89.23076923076924
F84008,138.0,93.47826086956522
F84009,150.0,84.66666666666667
F84010,22.0,95.45454545454545
F84012,21.0,47.61904761904761
F84013,10.0,70.0
F84014,,
F84015,,
F84016,42.0,83.33333333333334
F84017,,
F84018,,
F84021,198.0,89.8989898989899
F84022,25.0,96.0
F84025,,
F84030,39.0,66.66666666666666
F84031,189.0,83.5978835978836
F84033,141.0,97.87234042553192
F84034,228.0,88.1578947368421
F84035,142.0,90.84507042253522
F84036,113.0,94.69026548672566
F84038,36.0,100.0
F84039,188.0,63.829787234042556
F84044,25.0,80.0
F84047,,
F84050,26.0,92.3076923076923
F84051,87.0,81.60919540229885
F84052,141.0,89.36170212765957
F84053,,
F84054,,
F84055,10.0,80.0
F84060,,
F84062,17.0,94.11764705882352
F84063,14.0,92.85714285714286
F84069,,
F84070,14.0,100.0
F84072,121.0,93.38842975206612
F84074,9.0,33.33333333333333
F84077,64.0,96.875
F84079,87.0,82.75862068965517
F84080,,
F84081,6.0,100.0
F84083,43.0,83.72093023255815
F84086,24.0,87.5
F84087,83.0,75.90361445783132
F84088,15.0,100.0
F84092,212.0,84.90566037735849
F84093,,
F84096,,
F84097,,
F84105,31.0,96.7741935483871
F84111,68.0,42.64705882352941
F84114,57.0,89.47368421052632
F84115,211.0,93.8388625592417
F84117,88.0,76.13636363636364
F84118,,
F84119,,
F84121,158.0,80.37974683544303
F84122,,
F84123,,
F84124,42.0,100.0
F84601,,
F84619,,
F84620,20.0,75.0
F84621,39.0,97.43589743589743
F84632,25.0,96.0
F84635,75.0,93.33333333333333
F84636,,
F84640,,
F84641,22.0,100.0
F84642,84.0,90.47619047619048
F84647,130.0,88.46153846153845
F84656,100.0,80.0
F84658,17.0,82.35294117647058
F84660,64.0,100.0
F84666,10.0,40.0
F84668,30.0,100.0
F84669,71.0,92.95774647887323
F84670,,
F84672,103.0,92.23300970873787
F84677,29.0,100.0
F84681,,
F84686,,
F84692,81.0,97.53086419753086
F84694,54.0,94.44444444444444
F84696,13.0,100.0
F84698,22.0,95.45454545454545
F84710,42.0,95.23809523809523
F84716,151.0,86.09271523178808
F84717,40.0,87.5
F84718,22.0,90.9090909090909
F84719,63.0,93.65079365079364
F84720,,
F84724,12.0,75.0
F84729,9.0,88.88888888888889
F84730,144.0,69.44444444444444
F84731,10.0,100.0
F84733,,
F84735,22.0,95.45454545454545
F84739,45.0,100.0
F84740,,
F84741,,
F84747,115.0,68.69565217391305
F84749,137.0,75.91240875912408
F86001,,
F86004,178.0,87.64044943820225
F86005,,
F86006,36.0,97.22222222222221
F86007,69.0,100.0
F86008,219.0,84.47488584474885
F86009,135.0,83.7037037037037
F86010,39.0,94.87179487179486
F86011,23.0,91.30434782608695
F86012,83.0,89.1566265060241
F86013,12.0,91.66666666666666
F86018,,
F86020,130.0,97.6923076923077
F86022,150.0,60.66666666666667
F86023,140.0,96.42857142857143
F86025,,
F86026,16.0,100.0
F86028,,
F86030,16.0,93.75
F86032,92.0,94.56521739130434
F86034,,
F86036,,
F86038,75.0,86.66666666666667
F86040,,
F86042,15.0,100.0
F86044,23.0,91.30434782608695
F86045,6.0,83.33333333333334
F86057,,
F86058,,
F86060,,
F86062,33.0,96.96969696969697
F86064,39.0,89.74358974358975
F86066,63.0,57.14285714285714
F86074,81.0,81.48148148148148
F86078,151.0,84.76821192052981
F86081,9.0,100.0
F86082,26.0,100.0
F86083,77.0,54.54545454545454
F86085,9.0,66.66666666666666
F86086,8.0,100.0
F86087,38.0,86.8421052631579
F86088,,
F86607,26.0,88.46153846153845
F86612,115.0,90.43478260869566
F86616,73.0,97.26027397260275
F86621,14.0,85.71428571428571
F86624,116.0,95.6896551724138
F86625,43.0,90.69767441860465
F86626,19.0,94.73684210526315
F86627,214.0,93.45794392523365
F86637,,
F86638,,
F86641,36.0,88.88888888888889
F86644,,
F86650,,
F86652,90.0,95.55555555555556
F86657,40.0,100.0
F86658,30.0,96.66666666666667
F86664,17.0,94.11764705882352
F86666,39.0,74.35897435897436
F86679,13.0,100.0
F86689,18.0,100.0
F86691,133.0,88.7218045112782
F86692,100.0,96.0
F86696,,
F86698,21.0,90.47619047619048
F86700,33.0,93.93939393939394
F86701,51.0,90.19607843137256
F86702,,
F86705,31.0,100.0
F86707,,
F86708,10.0,100.0
F86712,16.0,93.75
F86731,42.0,97.61904761904762
Y00090,202.0,76.23762376237624
Y00155,,
Y00312,,
Y00403,31.0,80.64516129032258
Y00918,29.0,79.3103448275862
Y01280,,
Y01291,25.0,96.0
Y01719,54.0,79.62962962962963
Y01795,23.0,86.95652173913044
Y01839,130.0,90.76923076923077
