gp_code,practice_name,time_period,emerg_adm_cancer_rate_per100k,emerg_adm_cancer_count,emerg_adm_cancer_denominator,emerg_presentations_rate_per100k,emerg_presentations_count,emerg_presentations_denominator,other_nonemerg_presentations_rate_per100k,other_nonemerg_presentations_count,other_nonemerg_presentations_denominator,emerg_adm_cancer_note,emerg_presentations_note,other_nonemerg_presentations_note
A81001,The Densham Surgery,2024/25,1229.50819672131,48,3904,25.6147540983607,1,3904,332.991803278689,13,3904,There is a data quality issue with this value,,
A81002,Queens Park Medical Centre,2024/25,1092.86704339482,205,18758,117.283292461883,22,18758,490.457404840601,92,18758,There is a data quality issue with this value,,
A81004,Acklam Medical Centre,2024/25,749.162700511193,85,11346,88.1367882954345,10,11346,537.634408602151,61,11346,There is a data quality issue with this value,,
A81005,Springwood Surgery,2024/25,859.710824540836,66,7677,195.388823759281,15,7677,664.322000781555,51,7677,There is a data quality issue with this value,,
A81006,Tennant Street Medical Practice,2024/25,795.431368549868,117,14709,108.776939288871,16,14709,530.287579033245,78,14709,There is a data quality issue with this value,,
A81007,Bankhouse Surgery,2024/25,762.999246420497,81,10616,75.3579502637528,8,10616,480.406932931424,51,10616,There is a data quality issue with this value,,
A81009,Village Medical Centre,2024/25,724.904779456936,59,8139,122.865216857108,10,8139,540.606954171274,44,8139,There is a data quality issue with this value,,
A81011,Chadwick Practice,2024/25,791.379020037043,94,11878,109.446034685974,13,11878,597.74372790032,71,11878,There is a data quality issue with this value,,
A81012,Westbourne Medical Centre,2024/25,371.681415929204,21,5650,53.0973451327434,3,5650,530.973451327434,30,5650,There is a data quality issue with this value,,
A81013,Brotton Surgery,2024/25,850.228907782865,65,7645,156.965336821452,12,7645,497.056899934598,38,7645,There is a data quality issue with this value,,
A81014,Queenstree Practice,2024/25,1397.25367381354,58,4151,144.543483497952,6,4151,770.898578655746,32,4151,There is a data quality issue with this value,,
A81016,Park Surgery,2024/25,609.855261018052,75,12298,56.9198243616848,7,12298,243.942104407221,30,12298,There is a data quality issue with this value,,
A81017,Woodbridge Practice,2024/25,730.006537371977,134,18356,87.1649596862062,16,18356,441.272608411419,81,18356,There is a data quality issue with this value,,
A81018,Bentley Medical Practice,2024/25,794.663004022368,81,10193,147.159815559698,15,10193,706.36711468655,72,10193,There is a data quality issue with this value,,
A81019,Crossfell Health Centre,2024/25,853.932584269663,76,8900,123.595505617978,11,8900,550.561797752809,49,8900,There is a data quality issue with this value,,
A81020,Martonside Medical Centre,2024/25,682.939167825977,54,7907,88.5291513848489,7,7907,594.410016441128,47,7907,There is a data quality issue with this value,,
A81021,Normanby Medical Centre,2024/25,746.268656716418,171,22914,157.109190887667,36,22914,432.050274941084,99,22914,There is a data quality issue with this value,,
A81022,Hillside Practice,2024/25,979.661377915025,92,9391,191.672878287722,18,9391,745.394526674476,70,9391,There is a data quality issue with this value,,
