gp_code,partner_fte,salaried_fte,locum_fte,registrar_fte,foundation_other_fte,nurse_fte,dpc_fte,admin_fte
A81001,2.0,0.0,0.0,1.706666667,0.0,0.52,0.426666667,7.293333333
A81002,6.546666667,0.0,0.0,1.706666667,1.066666667,6.48,5.186666667,26.0
A81004,1.0,2.266666667,0.0,0.0,0.0,5.746666667,0.9,16.01333333
A81005,3.306666667,0.0,0.0,2.6,0.0,2.0,0.613333333,12.88346667
A81006,5.98,0.0,0.0,2.24,0.0,5.64,3.306666667,18.37333333
A81007,4.200266666,3.853333333,0.0,2.853333333,0.0,1.493333333,2.0,17.01333333
A81009,1.06,1.886666667,0.0,0.0,0.0,3.88,1.0,12.26666667
A81011,3.0,0.8,0.0,0.0,0.0,3.933333333,3.026666667,11.99066667
A81012,2.12,1.226666667,0.0,0.0,0.0,1.773333333,2.0,6.853333333
A81013,3.000266667,0.0,0.0,1.066666667,0.0,2.2968,0.893333333,11.44
A81014,1.3512,0.0,0.0,0.0,0.0,1.213333333,0.56,5.52
A81016,1.96,0.946666667,0.0,0.0,1.066666667,7.28,3.301130191,18.33333333
A81017,5.565066666,0.826666667,0.0,2.346666667,0.0,5.293333333,1.586666667,21.11333333
A81018,0.890133333,2.666666667,0.0,0.0,0.0,4.6,2.106666667,14.73333333
A81019,2.2,2.0,0.0,0.0,0.0,1.426666667,1.413333333,10.28
A81020,2.333333334,2.218666667,0.0,1.92,0.0,2.773333333,2.24,8.186666667
A81021,8.3536,2.133333333,0.0,0.0,0.0,9.88,5.84,35.01333333
A81022,3.2,1.114666667,0.0,1.92,0.0,3.12,3.28,14.66666667
A81023,2.04,2.733333333,0.0,0.0,0.0,2.08,2.026666667,9.96
A81025,2.12,0.0,0.0,2.133333334,0.0,0.72,0.533333333,5.433333334
A81026,5.0736,3.493333333,0.0,3.1333333339999996,1.066666667,4.92,2.98,27.57333333
A81027,4.12,1.656,0.0,2.666666667,0.0,3.666666667,3.6,17.36
A81029,2.0,1.386666667,0.0,1.066666667,0.0,1.653333333,0.64,9.546666667
A81030,3.733333333,3.866666667,0.0,2.773333333,0.0,4.773333333,3.306666667,28.14
A81031,3.552,1.2,0.0,3.626666667,1.066666667,7.6,1.653333333,17.32
A81032,4.260266667,0.670133333,0.0,3.733333333,0.0,4.693333333,2.333333333,14.54666667
A81034,8.266666666999999,4.506666667,0.0,4.693333334,1.066666667,2.426666667,10.78666667,23.81333333
A81035,3.170666667,1.773333333,0.0,1.386666667,0.0,2.373333333,1.933333333,16.66453333
A81036,5.288533333,1.884426667,0.0,1.92,0.0,6.466666667,4.9048,26.1984
