gp_code,partner_fte,salaried_fte,locum_fte,registrar_fte,foundation_other_fte,nurse_fte,dpc_fte,admin_fte,training
A81001,0.64,0.0,0.0,2.7733,0.0,0.0,0.4267,5.52,1
A81002,6.26,0.0,0.0,1.92,1.0667,7.5067,3.6933,25.68,1
A81004,1.76,2.3067,0.0,0.0,0.0,5.0533,0.4,15.6426,0
A81005,3.9467,0.0,0.0,2.9867,1.0667,1.7333,1.9333,13.0301,1
A81006,5.98,0.0,0.0,2.56,0.0,5.7067,3.9733,17.8,1
A81007,4.2003,2.64,0.0,2.0,0.0,1.8787,2.0,12.48,1
A81009,1.06,2.3133,0.0,0.0,0.0,4.3067,1.0,12.9333,0
A81011,3.0,1.4933,0.0,0.0,0.0,4.5733,2.4933,14.6973,0
A81012,2.12,1.3333,0.0,0.0,0.0,1.6933,1.0667,6.9467,0
A81013,2.3603,0.0,0.0,0.64,0.0,2.2968,0.8933,11.04,1
A81014,1.2445,0.0,0.0,0.0,0.0,1.2133,0.56,5.2,0
A81016,1.96,0.9467,0.0,1.0667,1.0667,6.48,3.3733,24.4267,1
A81017,5.5651,1.2267,0.0,2.3467,0.0,5.3733,2.5867,20.8133,1
A81018,0.8901,3.0,0.0,0.0,0.0,3.6,2.0,16.8,0
A81019,2.2,2.0,0.0,0.0,0.0,1.4267,1.4133,10.28,0
A81020,0.6667,2.2133,0.0,3.6267,0.0,2.9067,3.12,12.56,1
A81021,8.3536,0.0,0.0,1.0667,0.0,12.94,7.56,39.5933,1
A81022,3.2,1.1147,0.0,2.88,1.0667,4.0133,2.3467,15.2,1
A81023,2.04,3.3867,0.0,0.0,0.0,2.08,2.6667,10.2133,0
A81025,1.28,0.2133,0.0,1.92,0.0,0.48,1.0,7.5333,1
A81026,5.5168,2.9333,0.0,5.44,1.0667,3.62,3.06,27.68,1
A81027,4.92,1.656,0.0,2.56,0.0,4.68,3.2933,15.4533,1
A81029,2.0,1.3867,0.0,1.0667,0.0,1.6533,0.64,9.1467,1
A81030,3.7067,4.4,0.0,3.84,0.0,4.9909,3.3067,26.78,1
A81031,4.2187,1.2,0.0,6.1867,1.0667,7.1867,0.8,18.5067,1
A81032,5.0203,0.6701,0.0,1.92,1.0667,4.4933,2.8667,14.28,1
A81034,6.2667,5.9733,0.0,4.0533,1.0667,2.4267,8.8,27.7867,1
A81035,2.624,1.1333,0.0,0.0,0.0,2.3733,1.8,14.8,1
A81036,4.0085,1.2087,0.0,1.7067,0.0,4.7067,3.3467,25.0,1
A81037,1.7803,1.76,0.0,0.0,0.0,2.0533,1.28,8.0133,0
A81038,1.96,0.0,0.0,0.0,0.0,0.0,0.96,3.9467,0
A81039,6.4,1.2,0.0,3.2,0.0,3.56,0.5333,15.5333,1
A81040,3.4533,0.5333,0.0,1.0667,2.1333,1.7067,1.3333,12.7733,1
A81041,2.96,1.8133,0.0,0.0,0.0,2.08,2.3333,11.1467,0
A81042,1.3333,3.5387,0.0,5.2667,0.0,7.9067,5.44,23.3973,1
A81044,6.368,0.0,0.0,4.0533,0.0,8.36,3.24,36.6,1
A81045,1.32,1.0,0.0,2.9867,0.0,0.5867,4.8173,12.8467,1
A81046,4.0,1.12,0.0,3.2,1.0667,2.1467,2.0,20.6667,1
A81048,1.8675,0.0,0.0,2.9867,0.0,2.3333,3.6133,8.68,1
A81049,2.0,0.64,0.0,2.9867,0.0,1.7333,1.0,9.88,1
A81051,2.6667,0.6667,0.0,0.0,0.0,1.16,2.72,11.16,0
A81052,3.2,0.8,0.0,0.0,0.0,4.6928,6.5333,16.6867,1
A81053,0.6667,1.48,0.0,0.0,0.0,2.1467,2.08,9.7333,0
A81054,2.2667,0.8467,0.0,0.0,0.0,5.52,0.9333,11.6933,0
A81056,0.0,1.0267,0.0,0.0,0.0,0.0,0.0,2.8267,0
A81057,2.3403,1.4,0.0,4.2667,0.0,3.96,1.5768,13.0669,1
A81058,4.5867,0.0,0.0,1.7067,0.0,4.0333,1.2267,13.4667,1
A81060,1.6,0.4533,0.24,0.0,0.0,3.0267,1.6933,6.72,0
A81063,2.0,0.0,0.0,0.0,0.0,1.2667,1.6667,6.12,0
