gp_code,allf2f_early,allf2f_late,d_allf2f,gpf2f_early,gpf2f_late,d_gpf2f,othf2f_early,othf2f_late,d_othf2f,gpf2f_ofgp_early,gpf2f_ofgp_late,d_gpf2f_ofgp
A81001,85.3,55.93,-29.37,37.95,23.89,-14.06,47.35,32.04,-15.31,77.15,68.38,-8.78
A81002,81.45,73.11,-8.34,16.72,17.23,0.51,64.73,55.88,-8.85,62.56,47.37,-15.19
A81004,57.23,74.09,16.86,11.79,23.32,11.53,45.44,50.77,5.33,42.91,71.97,29.06
A81005,62.09,58.48,-3.62,22.69,18.47,-4.21,39.41,40.0,0.59,47.58,45.41,-2.17
A81006,78.44,70.87,-7.57,27.56,21.44,-6.13,50.87,49.43,-1.44,83.86,66.72,-17.14
A81007,86.0,85.08,-0.93,28.14,31.44,3.3,57.87,53.64,-4.23,92.69,90.24,-2.45
A81009,40.39,43.35,2.96,11.25,11.23,-0.01,29.14,32.11,2.97,69.15,63.72,-5.44
A81011,91.31,83.79,-7.52,39.13,32.88,-6.25,52.19,50.92,-1.27,93.99,77.26,-16.72
A81012,84.46,81.34,-3.12,38.92,35.29,-3.63,45.55,46.06,0.51,84.78,75.63,-9.15
A81013,89.11,81.47,-7.63,32.83,32.85,0.02,56.27,48.62,-7.65,88.99,92.29,3.3
A81014,87.42,87.33,-0.09,44.88,45.45,0.57,42.54,41.88,-0.66,90.31,90.11,-0.2
A81016,71.38,61.21,-10.17,18.63,13.31,-5.33,52.75,47.91,-4.84,53.35,41.05,-12.29
A81017,97.15,97.67,0.52,56.92,54.0,-2.93,40.23,43.68,3.45,99.29,98.39,-0.91
A81018,79.45,88.09,8.65,30.48,30.5,0.02,48.96,57.59,8.63,65.84,78.76,12.92
A81019,70.32,82.64,12.32,37.59,49.4,11.81,32.73,33.24,0.51,68.59,89.25,20.65
A81020,63.15,60.31,-2.84,25.27,30.13,4.86,37.87,30.17,-7.7,53.5,57.86,4.36
A81021,77.87,82.08,4.21,21.01,20.02,-0.99,56.86,62.07,5.2,62.06,75.93,13.87
A81022,50.72,54.0,3.28,16.8,18.69,1.89,33.92,35.31,1.39,35.97,47.52,11.56
A81023,68.81,67.28,-1.53,25.35,26.65,1.3,43.46,40.63,-2.83,50.82,47.78,-3.04
A81025,82.85,80.17,-2.68,44.95,36.26,-8.69,37.9,43.91,6.0,86.31,74.85,-11.45
A81026,69.87,64.31,-5.56,20.05,21.22,1.17,49.83,43.1,-6.73,57.18,41.77,-15.4
A81027,71.72,65.08,-6.63,28.13,23.87,-4.26,43.59,41.21,-2.38,64.28,52.7,-11.57
A81029,65.93,72.67,6.74,25.04,30.45,5.41,40.89,42.22,1.33,49.69,59.24,9.55
A81030,82.02,85.47,3.44,29.32,32.82,3.49,52.7,52.65,-0.05,79.43,82.65,3.21
A81031,83.14,77.26,-5.88,28.09,22.51,-5.58,55.05,54.75,-0.3,65.78,69.56,3.79
A81032,85.84,75.1,-10.74,40.52,34.38,-6.15,45.31,40.72,-4.59,84.36,76.9,-7.46
A81034,70.99,59.67,-11.32,52.94,36.46,-16.48,18.04,23.2,5.16,80.81,63.68,-17.13
A81035,60.56,72.79,12.23,22.82,30.87,8.05,37.74,41.92,4.19,49.04,61.71,12.67
