gp_code,year,satisfaction,source_col_satisfaction,phone_easy,source_col_phone_easy,continuity,source_col_continuity,wave
A83005,2017,88.6787,Q28_12pct,53.8921,Q3_12pct,61.4851,Q9_12pct,annual
A83006,2017,96.7126,Q28_12pct,95.226,Q3_12pct,88.6949,Q9_12pct,annual
A83010,2017,75.4268,Q28_12pct,49.7004,Q3_12pct,55.2872,Q9_12pct,annual
A83013,2017,83.7383,Q28_12pct,46.9601,Q3_12pct,46.199,Q9_12pct,annual
A83031,2017,90.5068,Q28_12pct,72.391,Q3_12pct,49.2117,Q9_12pct,annual
A83034,2017,83.8682,Q28_12pct,77.1401,Q3_12pct,49.1004,Q9_12pct,annual
A83040,2017,83.5181,Q28_12pct,47.2903,Q3_12pct,37.2841,Q9_12pct,annual
A83047,2017,86.5005,Q28_12pct,65.0604,Q3_12pct,63.7037,Q9_12pct,annual
A83048,2017,98.434,Q28_12pct,95.0544,Q3_12pct,90.6551,Q9_12pct,annual
A83070,2017,97.6355,Q28_12pct,97.3578,Q3_12pct,78.8484,Q9_12pct,annual
A83641,2017,72.0519,Q28_12pct,58.8852,Q3_12pct,24.6202,Q9_12pct,annual
A83001,2017,83.2999,Q28_12pct,48.6418,Q3_12pct,23.7999,Q9_12pct,annual
A83003,2017,93.7688,Q28_12pct,73.5032,Q3_12pct,71.9487,Q9_12pct,annual
A83004,2017,86.4177,Q28_12pct,82.9045,Q3_12pct,77.5088,Q9_12pct,annual
A83007,2017,97.1115,Q28_12pct,84.6319,Q3_12pct,57.763,Q9_12pct,annual
A83008,2017,79.8005,Q28_12pct,68.153,Q3_12pct,37.4254,Q9_12pct,annual
A83012,2017,86.9334,Q28_12pct,43.8125,Q3_12pct,33.1918,Q9_12pct,annual
A83015,2017,95.8382,Q28_12pct,89.6435,Q3_12pct,70.4816,Q9_12pct,annual
A83017,2017,70.1818,Q28_12pct,81.9807,Q3_12pct,44.7164,Q9_12pct,annual
A83019,2017,86.3934,Q28_12pct,90.9036,Q3_12pct,73.4626,Q9_12pct,annual
A83020,2017,66.1543,Q28_12pct,28.5535,Q3_12pct,28.0835,Q9_12pct,annual
A83021,2017,90.857,Q28_12pct,79.94,Q3_12pct,50.355,Q9_12pct,annual
A83025,2017,83.4733,Q28_12pct,63.4721,Q3_12pct,44.4402,Q9_12pct,annual
A83032,2017,96.6228,Q28_12pct,95.581,Q3_12pct,79.8974,Q9_12pct,annual
A83035,2017,88.8849,Q28_12pct,82.3823,Q3_12pct,48.3871,Q9_12pct,annual
A83037,2017,98.788,Q28_12pct,73.6642,Q3_12pct,65.8091,Q9_12pct,annual
A83041,2017,76.9476,Q28_12pct,57.7373,Q3_12pct,49.5323,Q9_12pct,annual
A83042,2017,74.7688,Q28_12pct,81.5794,Q3_12pct,7.9763,Q9_12pct,annual
A83043,2017,92.2217,Q28_12pct,93.1362,Q3_12pct,84.4277,Q9_12pct,annual
A83044,2017,91.8348,Q28_12pct,88.6623,Q3_12pct,59.5716,Q9_12pct,annual
A83045,2017,90.7329,Q28_12pct,58.3187,Q3_12pct,68.4742,Q9_12pct,annual
A83046,2017,92.8038,Q28_12pct,78.3755,Q3_12pct,49.6605,Q9_12pct,annual
A83051,2017,81.6706,Q28_12pct,70.6535,Q3_12pct,45.3736,Q9_12pct,annual
A83052,2017,91.2706,Q28_12pct,66.4863,Q3_12pct,43.6189,Q9_12pct,annual
A83054,2017,91.1193,Q28_12pct,79.9519,Q3_12pct,43.7296,Q9_12pct,annual
A83057,2017,85.7164,Q28_12pct,87.3438,Q3_12pct,54.9187,Q9_12pct,annual
A83060,2017,95.2453,Q28_12pct,89.2019,Q3_12pct,84.0947,Q9_12pct,annual
A83061,2017,97.7393,Q28_12pct,97.9641,Q3_12pct,84.2421,Q9_12pct,annual
A83066,2017,88.4709,Q28_12pct,82.0073,Q3_12pct,62.4331,Q9_12pct,annual
A83071,2017,83.8288,Q28_12pct,86.3979,Q3_12pct,79.5938,Q9_12pct,annual
A83074,2017,92.5808,Q28_12pct,91.4936,Q3_12pct,71.3005,Q9_12pct,annual
A83075,2017,84.1713,Q28_12pct,69.6944,Q3_12pct,57.4612,Q9_12pct,annual
A83603,2017,80.1532,Q28_12pct,63.7523,Q3_12pct,34.4285,Q9_12pct,annual
A83610,2017,87.0689,Q28_12pct,92.7306,Q3_12pct,,Q9_12pct,annual
A83616,2017,85.0987,Q28_12pct,80.3089,Q3_12pct,66.9483,Q9_12pct,annual
A83619,2017,99.2384,Q28_12pct,99.0313,Q3_12pct,82.0224,Q9_12pct,annual
A83626,2017,93.772,Q28_12pct,93.4672,Q3_12pct,,Q9_12pct,annual
A83627,2017,96.9543,Q28_12pct,93.0228,Q3_12pct,76.6901,Q9_12pct,annual
A83634,2017,91.7093,Q28_12pct,89.6978,Q3_12pct,65.7376,Q9_12pct,annual
Y02614,2017,71.7958,Q28_12pct,71.6684,Q3_12pct,,Q9_12pct,annual
A83009,2017,79.8776,Q28_12pct,62.2936,Q3_12pct,60.4339,Q9_12pct,annual
A83011,2017,86.6994,Q28_12pct,85.081,Q3_12pct,63.7108,Q9_12pct,annual
A83014,2017,54.334,Q28_12pct,29.4209,Q3_12pct,33.6157,Q9_12pct,annual
A83016,2017,79.6527,Q28_12pct,62.0204,Q3_12pct,45.3229,Q9_12pct,annual
A83018,2017,78.4899,Q28_12pct,43.8662,Q3_12pct,31.4582,Q9_12pct,annual
A83022,2017,85.6606,Q28_12pct,62.5694,Q3_12pct,44.4944,Q9_12pct,annual
A83023,2017,71.5749,Q28_12pct,47.433,Q3_12pct,26.6042,Q9_12pct,annual
A83024,2017,91.1696,Q28_12pct,79.0572,Q3_12pct,51.4504,Q9_12pct,annual
A83026,2017,95.3071,Q28_12pct,83.6681,Q3_12pct,64.5602,Q9_12pct,annual
A83027,2017,93.7992,Q28_12pct,75.6087,Q3_12pct,36.6612,Q9_12pct,annual
A83028,2017,84.2297,Q28_12pct,64.0871,Q3_12pct,41.7761,Q9_12pct,annual
A83029,2017,94.0241,Q28_12pct,92.5345,Q3_12pct,66.4668,Q9_12pct,annual
A83030,2017,94.3693,Q28_12pct,75.5032,Q3_12pct,28.2889,Q9_12pct,annual
A83033,2017,77.8957,Q28_12pct,59.4922,Q3_12pct,52.9934,Q9_12pct,annual
A83036,2017,91.6137,Q28_12pct,65.9363,Q3_12pct,73.1619,Q9_12pct,annual
A83038,2017,90.1419,Q28_12pct,70.2606,Q3_12pct,53.4667,Q9_12pct,annual
A83049,2017,94.3063,Q28_12pct,80.5385,Q3_12pct,63.3185,Q9_12pct,annual
A83050,2017,88.1625,Q28_12pct,76.8924,Q3_12pct,46.3869,Q9_12pct,annual
A83055,2017,95.826,Q28_12pct,85.8707,Q3_12pct,55.2652,Q9_12pct,annual
A83072,2017,84.0207,Q28_12pct,84.6273,Q3_12pct,37.3446,Q9_12pct,annual
A83073,2017,92.7929,Q28_12pct,94.3572,Q3_12pct,79.5703,Q9_12pct,annual
A83076,2017,96.9541,Q28_12pct,94.0328,Q3_12pct,,Q9_12pct,annual
A83617,2017,91.2824,Q28_12pct,90.6738,Q3_12pct,30.9108,Q9_12pct,annual
A83618,2017,89.2429,Q28_12pct,97.5817,Q3_12pct,60.675,Q9_12pct,annual
A83622,2017,93.1754,Q28_12pct,91.2641,Q3_12pct,,Q9_12pct,annual
A83630,2017,98.4018,Q28_12pct,90.7904,Q3_12pct,90.5172,Q9_12pct,annual
A83632,2017,83.68,Q28_12pct,96.9028,Q3_12pct,,Q9_12pct,annual
A83635,2017,76.8811,Q28_12pct,54.4881,Q3_12pct,,Q9_12pct,annual
A83636,2017,94.0889,Q28_12pct,67.8114,Q3_12pct,51.5528,Q9_12pct,annual
A83637,2017,89.3423,Q28_12pct,82.1647,Q3_12pct,,Q9_12pct,annual
A83644,2017,93.6099,Q28_12pct,89.8264,Q3_12pct,71.5064,Q9_12pct,annual
A81001,2017,68.5238,Q28_12pct,28.3075,Q3_12pct,77.4282,Q9_12pct,annual
A81002,2017,85.1063,Q28_12pct,62.4708,Q3_12pct,73.5916,Q9_12pct,annual
