question,response,national_pct,national_n
Q1,Easy,57.0,277548
Q1,Difficult,30.0,145438
Q2,Easy,59.0,194819
Q2,Difficult,27.0,90776
Q3,Easy,55.0,148185
Q3,Difficult,30.0,79620
Q4,Helpful,85.0,429166
Q4,Not helpful,15.0,75452
Q5,Booking appointments,52.0,276156
Q5,"Filling in an online form to give information about a health issue (for example, to ask for an appointment or advice)",32.0,170109
Q5,Ordering repeat prescriptions,48.0,253781
Q5,Accessing medical records,30.0,158106
Q5,Registering with a practice,5.0,25012
Q5,Finding out test results,36.0,189615
Q5,"Making an administrative request (for example, asking for a fit note or updating contact details)",11.0,59060
Q5,None of these,19.0,100779
Q6,Yes,32.0,167555
Q6,No,68.0,363897
Q7,Always or almost always / A lot of the time,42.0,65887
Q7,Sometimes / Never or almost never,58.0,90003
Q8,In the last 6 months,79.0,421080
Q8,More than 6 months ago,18.0,93861
Q9,Get advice or treatment from a healthcare professional for a new health issue,38.0,195452
Q9,Get advice or treatment from a healthcare professional for an existing health issue,26.0,134054
Q9,Get a prescription,12.0,63844
Q9,Get test results,6.0,28445
Q9,"Make an administrative request (for example, updating contact details or personal information)",1.0,7696
Q9,"Get help with a fit note or any other medical evidence (for example, for benefit claims or background medical checks)",2.0,11020
Q9,Discuss a referral for specialist care,4.0,21230
Q9,Register with the practice as a new patient,1.0,2899
Q9,Do something else,10.0,49950
Q10,I phoned the practice,53.0,272336
Q10,I visited in person,14.0,70716
Q10,"Online, using the practice website",20.0,102643
Q10,"Online, using the NHS App",9.0,48304
Q10,"Online, using a different website or app",3.0,12995
Q10,Another way,2.0,7839
Q11,My call was answered straight away,13.0,35861
Q11,My call was held in a queue and I waited until someone answered,71.0,193984
Q11,My call was held in a queue and I asked for a call-back through an automated system,12.0,33751
Q11,My call was held in a queue but I didn’t wait for anybody to answer,1.0,2784
Q11,My call wasn’t answered at all,2.0,5820
Q12,Yes,85.0,423667
Q12,No,8.0,42423
Q12,"I was told to contact my practice again another day, as they couldn’t help that day",7.0,34068
Q13,There and then,58.0,227797
Q13,Later on the same day,29.0,114936
Q13,The next day,6.0,24612
Q13,After two or more days,7.0,28415
Q14,Booked in for an appointment,72.0,302726
Q14,Given information about how to manage the health issue,15.0,62060
Q14,Prescribed medication,22.0,91618
Q14,Told to go to a pharmacy,5.0,22773
Q14,Told to contact NHS 111 or a different NHS service,2.0,9151
Q14,Told to get urgent care,2.0,6808
Q14,Given help or information in another way,10.0,42926
Q14,I don’t know or I can’t remember,3.0,13386
Q15,I tried to contact them again,50.0,45093
Q15,I tried to treat myself or the person I was contacting the practice for,12.0,10555
Q15,I asked a friend or family member for advice,7.0,6588
Q15,I went to a pharmacy,11.0,9736
Q15,I phoned NHS 111,9.0,8303
Q15,I used NHS 111 online,3.0,2699
Q15,I looked online for information,13.0,12127
Q15,I went to A&E,7.0,5891
Q15,I went to an urgent treatment centre,4.0,3753
Q15,I tried a different NHS service,3.0,2712
Q15,I tried to get information or advice from somewhere else,12.0,10996
Q15,I didn’t do anything,19.0,17232
Q16,Good,73.0,377704
Q16,Poor,14.0,71910
Q17,In the last 6 months,70.0,373089
Q17,More than 6 months ago,26.0,138256
Q18,I tried to treat myself,35.0,180831
Q18,I asked a friend or family member for advice,15.0,78809
Q18,I went to a pharmacy,15.0,75369
Q18,I phoned NHS 111,4.0,21638
Q18,I used NHS 111 online,3.0,16107
Q18,I looked online for information,31.0,157080
Q18,I tried a different NHS service,3.0,13056
Q18,I tried to get information or advice from somewhere else,10.0,53218
Q18,I didn’t do anything before trying to get an appointment with my GP practice,37.0,190663
Q19,A choice of time or day,57.0,210625
Q19,A choice of location (to see a healthcare professional in person),16.0,59219
Q19,I was not offered these choices,37.0,134806
Q20,On the same day,27.0,136858
Q20,On the next day,8.0,40682
Q20,A few days later,23.0,115135
Q20,Between a week and two weeks later,20.0,104267
Q20,More than two weeks later,12.0,62587
Q20,I can’t remember,10.0,50950
Q21,It was about right,70.0,321120
Q21,It took too long,30.0,138295
Q22,Remote appointment,26.0,131850
Q22,Face-to-face appointment,74.0,378266
Q23,A GP,63.0,321935
Q23,A nurse,22.0,112424
Q23,A pharmacist working in my GP practice,2.0,9373
Q23,A mental health professional,1.0,3530
Q23,Another healthcare professional,7.0,36226
Q23,I don’t know,5.0,27164
Q24,Good,87.0,438258
Q24,Poor,6.0,28656
Q25,Good,86.0,432424
Q25,Poor,6.0,29591
Q26,Good,75.0,304959
Q26,Poor,8.0,31891
Q27,Yes,92.0,451755
Q27,No,8.0,37074
Q28,Yes,93.0,461426
Q28,No,7.0,35986
Q29,Yes,92.0,436587
Q29,No,8.0,39469
Q30,I was given a prescription,39.0,199330
Q30,I was referred for specialist care,23.0,115464
Q30,I was given a future appointment at my GP practice,9.0,47082
Q30,I was given information or advice about how to manage my condition at home,22.0,110354
Q30,I was asked for more information,3.0,16323
