icb,sat,phone,access,menu_share,queue_answer,appts_1k
QE1,78.3,61.15,74.11,26.51,77.79,497.72
QF7,77.13,53.59,72.11,32.63,69.36,576.02
QGH,80.34,65.73,78.43,26.92,79.58,602.61
QHL,73.21,50.66,68.34,37.65,66.56,538.01
QHM,79.72,61.62,75.66,24.55,73.97,577.81
QJ2,75.84,50.61,68.46,25.91,64.96,535.28
QJK,79.29,58.72,75.8,24.62,75.13,675.46
QJM,74.05,54.05,70.75,22.12,67.65,676.07
QK1,72.94,51.37,67.17,28.42,70.66,573.83
QKK,75.76,57.02,72.61,28.55,76.49,413.4
QKS,72.6,48.06,67.42,29.41,68.92,492.58
QMF,70.9,54.99,67.31,27.1,76.75,462.61
QNC,79.57,62.57,76.01,24.19,75.09,515.46
QOC,76.51,52.83,71.89,30.03,71.98,537.52
QOP,79.24,62.8,75.98,25.13,81.43,460.33
QOQ,79.22,58.98,75.7,24.13,74.0,612.08
QOX,80.73,61.58,75.67,23.05,74.03,596.95
QPM,73.97,51.38,69.58,29.1,72.57,536.7
QR1,81.22,62.01,76.42,22.01,74.07,598.8
QRL,74.32,52.11,69.8,26.48,71.71,559.7
QSL,79.15,60.03,75.15,24.41,75.99,533.83
QT1,74.26,51.96,69.2,28.27,69.41,577.5
QT6,78.5,58.43,74.47,29.53,75.29,667.22
QUA,73.97,53.31,67.75,25.41,75.15,541.06
QUY,77.57,54.58,73.13,25.39,76.29,475.09
QVV,80.22,62.65,77.01,23.22,68.48,642.28
QWE,80.95,63.69,77.1,24.83,80.14,460.26
QWO,75.61,53.14,70.34,28.94,68.67,590.75
QWU,80.67,64.3,77.09,30.08,79.11,482.71
QYG,78.49,56.94,73.22,25.72,75.83,538.35
