rank,code,practice,registered,sent2024,back2024,rr2024,sent2025,back2025,rr2025,sent2026,back2026,rr2026
1,E84066,GP Pathfinder Clinics,98826,923,79,8.6,940,52,5.5,1090,40,3.7
2,E85124,GP at Hand,94287,903,94,10.4,974,89,9.1,1094,86,7.9
3,F85002,Medicus Health Partners,93708,407,81,19.9,437,79,18.1,697,130,18.7
4,B83033,Modality Partnership (AWC),86723,622,214,34.4,613,190,31.0,638,191,29.9
5,G85034,Nexus Health Group,75590,624,115,18.4,667,116,17.4,727,121,16.6
6,P81002,Lancaster Medical Practice,65404,462,110,23.8,493,108,21.9,565,124,21.9
7,J82155,Portsdown Group Practice,62602,700,185,26.4,695,183,26.3,740,165,22.3
8,N82117,Brownlow Group Practice,58997,903,73,8.1,975,75,7.7,1120,76,6.8
9,D81043,Granta Medical Practices,58608,437,190,43.5,432,162,37.5,523,194,37.1
10,M85063,Midlands Medical Partnership,58486,668,171,25.6,661,151,22.8,852,153,18.0
11,B82005,Priory Medical Group,58483,337,109,32.3,563,180,32.0,616,166,26.9
12,J81012,Shore Medical,58476,576,201,34.9,569,161,28.3,680,167,24.6
13,B81048,Modality Partnership (Hull),56886,358,123,34.4,598,197,32.9,593,152,25.6
14,M89017,Solihull Healthcare Partnership,56707,544,179,32.9,539,191,35.4,554,166,30.0
15,Y01008,Bay Medical Group,54746,388,116,29.9,652,171,26.2,746,186,24.9
16,P88026,Heaton Moor Medical Group,54111,336,103,30.7,365,99,27.1,466,131,28.1
17,M85046,Sutton Coldfield Group Practice,53239,500,175,35.0,494,167,33.8,582,165,28.4
18,G85038,The Lewisham Care Partnership,53102,829,201,24.2,806,189,23.4,829,184,22.2
19,Y01929,Teldoc,52812,697,181,26.0,437,91,20.8,606,108,17.8
20,J82069,Camrose Gillies & Hackwood Partnership,52067,536,161,30.0,532,158,29.7,656,170,25.9
