gp_code,list_jul26
A81001,3733
A81002,18558
A81004,11484
A81005,7505
A81006,14566
A81007,10412
A81009,7815
A81011,12018
A81012,5596
A81013,7868
A81014,4096
A81016,12819
A81017,18174
A81018,10003
A81019,8826
A81020,7886
A81021,26437
A81022,9322
A81023,7610
A81025,4019
A81026,20390
A81027,14199
A81029,6557
A81030,17245
A81031,13422
A81032,11723
A81034,20785
A81035,9258
A81036,15776
A81037,5714
A81038,3636
A81039,13256
A81040,8490
A81041,9390
A81042,15848
A81044,19574
A81045,6227
A81046,12149
A81048,7201
A81049,6304
A81051,7223
A81052,10268
A81053,5733
A81054,8398
A81056,2437
A81057,10132
A81058,9175
A81060,6238
A81063,5325
A81064,7556
A81066,5587
A81067,10184
A81070,6145
A81602,2309
A81608,18787
A81610,7634
A81611,9865
A81612,4175
A81618,9838
A81621,2891
A81622,5621
A81629,10988
A81631,7509
A82003,11892
A82004,2213
A82005,5562
A82006,5131
A82007,11468
A82008,11893
A82009,9121
A82010,6707
A82012,16695
A82013,6421
A82014,4188
A82015,13074
A82016,41014
A82018,13800
A82020,14945
A82021,17627
A82022,5215
A82023,6655
A82024,5928
A82025,11854
A82026,17084
A82027,9989
A82028,8404
A82029,3535
A82030,6481
A82031,3334
A82032,13905
A82033,7894
A82035,14311
A82036,11703
A82037,4416
A82038,4604
A82039,8731
A82041,13706
A82044,22882
A82045,9282
A82046,4476
A82047,33375
A82053,7432
A82055,7446
A82062,6517
A82064,6389
A82068,4783
A82070,6571
A82071,4099
A82072,7314
A82075,7701
A82608,4595
A82613,860
A82617,2796
A82620,1028
A82629,2907
A82631,3773
A82646,3870
A82647,3351
A82650,3039
A82651,5041
A82654,7908
A83001,16004
A83003,9151
A83005,12204
A83006,8687
A83007,10227
A83008,5348
A83009,7500
A83010,13108
A83011,32380
A83012,15513
A83013,13185
A83014,6386
A83015,9695
A83016,10794
A83018,16309
A83020,13551
A83021,16129
A83022,26472
A83023,12628
A83024,5534
A83025,13636
A83026,10638
A83027,7662
A83028,9222
A83029,5272
A83030,14113
A83031,11868
A83032,2626
A83033,10385
A83034,11620
A83035,7121
A83036,10073
A83037,12866
A83038,6282
A83040,12230
A83041,7322
A83043,2720
A83044,8359
A83045,14844
A83046,11051
A83047,14606
A83048,6299
A83049,16798
A83050,12563
A83051,11547
A83052,8609
A83054,17167
A83055,5136
A83057,18030
A83060,2851
A83061,3702
A83066,13155
A83070,5945
A83071,4633
A83072,4032
A83073,5276
A83074,11745
A83075,8316
A83610,3565
A83616,8787
A83617,2722
A83618,7615
A83619,3438
A83622,1787
A83626,2327
A83627,6614
A83634,2845
A83635,4635
A83636,5697
A83637,4109
A83641,4678
A83644,3579
A84002,6334
A84005,12978
A84006,18868
A84007,10943
A84008,4521
A84009,26813
A84011,8655
A84013,6282
A84014,14162
A84016,6771
A84018,7365
A84020,8090
A84022,12403
A84024,10386
A84025,5557
A84026,9148
A84027,3434
A84028,20145
A84029,4833
A84030,11960
A84031,11267
A84033,5892
A84034,5609
A84035,5996
A84036,49131
A84037,6009
A84038,9409
A84039,7294
A84040,3289
A84042,2197
A84044,7054
A84045,5237
A84047,5419
A84604,4961
A84614,2218
A84619,4383
A85001,7368
A85002,3664
A85004,9853
A85005,17781
A85006,14553
A85007,8849
A85008,15178
A85009,6471
A85010,11529
A85011,7006
A85013,3636
A85014,19900
A85016,12311
A85017,8664
A85018,4692
A85019,10252
A85020,15592
A85021,4074
A85024,2573
A85026,5819
A85611,5773
A85614,8343
A85616,5178
A85617,3942
A86003,41152
A86004,13839
A86005,5883
A86006,5710
A86008,13064
A86010,10579
A86011,10608
A86012,12310
A86013,7533
A86016,9366
A86017,11781
A86018,13003
A86020,27048
A86021,9902
A86022,8495
A86023,10276
A86024,6971
A86025,13673
A86026,7848
A86027,20763
A86028,8136
A86029,19791
A86030,10420
A86031,10875
A86033,8122
A86037,8457
A86038,6327
A86040,6566
A86041,6679
A86601,8976
A87002,21443
A87004,24316
A87005,13542
A87007,17632
A87008,9387
A87009,15465
A87011,6165
A87012,7312
A87013,9273
A87016,12822
A87017,7001
A87020,13316
A87022,9669
A87029,21218
A87030,6307
A87612,6604
A87615,5609
A88001,3606
A88002,16470
A88003,22597
A88004,8986
A88005,4449
A88006,7653
A88008,6199
A88009,5859
A88010,3678
A88012,6051
A88013,19289
A88014,2771
A88015,7224
A88016,8424
A88022,11161
A88023,5250
A88025,4236
A88601,4456
A88608,5933
A88613,4121
A89001,13594
A89002,6690
A89004,11907
A89005,5846
A89006,7709
A89007,10024
A89008,5434
A89009,9929
A89010,12082
A89011,4914
A89012,11712
A89013,5516
A89015,9159
A89016,9275
