gp_code,closure_exposed,merger_recipient
A82012,1,0
A82019,1,0
A82646,1,0
A84035,1,0
A84614,1,0
A85023,1,0
A86036,1,0
A87002,1,1
A87005,1,0
A87006,1,0
A87008,1,0
A87011,1,0
A87019,1,0
A87020,1,0
A87022,1,0
A87600,1,0
A88007,1,0
B81058,1,0
B81065,1,0
B81097,1,0
B81101,1,0
B81675,1,0
B82091,1,0
B82622,1,0
B83005,1,0
B83621,1,0
B84612,1,0
B86009,1,0
B86104,1,0
B86623,1,0
B86625,1,0
C81006,1,0
C81009,1,0
C81028,1,0
C81036,1,0
C81071,1,0
C81074,1,0
C81075,1,0
C81077,1,0
C81086,1,0
C81652,1,0
C82016,1,0
C82038,1,0
C82042,1,0
C82078,1,0
C82084,1,0
C82662,1,0
C84031,1,0
C84103,1,0
C86606,1,0
C88046,1,0
D81602,1,0
D83014,1,0
E81012,1,0
E81030,1,0
E81036,1,0
E81045,1,0
E81052,1,0
E81063,1,0
E81076,1,0
E81631,1,0
E81633,1,0
E81635,1,1
E82017,1,0
E82064,1,0
E82104,1,0
E82106,1,0
E82640,1,0
E84681,1,0
E85625,1,0
E85692,1,0
E86034,1,0
E86620,1,0
E87694,1,0
F81012,1,0
F81014,1,0
F81017,1,0
F81019,1,0
F81026,1,0
F81028,1,0
F81031,1,0
F81044,1,0
F81111,1,0
F81116,1,0
F81133,1,0
F81141,1,0
F81156,1,0
F81221,1,0
F81606,1,0
F81681,1,0
F81684,1,0
F81757,1,0
F82011,1,0
F82022,1,0
F82027,1,0
F82028,1,0
F82033,1,0
F82034,1,0
F82042,1,0
F82607,1,0
F82609,1,0
F82619,1,0
F82624,1,0
F82625,1,0
F82627,1,0
F82649,1,0
F82675,1,0
F83025,1,0
F84685,1,0
F84711,1,0
F86642,1,0
F86703,1,0
F86731,1,0
G82067,1,0
G82088,1,0
G82112,1,0
G82161,1,0
G82225,1,0
G82605,1,0
G82653,1,0
G82681,1,0
G83024,1,0
G83047,1,0
G85016,1,0
G85021,1,0
G85022,1,0
G85025,1,0
G85027,1,0
G85047,1,0
G85695,1,0
H81020,1,0
H81030,1,0
H81065,1,0
H81073,1,0
H81089,1,0
H81110,1,0
H81132,1,0
H81613,1,0
H84053,1,0
H85032,1,0
H85664,1,0
J81002,1,0
J81009,1,0
J81027,1,0
J81034,1,0
J81051,1,0
J81061,1,0
J81073,1,0
J81075,1,0
J81077,1,0
J81083,1,0
J82022,1,0
J82063,1,0
J82080,1,0
J82081,1,0
J82180,1,0
J82633,1,0
J83033,1,0
K81005,1,0
K81022,1,0
K81066,1,0
K81082,1,0
K81083,1,0
K82009,1,0
K82029,1,0
K82074,1,1
K83013,1,0
K83036,1,0
K83051,1,1
K83059,1,0
K83614,1,0
K84048,1,0
K84049,1,0
K84065,1,0
L81010,1,0
L81019,1,0
L81025,1,0
L81030,1,0
L81036,1,0
L81045,1,0
L81059,1,0
L81067,1,0
L81072,1,0
L81073,1,0
L81094,1,0
L81122,1,0
L81123,1,0
L81132,1,0
L81669,1,0
L82007,1,0
L82620,1,0
L83053,1,0
L83096,1,0
L83097,1,0
L83137,1,0
L84070,1,0
L84071,1,0
L85050,1,0
M81006,1,0
M81008,1,0
M81017,1,0
M81022,1,0
M81035,1,0
M81037,1,0
M81049,1,0
M81063,1,0
M81072,1,0
M82004,1,0
M82019,1,0
M82021,1,0
M82024,1,0
M82041,1,0
M82051,1,0
M82058,1,0
M82601,1,0
M82606,1,0
M83691,1,0
M84015,1,0
M84034,1,0
M84059,1,0
M84064,1,0
M84070,1,0
M85011,1,0
M85076,1,0
M85077,1,0
M85078,1,0
M85086,1,0
M85134,1,0
M85171,1,0
M85600,1,0
M85694,1,0
M85717,1,0
M85730,1,0
M85770,1,0
M87001,1,0
M87621,1,0
M88002,1,0
M88013,1,0
M88016,1,0
M88026,1,0
M88043,1,0
M91660,1,0
M92007,1,0
M92640,1,0
N83001,1,0
N83002,1,0
N83005,1,0
N83008,1,0
N83010,1,0
N83012,1,0
N83013,1,0
N83020,1,1
N83021,1,0
N83023,1,0
N83025,1,0
N83028,1,0
N83031,1,0
N83035,1,0
N83045,1,0
N83050,1,0
N83053,1,0
N83610,1,0
N83614,1,0
N83621,1,0
N83622,1,0
N84019,1,0
N84026,1,0
N84035,1,0
N84037,1,0
N84043,1,0
N84605,1,1
N84621,1,1
N84626,1,0
N84627,1,0
N84630,1,0
N85002,1,0
N85005,1,0
N85006,1,0
N85007,1,0
N85008,1,0
N85013,1,0
N85032,1,0
N85047,1,0
N85051,1,0
N85617,1,0
P81031,1,0
P81037,1,0
P81077,1,0
P81150,1,0
P81157,1,0
P87651,1,0
P92653,1,0
Y00328,1,0
Y00446,1,0
Y00522,1,0
Y00912,1,0
Y01124,1,0
Y01163,1,0
Y01280,1,0
Y02332,1,0
Y02414,1,0
Y02572,1,0
Y02747,1,0
Y02811,1,0
Y02873,1,1
Y02893,1,0
Y02962,1,0
Y05023,1,0
Y05291,1,0
Y05857,1,0
Y06389,1,1
Y06592,1,1
Y07274,1,1
Y07697,1,1
Y08371,1,1
