dictionary_file,dictionary_sha256,dictionary_url,first_release_period,last_release_period,YEAR,QUALITY_SERVICE,INDICATOR_ID,INDICATOR_DESCRIPTION,RULESET_ID,INDICATOR_TYPE
389117c8c2__NCDes_Data_Dictionary_23_24_v2.0.xlsx,1d5ea89c5654049c06682b26b110275f34591cca2d79242ccd0319b8a7adbb70,https://files.digital.nhs.uk/28/BA6DA6/NCDes_Data_Dictionary_23_24_v2.0.xlsx,202304,202305,2023/24,NCD2324,NCD001,Percentage of registered patients referred to a social prescribing service.,Personalised Care,MI
389117c8c2__NCDes_Data_Dictionary_23_24_v2.0.xlsx,1d5ea89c5654049c06682b26b110275f34591cca2d79242ccd0319b8a7adbb70,https://files.digital.nhs.uk/28/BA6DA6/NCDes_Data_Dictionary_23_24_v2.0.xlsx,202304,202305,2023/24,NCD2324,NCD003,Percentage of at-risk patients aged 18 to 64 years inclusive who received a seasonal influenza vaccination between 1 September and 31 March.,Vaccination & Immunisation,Payment
389117c8c2__NCDes_Data_Dictionary_23_24_v2.0.xlsx,1d5ea89c5654049c06682b26b110275f34591cca2d79242ccd0319b8a7adbb70,https://files.digital.nhs.uk/28/BA6DA6/NCDes_Data_Dictionary_23_24_v2.0.xlsx,202304,202305,2023/24,NCD2324,NCD004,Percentage of patients aged two or three years on 31 August of the relevant financial year who received a seasonal influenza vaccination between 1 September and 31 March.,Vaccination & Immunisation,Payment
389117c8c2__NCDes_Data_Dictionary_23_24_v2.0.xlsx,1d5ea89c5654049c06682b26b110275f34591cca2d79242ccd0319b8a7adbb70,https://files.digital.nhs.uk/28/BA6DA6/NCDes_Data_Dictionary_23_24_v2.0.xlsx,202304,202305,2023/24,NCD2324,NCD011,"Percentage of patients aged 18 years or over, not on the QOF Hypertension Register as of 31 March 2023, and who have (i) a last recorded blood pressure reading in the 3 years prior to 1 April 2023 >= 140/90mmHg (with the exception of patients whose first blood pressure reading >= 140/90mmHg in this period is on or after 1 October 2022) for whom there is evidence of clinically appropriate follow-up to confirm or exclude a diagnosis of hypertension by 31 March 2024 OR (ii) a blood pressure reading >= 140/90mmHg on or after 1 October 2022, for whom there is evidence of clinically appropriate follow-up to confirm or exclude a diagnosis of hypertension within 6 months of elevated reading.",Cardiovascular Disease Prevention,MI
389117c8c2__NCDes_Data_Dictionary_23_24_v2.0.xlsx,1d5ea89c5654049c06682b26b110275f34591cca2d79242ccd0319b8a7adbb70,https://files.digital.nhs.uk/28/BA6DA6/NCDes_Data_Dictionary_23_24_v2.0.xlsx,202304,202305,2023/24,NCD2324,NCD012,"Number of patients aged 18 years or over and recorded as living in a care home, as a percentage of care home beds eligible to receive the Enhanced Health in Care Homes service",Enhanced Health in Care Homes,MI
389117c8c2__NCDes_Data_Dictionary_23_24_v2.0.xlsx,1d5ea89c5654049c06682b26b110275f34591cca2d79242ccd0319b8a7adbb70,https://files.digital.nhs.uk/28/BA6DA6/NCDes_Data_Dictionary_23_24_v2.0.xlsx,202304,202305,2023/24,NCD2324,NCD014,Metered Dose Inhaler (MDI) prescriptions as a percentage of all non-salbutamol inhaler prescriptions issued to patients aged 12 years or over.,Environmental Sustainability,MI
389117c8c2__NCDes_Data_Dictionary_23_24_v2.0.xlsx,1d5ea89c5654049c06682b26b110275f34591cca2d79242ccd0319b8a7adbb70,https://files.digital.nhs.uk/28/BA6DA6/NCDes_Data_Dictionary_23_24_v2.0.xlsx,202304,202305,2023/24,NCD2324,NCD018,"Percentage of care home residents aged 18 years or over, who had a Personalised Care and Support Plan agreed or reviewed.",Enhanced Health in Care Homes,MI
389117c8c2__NCDes_Data_Dictionary_23_24_v2.0.xlsx,1d5ea89c5654049c06682b26b110275f34591cca2d79242ccd0319b8a7adbb70,https://files.digital.nhs.uk/28/BA6DA6/NCDes_Data_Dictionary_23_24_v2.0.xlsx,202304,202305,2023/24,NCD2324,NCD102,Percentage of patients aged 29 and under with a total cholesterol greater than 7.5mmol/L OR aged 30 and over with a total cholesterol greater than 9.0mmol/L who have been either: (i) diagnosed with secondary hyperlipidaemia; (ii) clinically assessed for familial hypercholesterolaemia; (iii) referred for assessment for familial hypercholesterolemia; or (iv) genetically diagnosed with familial hypercholesterolaemia.,Cardiovascular Disease Prevention,MI
389117c8c2__NCDes_Data_Dictionary_23_24_v2.0.xlsx,1d5ea89c5654049c06682b26b110275f34591cca2d79242ccd0319b8a7adbb70,https://files.digital.nhs.uk/28/BA6DA6/NCDes_Data_Dictionary_23_24_v2.0.xlsx,202304,202305,2023/24,NCD2324,NCD107,"Percentage of patients aged 18 years or over prescribed both a Non-Steroidal Anti-Inflammatory Drug (NSAID) and an oral anticoagulant in the last 3 months of the previous financial year, who, in the three months to the end of the reporting period, were either (i) no longer prescribed an NSAID or (ii) prescribed a gastro-protective in addition to an NSAID.",Structured Medication Reviews & Medicines Optimisation,MI
389117c8c2__NCDes_Data_Dictionary_23_24_v2.0.xlsx,1d5ea89c5654049c06682b26b110275f34591cca2d79242ccd0319b8a7adbb70,https://files.digital.nhs.uk/28/BA6DA6/NCDes_Data_Dictionary_23_24_v2.0.xlsx,202304,202305,2023/24,NCD2324,NCD108,"Percentage of patients aged 65 years or over prescribed a Non-Steroidal Anti-Inflammatory Drug (NSAID) and not an oral anticoagulant in the last 3 months of the previous financial year, who, in the three months to the end of the reporting period, were either (i) no longer prescribed an NSAID or (ii) prescribed a gastro-protective in addition to an NSAID.",Structured Medication Reviews & Medicines Optimisation,MI
389117c8c2__NCDes_Data_Dictionary_23_24_v2.0.xlsx,1d5ea89c5654049c06682b26b110275f34591cca2d79242ccd0319b8a7adbb70,https://files.digital.nhs.uk/28/BA6DA6/NCDes_Data_Dictionary_23_24_v2.0.xlsx,202304,202305,2023/24,NCD2324,NCD109,"Percentage of patients aged 18 years or over prescribed both an oral anticoagulant and an anti-platelet in the last 3 months of the previous financial year, who, in the three months to the end of the reporting period, were either (i) no longer prescribed an anti-platelet or (ii) prescribed a gastro-protective in addition to an anti-platelet.",Structured Medication Reviews & Medicines Optimisation,MI
