dictionary_file,dictionary_sha256,dictionary_url,first_release_period,last_release_period,MEASURE,MEASURE_DESCRIPTION,MEASURE_TYPE
389117c8c2__NCDes_Data_Dictionary_23_24_v2.0.xlsx,1d5ea89c5654049c06682b26b110275f34591cca2d79242ccd0319b8a7adbb70,https://files.digital.nhs.uk/28/BA6DA6/NCDes_Data_Dictionary_23_24_v2.0.xlsx,202304,202305,ABPDEC12M,Patients who chose not to undertake ambulatory blood pressure monitoring or home blood pressure monitoring in the 12 months up to and including the payment period end date.,PCA
389117c8c2__NCDes_Data_Dictionary_23_24_v2.0.xlsx,1d5ea89c5654049c06682b26b110275f34591cca2d79242ccd0319b8a7adbb70,https://files.digital.nhs.uk/28/BA6DA6/NCDes_Data_Dictionary_23_24_v2.0.xlsx,202304,202305,ABPDEC24M,"Patients whose first “high” blood pressure reading from 1 April 2020 to the day before the quality of service start date, was in the 6 months up to the quality of service start date and chose not to undertake ambulatory blood pressure monitoring or home blood pressure monitoring in the 24 months up to and including the payment period end date.",PCA
389117c8c2__NCDes_Data_Dictionary_23_24_v2.0.xlsx,1d5ea89c5654049c06682b26b110275f34591cca2d79242ccd0319b8a7adbb70,https://files.digital.nhs.uk/28/BA6DA6/NCDes_Data_Dictionary_23_24_v2.0.xlsx,202304,202305,AST_DAT9M,Patients who have an asthma diagnosis in the 9 months leading up to and including the payment period end date.,PCA
389117c8c2__NCDes_Data_Dictionary_23_24_v2.0.xlsx,1d5ea89c5654049c06682b26b110275f34591cca2d79242ccd0319b8a7adbb70,https://files.digital.nhs.uk/28/BA6DA6/NCDes_Data_Dictionary_23_24_v2.0.xlsx,202304,202305,BPDEC1,Patient chose not to have their blood pressure recorded in the 5 years leading up to and including the payment period end date,PCA
389117c8c2__NCDes_Data_Dictionary_23_24_v2.0.xlsx,1d5ea89c5654049c06682b26b110275f34591cca2d79242ccd0319b8a7adbb70,https://files.digital.nhs.uk/28/BA6DA6/NCDes_Data_Dictionary_23_24_v2.0.xlsx,202304,202305,BPLAT6M,Patients who had a high blood pressure reading in the 6 months up to and including the payment period end date and either (i) their latest blood pressure reading from 1 April 2020 and prior to the quality service start date was not high or (ii) they did not have a blood pressure reading from 1 April 2020 and prior to the quality service start date.,PCA
389117c8c2__NCDes_Data_Dictionary_23_24_v2.0.xlsx,1d5ea89c5654049c06682b26b110275f34591cca2d79242ccd0319b8a7adbb70,https://files.digital.nhs.uk/28/BA6DA6/NCDes_Data_Dictionary_23_24_v2.0.xlsx,202304,202305,C19CON_DAT,Patients who have a persisting COVID-19 vaccination contraindication,PCA
389117c8c2__NCDes_Data_Dictionary_23_24_v2.0.xlsx,1d5ea89c5654049c06682b26b110275f34591cca2d79242ccd0319b8a7adbb70,https://files.digital.nhs.uk/28/BA6DA6/NCDes_Data_Dictionary_23_24_v2.0.xlsx,202304,202305,C19DEC_DAT,Patients who chose not to receive a COVID-19 vaccination in the 12 months up to and including the payment period end date,PCA
389117c8c2__NCDes_Data_Dictionary_23_24_v2.0.xlsx,1d5ea89c5654049c06682b26b110275f34591cca2d79242ccd0319b8a7adbb70,https://files.digital.nhs.uk/28/BA6DA6/NCDes_Data_Dictionary_23_24_v2.0.xlsx,202304,202305,CARHOMDEC1,"Patients who have the registration with general practitioner practice aligned to care home declined code, recorded up to and including the achievement date.",PCA
389117c8c2__NCDes_Data_Dictionary_23_24_v2.0.xlsx,1d5ea89c5654049c06682b26b110275f34591cca2d79242ccd0319b8a7adbb70,https://files.digital.nhs.uk/28/BA6DA6/NCDes_Data_Dictionary_23_24_v2.0.xlsx,202304,202305,CHOLDEC,Patent chose not to have a cholesterol test in the 12 months leading up to and including the payment period end date,PCA
389117c8c2__NCDes_Data_Dictionary_23_24_v2.0.xlsx,1d5ea89c5654049c06682b26b110275f34591cca2d79242ccd0319b8a7adbb70,https://files.digital.nhs.uk/28/BA6DA6/NCDes_Data_Dictionary_23_24_v2.0.xlsx,202304,202305,CHOLMX_DAT,Patients who are receiving maximum tolerated cholesterol lowering treatment in the 12 months leading up to and including the payment period end date.,PCA
