gp_code,ptype
A81039,4
A81040,3
A81045,1
A81048,1
A81051,3
A81052,1
A81054,1
A81056,4
A81057,1
A81058,2
A81060,1
A82036,2
A82037,4
A82039,1
A82041,3
A82044,0
A82045,1
A82053,2
A82068,4
A82070,4
A83023,2
A83024,4
A83028,1
A83029,4
A83031,1
A83032,4
A83035,1
A83037,1
A83038,4
A83635,1
A83644,4
A84002,4
A84005,0
A84007,0
A84008,4
A84011,4
A84013,2
A84014,1
A85008,1
A85010,4
A85013,4
A85017,4
A85018,4
A85021,4
A86040,4
A86041,4
A87002,1
A87005,4
A87009,1
A87011,4
A87012,4
A87013,1
A87017,4
A89008,3
A89011,4
A89012,4
A89013,4
A89015,4
A89019,3
A89020,2
B81022,0
B81024,2
B81025,3
B81027,1
B81029,4
B81031,1
B81034,1
B81035,3
B81037,2
A82021,3
A82022,4
A82027,4
A82029,4
A82032,0
A82035,2
B82027,0
B82029,4
B82031,2
B82034,4
B82035,4
B82036,4
B82037,2
B82038,0
B82041,0
C81097,3
C81099,3
C81108,3
C81110,3
C81113,3
C81115,1
C86609,3
C86611,4
C86621,1
C86625,3
C87002,0
C87003,1
C87005,1
C87006,1
C87008,1
E81612,0
E81615,4
E81635,4
E82001,4
E82002,1
E82007,0
E82009,0
E86626,1
E86629,1
E86637,2
E87004,2
E87005,1
E87008,1
F84010,1
F84016,3
F84017,2
F84021,1
F84022,3
F84030,0
F84033,1
G82125,0
G82137,2
G82139,3
G82143,1
G82152,1
G82158,4
A81020,3
A81027,3
A81029,4
A81031,3
A81037,3
A81038,1
A82006,4
A82008,1
A82010,1
A82015,3
A83006,4
A83007,4
A83011,1
A83013,4
A83015,1
A83020,1
A83061,4
A83066,1
A83071,4
A83073,4
A83610,4
A83616,4
A83619,4
A83622,4
A84037,1
A84039,4
A84042,4
A84047,4
A84604,4
A84619,4
A85001,1
A85004,0
A86020,2
A86023,2
A86031,1
A86033,1
A88012,2
A88013,3
A88022,0
A88608,4
A88613,1
A89001,0
A89004,2
A89616,4
A89617,1
A89623,4
B81005,2
B81013,1
B81016,4
A81002,1
A81006,1
A81011,1
A81017,1
A81602,4
A81611,1
A81612,1
A81621,3
A82075,1
A82608,4
A82631,4
A82646,4
A82647,4
A83045,1
A83047,1
A83048,4
A83049,4
A83052,1
A83054,4
A83055,4
A84018,4
A84024,4
A84025,4
A84027,4
A84028,2
A84029,1
A84030,1
A84033,4
A84034,4
A85616,4
A85617,4
A86003,1
A86005,1
A86012,1
A87020,4
A87022,1
A87029,1
A87030,1
A87612,1
A87615,1
A88006,4
A88008,1
A89022,1
A89027,4
A89028,4
A89030,4
A89031,4
A89036,1
B81617,3
B81619,1
B81628,4
B81631,1
B81635,4
B81642,4
B82049,1
B82050,4
B82053,1
B82057,4
B82059,4
B82060,2
B82061,1
B82063,4
B83018,1
B83020,3
B83025,4
B83028,3
B83033,0
B84003,1
B84004,1
B84006,1
B84007,4
B84009,1
B84016,1
B84019,3
B85037,1
B85038,1
B85044,0
B85048,3
B85062,2
B85606,3
B86015,1
B86016,0
B86017,4
B86018,1
B86019,0
B86028,1
B86029,1
B86030,1
B86033,2
B86035,4
B86036,1
B86094,1
B86100,2
B86623,4
B86643,1
B86648,1
B86655,1
B86658,1
B87028,1
B87031,1
B87032,4
B87033,4
B87039,3
B87042,1
B87602,4
C81003,4
C81005,1
C81006,1
H82009,1
H82013,4
H82016,1
H82023,1
H82026,0
H82028,3
J82146,2
J82149,1
J82152,0
J82155,3
J82156,1
J82163,0
J82169,1
L81008,2
L81010,2
L81012,3
L81014,0
L81016,0
L81017,1
L81021,1
L81023,3
M81019,3
M81026,0
M81027,4
M81032,0
M81033,4
M81034,1
M81038,2
M85155,1
M85156,1
M85167,1
M85170,1
M85172,2
M85176,3
N81614,4
N81623,1
N81651,3
N82001,1
N82003,1
P82004,1
P82006,4
P82007,2
P82010,2
P82011,1
P82018,1
Y00312,3
Y00316,0
Y00351,0
Y00352,1
Y00399,2
Y00411,3
Y00412,3
Y00437,0
Y00446,3
Y00475,4
B81064,4
B81069,1
B81075,4
B81082,1
B81087,1
B81091,4
B81097,3
B81100,4
B82008,4
B82010,4
B82011,4
B82014,4
B82016,0
B82021,1
B82025,1
B82026,0
B82101,4
B82104,1
B82105,2
B82106,4
B82609,4
B83002,4
B83005,3
B83008,0
B83604,1
B83620,4
B83626,3
B83629,1
B83641,3
B83642,1
B83657,1
B83660,3
B85020,4
B85021,1
B85027,0
B85028,1
B85032,4
B85033,2
B86002,1
B86005,4
B86009,3
B86011,3
B86012,4
B86014,1
B86064,1
B86067,1
B86070,1
B86086,1
B86089,4
B86092,1
B87009,1
B87011,1
B87017,1
B87020,2
B87025,1
B87026,1
B87027,1
B81039,2
B81040,1
B81043,4
B81046,1
B81063,1
B81647,1
B81655,4
B81665,1
B82004,2
B82005,0
B82007,4
B82074,1
B82078,4
B82079,4
B82081,2
B82097,0
B83038,3
B83039,1
B83041,3
B83042,4
B83045,3
B83056,1
B83058,1
B83064,1
B84612,1
B84618,0
B84623,4
B85004,4
B85008,1
B85010,1
B85012,1
B85610,4
B85614,0
B85619,1
B85620,4
B85636,4
B85645,3
B85650,3
B86039,0
B86041,2
B86048,1
B86051,2
B86054,1
B86057,1
B86667,1
B86669,1
B86673,1
B87003,4
B87004,4
C81040,4
C81042,3
C81044,0
C81045,3
C81046,1
C81047,3
C81049,1
C81052,3
C81053,4
C81649,4
C81655,4
