gp_code,extract_date,total_list,female_total,a0_14,a15_44,a45_64,a65_74,a75_84,a85plus,pct_0_14,pct_15_44,pct_45_64,pct_65_74,pct_75_84,pct_85plus,pct_female,pct_65plus
A81001,2026-07-01,3733,1876,598,1361,891,412,322,149,16.019,36.459,23.868,11.037,8.626,3.991,50.254,23.654
A81002,2026-07-01,18558,9362,2773,6691,4698,2315,1527,554,14.942,36.055,25.315,12.474,8.228,2.985,50.447,23.688
A81004,2026-07-01,11484,5597,1977,4529,2622,1224,810,322,17.215,39.437,22.832,10.658,7.053,2.804,48.737,20.515
A81005,2026-07-01,7505,3838,925,2167,1990,1074,1021,328,12.325,28.874,26.516,14.31,13.604,4.37,51.139,32.285
A81006,2026-07-01,14566,7347,2362,5512,3629,1641,1085,337,16.216,37.842,24.914,11.266,7.449,2.314,50.439,21.028
A81007,2026-07-01,10412,5234,1670,4095,2580,1091,708,268,16.039,39.33,24.779,10.478,6.8,2.574,50.269,19.852
A81009,2026-07-01,7815,3865,1282,3014,2026,870,469,154,16.404,38.567,25.925,11.132,6.001,1.971,49.456,19.104
A81011,2026-07-01,12018,6172,1899,4262,3083,1467,968,339,15.801,35.463,25.653,12.207,8.055,2.821,51.356,23.082
A81012,2026-07-01,5596,2682,1095,2440,1285,496,195,85,19.568,43.603,22.963,8.863,3.485,1.519,47.927,13.867
A81013,2026-07-01,7868,4040,1187,2756,2157,908,670,190,15.086,35.028,27.415,11.54,8.516,2.415,51.347,22.471
A81014,2026-07-01,4096,2030,579,1362,996,571,428,160,14.136,33.252,24.316,13.94,10.449,3.906,49.561,28.296
A81016,2026-07-01,12819,5994,2569,6245,2423,897,517,168,20.041,48.717,18.902,6.997,4.033,1.311,46.759,12.341
A81017,2026-07-01,18174,9136,2955,6814,5073,1870,1131,331,16.259,37.493,27.914,10.289,6.223,1.821,50.27,18.334
A81018,2026-07-01,10003,4882,1533,3537,2640,1205,809,279,15.325,35.359,26.392,12.046,8.088,2.789,48.805,22.923
A81019,2026-07-01,8826,4502,1679,3526,2110,906,465,140,19.023,39.95,23.907,10.265,5.269,1.586,51.008,17.12
A81020,2026-07-01,7886,3989,1407,3019,1790,832,608,230,17.842,38.283,22.698,10.55,7.71,2.917,50.583,21.177
