gp_code,year,list_size
A81001,2013,4084
A81002,2013,20111
A81003,2013,3542
A81004,2013,8513
A81005,2013,7953
A81006,2013,12221
A81007,2013,9626
A81008,2013,4274
A81009,2013,9267
A81011,2013,10838
A81012,2013,4696
A81013,2013,5686
A81014,2013,3884
A81015,2013,3039
A81016,2013,9516
A81017,2013,21121
A81018,2013,5393
A81019,2013,10285
A81020,2013,7898
A81021,2013,13246
A81022,2013,10496
A81023,2013,7419
A81025,2013,4212
A81026,2013,14073
A81027,2013,12722
A81029,2013,5979
A81030,2013,11262
A81031,2013,12906
A81032,2013,10435
A81033,2013,3697
A81034,2013,21378
A81035,2013,10748
A81036,2013,17112
A81037,2013,7500
A81038,2013,3385
A81039,2013,8732
A81040,2013,8561
A81041,2013,9329
A81042,2013,5985
A81043,2013,7887
A81044,2013,14580
A81045,2013,7510
A81046,2013,13154
A81047,2013,5867
A81048,2013,5055
A81049,2013,5318
A81051,2013,7328
A81052,2013,7345
A81053,2013,6767
A81054,2013,8057
A81056,2013,2632
A81057,2013,8380
A81058,2013,7380
A81060,2013,5307
A81063,2013,5425
A81064,2013,6387
A81065,2013,3206
A81066,2013,4132
A81067,2013,10222
A81069,2013,1664
A81070,2013,1874
A81602,2013,2594
A81605,2013,2356
A81608,2013,2037
A81609,2013,1373
A81610,2013,8248
A81611,2013,4801
A81612,2013,2872
A81613,2013,3438
A81618,2013,7191
A81621,2013,2267
A81622,2013,5236
A81623,2013,1437
A81629,2013,3595
A81630,2013,864
A81631,2013,6300
A81632,2013,771
A81633,2013,732
A81634,2013,1324
A82003,2013,10602
A82004,2013,2288
A82005,2013,5265
A82006,2013,4939
A82007,2013,9539
A82008,2013,11154
A82009,2013,8649
A82010,2013,6611
A82011,2013,2821
A82012,2013,15110
A82013,2013,6679
A82014,2013,4369
A82015,2013,5951
A82016,2013,14557
A82017,2013,14766
A82018,2013,11851
A82019,2013,8273
A82020,2013,13968
A82021,2013,10124
A82022,2013,5373
A82023,2013,3773
A82024,2013,5671
A82025,2013,9161
A82026,2013,15855
A82027,2013,11536
A82028,2013,6203
A82029,2013,3296
A82030,2013,5967
A82031,2013,2807
A82032,2013,13725
A82033,2013,8522
A82034,2013,6717
A82035,2013,15844
A82036,2013,9203
A82037,2013,4239
A82038,2013,4328
A82039,2013,7575
A82040,2013,2858
A82041,2013,10925
A82044,2013,21902
A82045,2013,7947
A82046,2013,5858
A82047,2013,9183
A82048,2013,6623
A82049,2013,5231
A82050,2013,7166
A82052,2013,7075
A82053,2013,4673
A82055,2013,7041
A82057,2013,6820
A82058,2013,3986
A82060,2013,1885
A82062,2013,4784
A82063,2013,1898
A82064,2013,4752
A82065,2013,3158
A82068,2013,3983
A82070,2013,6146
A82071,2013,4358
A82072,2013,4711
A82074,2013,2529
A82075,2013,6328
A82077,2013,5333
A82608,2013,4025
A82613,2013,974
A82617,2013,2319
A82619,2013,1666
A82620,2013,728
A82621,2013,1623
A82623,2013,5444
A82629,2013,3764
A82631,2013,2757
A82635,2013,2168
A82641,2013,1997
A82642,2013,1165
A82646,2013,3564
A82647,2013,2266
A82650,2013,2695
A82651,2013,3401
A82654,2013,4161
A83001,2013,10013
A83003,2013,8926
A83004,2013,3755
A83005,2013,11327
A83006,2013,7623
A83007,2013,9271
A83008,2013,5672
A83009,2013,8946
A83010,2013,14960
A83011,2013,26610
A83012,2013,15557
A83013,2013,10720
A83014,2013,8094
A83015,2013,10151
A83016,2013,11880
A83017,2013,7654
A83018,2013,19800
A83019,2013,5122
A83020,2013,13537
A83021,2013,13357
A83022,2013,23544
A83023,2013,10525
A83024,2013,6012
A83025,2013,13778
A83026,2013,9502
A83027,2013,6022
A83028,2013,10162
A83029,2013,4768
A83030,2013,11789
A83031,2013,9995
A83032,2013,2423
A83033,2013,8566
A83034,2013,9945
A83035,2013,7201
A83036,2013,11558
A83037,2013,13916
A83038,2013,5749
A83040,2013,11703
A83041,2013,7633
A83042,2013,5313
A83043,2013,2740
A83044,2013,7078
A83045,2013,14977
A83046,2013,10310
A83047,2013,13824
A83048,2013,5461
A83049,2013,12263
A83050,2013,11476
A83051,2013,10117
A83052,2013,8866
A83054,2013,15403
A83055,2013,3664
A83057,2013,5547
A83060,2013,3031
A83061,2013,3320
A83066,2013,8602
A83068,2013,1988
A83070,2013,5663
A83071,2013,5109
A83072,2013,3816
A83073,2013,4952
A83074,2013,11168
A83075,2013,4694
A83076,2013,2450
A83603,2013,2747
A83610,2013,2681
A83616,2013,2424
A83617,2013,2799
A83618,2013,3687
A83619,2013,2815
A83622,2013,1682
A83626,2013,1965
A83627,2013,4011
A83630,2013,2354
A83632,2013,2758
A83634,2013,2732
A83635,2013,3655
A83636,2013,5535
A83637,2013,1986
A83638,2013,1427
A83641,2013,4633
A83644,2013,3283
A84002,2013,5297
A84003,2013,13293
A84005,2013,10889
A84006,2013,8975
A84007,2013,11019
A84008,2013,4478
A84009,2013,13745
A84011,2013,6893
A84013,2013,6446
A84014,2013,10491
A84015,2013,2192
A84016,2013,6665
A84018,2013,6875
A84020,2013,8577
A84021,2013,9650
A84022,2013,11316
A84024,2013,8830
A84025,2013,5536
A84026,2013,9383
A84027,2013,3274
A84028,2013,19223
A84029,2013,2882
A84030,2013,9136
A84031,2013,8960
A84032,2013,2461
A84033,2013,5964
A84034,2013,5658
A84035,2013,5811
A84036,2013,17319
A84037,2013,5690
A84038,2013,5820
A84039,2013,4920
A84040,2013,3728
A84042,2013,1786
A84043,2013,16954
A84044,2013,6713
A84045,2013,3296
A84047,2013,5475
A84048,2013,8791
A84604,2013,1853
A84609,2013,1671
A84613,2013,800
A84614,2013,1962
A84618,2013,2192
A84619,2013,3571
A85001,2013,7244
A85002,2013,4791
A85003,2013,6901
A85004,2013,10993
A85005,2013,11131
A85006,2013,9230
A85007,2013,8419
A85008,2013,14766
A85009,2013,7073
A85010,2013,10977
A85011,2013,8147
A85012,2013,4172
A85013,2013,3148
A85014,2013,7444
A85015,2013,1936
