gp_code,type
A81040,4
A81041,0
A81045,4
A81048,1
A81051,1
A81054,1
A81058,3
A81060,3
A82045,2
A82053,3
A82055,3
A83023,3
A83024,1
A83029,1
A83031,1
A83037,3
A83038,3
A84005,3
A84013,1
A84014,1
A85010,1
A85018,2
A86040,0
A86041,1
A87005,1
A87009,1
A87011,3
A87012,2
A87013,3
A87017,1
A89007,3
A89008,3
A89011,0
A89012,1
A89015,3
A89019,3
A89020,4
B81022,3
B81025,1
B81027,0
B81029,4
B81032,2
B81034,2
B81037,1
A82021,3
A82022,4
A82027,1
A82035,3
B82031,4
B82034,1
B82035,1
B82036,3
B82037,1
B82041,1
C81097,1
C81099,1
C81108,2
C81110,1
C81113,4
C86609,1
C86621,1
E81612,2
E81615,4
E81617,4
E82001,4
E82002,2
E82007,2
E82009,4
E86626,4
E86629,4
E86637,4
E87004,4
E87005,4
E87008,4
F84010,3
F84016,0
F84017,3
F84021,2
F84022,2
F84030,4
F84033,4
G82125,0
G82137,0
G82143,1
G82152,0
G82158,1
A81020,4
A81027,1
A81037,1
A81038,0
A82008,4
A82010,1
A82015,2
A83007,1
A83020,2
A83616,1
A84039,1
A85001,2
A85004,3
A86020,3
A86031,0
A86033,0
A86037,1
A88012,4
A88013,0
A88022,0
A88608,3
A88613,4
A89001,1
A89004,4
B81005,0
B81016,3
A81002,1
A81006,1
A81611,3
A82631,3
A83045,4
A83047,1
A83048,4
A83049,3
A83052,1
A83054,1
A84027,1
A84028,3
A86005,2
A86012,1
A87020,4
A87029,2
A87030,4
A87612,0
A87615,2
A88001,3
A88004,4
A88006,3
A88008,1
A89022,1
A89027,2
A89028,1
A89035,1
B81617,2
B81619,4
B81642,1
B82049,3
B82050,1
B82053,3
B82057,1
B82059,3
B82060,0
B82063,1
B83016,2
B83018,2
B83026,3
B84001,3
B84003,2
B84004,1
B84006,1
B84007,1
B84009,1
B84013,2
B84016,1
B84019,3
B85048,2
B85062,3
B86015,4
B86016,3
B86018,0
B86030,1
B86035,0
B86658,1
B87028,2
B87031,2
B87032,1
B87039,3
B87042,3
B87604,2
C81003,1
C81005,2
C81006,2
H82013,1
H82016,0
H82023,1
H82026,3
H82028,1
J82146,3
J82149,3
J82152,3
J82155,3
J82163,3
L81008,3
L81010,3
L81012,3
L81014,3
L81017,3
L81021,4
M81019,1
M81026,1
M81027,3
M81032,3
M81033,4
M81034,2
M81035,1
M81038,3
M85170,2
M85172,1
N81623,0
N82001,4
P82004,1
P82006,2
P82010,3
P82011,4
P82014,4
Y00316,4
Y00351,3
Y00352,2
Y00411,1
B81064,1
B81082,1
B82008,4
B82010,4
B82011,1
B82014,1
B82016,3
B82025,1
B82101,4
B82104,1
B82105,0
B82106,1
B83002,1
B83005,2
B83008,0
B83626,3
B83641,2
B85021,1
B85023,0
B85027,3
B85032,1
B85033,3
B86005,1
B86009,0
B86011,1
B86012,4
B86014,0
B86089,0
B86092,1
B87009,3
B87011,3
B87013,1
B87017,3
B87021,3
B87025,2
B87026,1
B87027,2
B81039,3
B81040,1
B81043,2
B81046,3
B81063,1
B81665,3
B82004,3
B82005,0
B82007,1
B82074,1
B82078,1
B82081,3
B82097,1
B83038,3
B83039,1
B83041,0
B83042,2
B83045,3
