gp_code,practice_name,registered_patients,weighted_patients,weighting_ratio
A81001,THE DENSHAM SURGERY,3893.75,4460.62,1.1455845906902087
A81002,QUEENS PARK MEDICAL CENTRE,18749.25,21549.98,1.1493782417963385
A81004,ACKLAM MEDICAL CENTRE,11291.0,11792.81,1.0444433619697104
A81005,SPRINGWOOD SURGERY,7742.5,9068.45,1.1712560542460446
A81006,TENNANT STREET MEDICAL PRACTICE,14693.75,16637.19,1.1322630370055295
A81007,BANKHOUSE SURGERY,10512.75,11847.16,1.1269325343035836
A81009,VILLAGE MEDICAL CENTRE,8253.5,8925.57,1.0814284848852003
A81011,CHADWICK PRACTICE,11815.5,13847.83,1.1720054166137701
A81012,WESTBOURNE MEDICAL CENTRE,5581.5,6213.79,1.113283167607274
A81013,BROTTON SURGERY,7565.0,9086.7,1.2011500330469267
A81014,QUEENSTREE PRACTICE,4151.0,4815.75,1.1601421344254397
A81016,PARK SURGERY,12186.5,12833.17,1.0530644565707956
A81017,WOODBRIDGE PRACTICE,18425.25,17066.39,0.926250118722948
A81018,BENTLEY MEDICAL PRACTICE,10179.0,11182.24,1.0985597799390903
A81019,CROSSFELL HEALTH CENTRE,8939.25,10458.16,1.1699147020163885
A81020,MARTONSIDE MEDICAL CENTRE,7910.75,9116.77,1.1524533072085454
A81021,NORMANBY MEDICAL CENTRE,22885.5,26680.28,1.1658159096371064
A81022,HILLSIDE PRACTICE,9400.0,11710.38,1.2457851063829786
A81023,THE ENDEAVOUR PRACTICE,8984.75,9468.44,1.0538345529925708
A81025,THE DOVECOT SURGERY,4168.25,4680.93,1.122996461344689
A81026,LINTHORPE SURGERY,20936.0,22972.17,1.0972568781046999
A81027,YARM MEDICAL PRACTICE,14760.75,13836.35,0.9373744559050184
A81029,PROSPECT SURGERY,7283.5,7812.37,1.0726120683737215
A81030,BOROUGH ROAD & NUNTHORPE MEDICAL GROUP,16455.75,18603.88,1.1305397809276394
A81031,HAVELOCK GRANGE PRACTICE,13714.25,15511.53,1.1310520079479374
A81032,THE GARTH,11488.5,13140.86,1.143827305566436
A81034,THORNABY & BARWICK MEDICAL GROUP,20991.75,19248.17,0.9169397501399359
A81035,NEWLANDS MEDICAL CENTRE,9844.25,11413.6,1.1594179343271453
A81036,NORTON MEDICAL CENTRE,16505.75,18172.98,1.1010090423034398
A81037,THE ERIMUS PRACTICE,6787.25,7282.91,1.0730281041658993
A81038,HIRSEL MEDICAL CENTRE,3804.25,4133.36,1.0865111388578563
A81039,EAGLESCLIFFE MEDICAL PRACTICE,12395.75,12136.76,0.9791065486154529
A81040,MARSH HOUSE MEDICAL PRACTICE,8535.75,9053.15,1.0606156459596403
A81041,HART MEDICAL PRACTICE,9420.75,11160.39,1.1846604569699863
