gp_code,gp_fte_2019,gp_fq_fte_2019,gp_fte_latest,gp_fq_fte_latest
A81001,3.066666667,2,3.4133333333,0.6400000000
A81002,11.70666667,10,9.2466666666,6.2599999999
A81004,3.186666667,3.186666667,4.0666666667,4.0666666667
A81005,8.0768,4.450133333,8.0000000001,3.9466666667
A81006,7.52,5.6,8.5399999999,5.9800000000
A81007,7.357333333,5.010666667,8.8402666666,6.8402666666
A81009,3.686666667,3.686666667,3.3733333334,3.3733333334
A81011,4.6368,4.6368,4.4933333333,4.4933333333
A81012,2.12,2.12,3.4533333334,3.4533333334
A81013,3.737066667,2.6704,3.0002666666,2.3602666666
A81014,1.4312,1.4312,1.2445333333,1.2445333333
A81016,3.06,3.06,5.0400000001,2.9066666667
A81017,7.301866667,6.2352,9.1384000000,6.7917333333
A81018,3.449066667,3.449066667,3.8901333334,3.8901333334
A81019,4.72894359,4.72894359,4.1999999999,4.1999999999
A81020,4.166933333,4.166933333,6.5066666668,2.8800000001
A81021,6.060266667,6.060266667,9.4202666666,8.3535999999
A81022,6.7584,4.625066667,8.2613333335,4.3146666667
A81023,5.146133333,4.079466667,5.4266666667,5.4266666667
A81025,5.32,2.12,3.4133333333,1.4933333333
A81026,12.4952,9.721866667,14.9568000002,8.4501333334
A81027,8.813333333,6.04,9.1360000000,6.5760000000
A81029,2.934748718,2.934748718,4.4533333334,3.3866666667
A81030,6.288471795,6.288471795,11.9466666667,8.1066666667
A81031,12.09893333,6.1256,12.6720000001,5.4186666666
A81032,7.493866667,5.360533333,8.6770666666,5.6903999999
A81034,12.91573333,9.289066667,17.3600000000,12.2399999999
A81035,4.589066667,3.5224,3.7573333335,3.7573333335
A81036,13.19179487,11.4851282,6.9238933334,5.2172266668
A81037,2.780266667,2.780266667,3.5402666666,3.5402666666
A81038,1.96,1.96,1.9600000000,1.9600000000
A81039,7.400266667,5.480266667,10.8000000001,7.6000000000
A81040,7.866933333,4.240266667,7.1866666667,3.9866666666
A81041,4.44,4.44,4.7733333334,4.7733333334
A81042,4.08,4.08,10.1386666669,4.8720000001
A81043,2.820266667,2.820266667,,
A81044,10.02346667,7.890133333,10.4213333336,6.3680000002
A81045,3.7368,2.670133333,5.3066666667,2.3200000000
A81046,6.853333333,4.933333333,9.3866666669,5.1200000001
A81048,6.990133333,4.8568,4.8541333334,1.8674666667
A81049,5.306666667,2,5.6266666667,2.6400000000
A81051,2.24,2.24,3.3333333334,3.3333333334
A81052,5.866666667,3.733333333,4.0000000000,4.0000000000
A81053,2.778933333,2.778933333,2.1466666666,2.1466666666
A81054,4.362133333,3.295466667,3.1133333334,3.1133333334
A81056,1.22,1.22,1.0266666666,1.0266666666
A81057,5.4072,4.340533333,8.0069333334,3.7402666666
A81058,4.595569231,4.595569231,6.2933333333,4.5866666667
A81060,2.991671795,2.991671795,2.2933333333,2.2933333333
A81063,2.225805128,2.225805128,2.0000000000,2.0000000000
A81064,2.220266667,2.220266667,2.0800000000,2.0800000000
A81065,1.330133333,1.330133333,,
A81066,3,3,5.1333333334,3.0000000000
A81067,7.28,6.213333333,7.7333333334,5.9200000000
A81070,,,1.4560000000,1.4560000000
A81602,1,1,1.0000000000,1.0000000000
A81608,2.6672,2.6672,11.8320000002,9.9120000002
A81610,3.022133333,3.022133333,2.1333333334,2.1333333334
A81611,5.933333333,3.8,7.7000000001,5.5666666667
A81612,1.904615385,1.904615385,2.2666666667,2.2666666667
A81618,6.366933333,4.446933333,5.1101333334,4.0434666667
A81621,2.64,2.64,2.8400000000,2.8400000000
A81622,2.229066667,2.229066667,1.5039999999,1.5039999999
A81629,2,2,2.4000000000,2.4000000000
A81630,0.442133333,0.442133333,,
A81631,3.086666667,3.086666667,4.8400000001,3.7733333334
A81632,2,2,,
A81633,0.333333333,0.333333333,,
A81634,0.250133333,0.250133333,,
A82003,10.24,7.04,10.3333333335,7.1333333334
A82004,3.013333333,2.373333333,3.9866666667,2.0666666667
A82005,4.146666667,4.146666667,3.7280000002,3.7280000002
A82006,3.24,3.24,2.3093333333,2.3093333333
A82007,5.226666667,5.226666667,3.3866666667,3.3866666667
A82008,9.973333334,8.266666667,9.0800000002,6.9466666668
A82009,8.186666667,5.2,8.6933333333,5.9200000000
A82010,2.666666667,2.666666667,4.2666666667,4.2666666667
A82012,14.04,9.773333333,12.0440000001,8.5240000001
A82013,5.806666667,4.74,3.3333333334,3.3333333334
A82014,5.12,2.986666667,7.0400000000,4.0533333333
A82015,1.066666667,1.066666667,1.4133333333,1.4133333333
A82016,24.66666667,19.33333333,23.6400000002,18.3066666667
A82018,9.08,6.946666667,8.8005333334,6.8805333335
A82019,4.4,4.4,,
A82020,9.265641026,6.598974359,7.1146666669,7.1146666669
A82021,13.02666667,9.186666667,6.3600000001,5.2933333334
A82022,3.653333333,2.586666667,4.7600000000,2.5200000000
A82023,5.533333333,3.4,6.5066666668,3.7333333334
A82024,5.355897436,4.289230769,1.6666666667,1.6666666667
A82025,6.773333334,5.706666667,6.0618666668,6.0618666668
A82026,3.466666667,2.4,9.7893333334,9.0426666667
A82027,7.177333333,5.044,8.4853333334,4.4320000000
A82028,8.826666667,6.693333334,10.2533333333,5.3466666666
A82029,4.447179487,3.380512821,6.0133333334,3.2400000000
A82030,5.875003966,5.021670633,5.7333333334,4.0266666667
A82031,2.553333333,2.553333333,3.2933333333,1.3733333333
A82032,8.573333333,7.506666667,9.9200000001,7.7866666667
A82033,7.173333333,5.466666667,4.5333333334,4.5333333334
A82034,2,2,,
A82035,7.008,5.941333333,11.0384000001,8.0517333334
A82036,4.906666667,4.906666667,9.5400000002,5.2733333334
A82037,2.96,2.96,1.7333333334,1.7333333334
A82038,0.933333333,0.933333333,3.0000000000,3.0000000000
A82039,6.933333333,4.8,7.0466666668,4.0600000001
A82041,0.853333333,0.853333333,6.1866666667,0.8533333333
A82044,4.64,4.64,8.6133333335,6.4800000001
A82045,7.130428466,6.063761799,7.3066666667,6.2400000000
A82046,,,2.3066666668,2.3066666668
A82047,8.026666667,5.893333333,12.7093333333,10.5759999999
A82048,2.850428466,2.850428466,,
A82049,3.57948718,3.57948718,,
A82050,2.253333333,2.253333333,,
A82053,2.693333333,2.693333333,6.8605658273,5.7938991606
A82055,5.633333333,4.566666667,6.3666666667,3.5933333334
