gp_code,oc_wd_total,oc_rush,oc_rush_pct,same_day_12m,rural,imd_score,log_list,gp_per10k,nurse_per10k,dpc_per10k,merged_recent,dispensing_f,region,rush_pct,calls_per_1k,total_wd,oq
C82051,2812,819,29.125177809388337,25.179225333952242,1.0,14.5,9.380779106858364,8.32050822507537,7.083675921826576,10.56929423228554,0.0,1.0,MIDLANDS,21.5,531.0,6338,Q2
C82054,1716,1283,74.76689976689977,43.750373960390114,0.0,10.09,9.397711657402244,11.718453109466656,4.952704710735237,3.272322754389238,0.0,1.0,MIDLANDS,27.1,597.6,7430,Q4
C82061,3823,1690,44.20612084750197,20.41187291151916,0.0,15.5,9.597471773395842,17.8351157100662,2.5711537368867767,2.0822723924630795,0.0,0.0,MIDLANDS,21.6,467.3,7257,Q4
C82064,3705,1664,44.91228070175438,34.82167343580635,0.0,13.45,9.418573310554638,19.51008255298417,6.755988631749898,3.204763837596427,0.0,0.0,MIDLANDS,21.1,452.0,5527,Q4
C82068,488,109,22.33606557377049,47.861399582589456,0.0,11.19,9.422665615854513,17.640478215195504,3.6876794306740535,3.946463952124864,0.0,0.0,MIDLANDS,23.8,649.0,8039,Q1
C82071,337,129,38.27893175074184,59.293201877432516,0.0,15.47,9.536178889525775,17.172112160651654,4.235274299705817,1.3475872768509771,0.0,0.0,MIDLANDS,54.1,1452.1,20859,Q3
C82073,1995,438,21.954887218045112,46.04112083129802,0.0,35.72,9.60628811104524,8.471353656356039,2.5485852101292803,7.825233461622592,0.0,0.0,MIDLANDS,40.3,658.9,9295,Q1
C82077,1255,289,23.02788844621514,32.54408100055814,1.0,11.08,9.456314641028174,4.629098681905854,8.424125528332377,22.33227336782568,0.0,1.0,MIDLANDS,31.2,469.5,5955,Q1
C82079,584,216,36.98630136986301,44.233158146201625,0.0,21.37,8.854974095168483,11.64189751515872,2.282725002972298,3.576269170372132,0.0,0.0,MIDLANDS,31.1,724.6,4976,Q3
C82086,178,44,24.719101123595507,32.52973022997548,0.0,38.07,9.277508245834229,14.14775162299259,1.2965863306762664,3.3412032389723927,0.0,0.0,MIDLANDS,28.9,404.1,4144,Q1
C82094,369,52,14.092140921409214,26.80427980216009,0.0,36.93,8.837197235330143,8.361330300624486,5.344435300382437,4.105145954398025,0.0,0.0,MIDLANDS,31.5,893.6,6074,Q1
C82098,143,43,30.06993006993007,41.20948897693793,0.0,11.23,8.90149140871047,13.87277989037054,3.1231912850252512,9.042728254213245,0.0,0.0,MIDLANDS,31.6,889.4,6443,Q2
C82102,154,56,36.36363636363637,34.599920906933825,1.0,13.35,8.50082665399594,11.276386675702234,2.819096667909057,0.0,0.0,1.0,MIDLANDS,31.3,469.7,2254,Q3
C82121,490,110,22.448979591836736,38.78842378847862,0.0,18.49,9.609239526870034,13.367482748878771,4.938989609779557,2.433705024661396,0.0,0.0,MIDLANDS,30.3,665.1,9882,Q1
C82610,128,27,21.09375,51.32123877588418,0.0,45.94,8.781824115837265,13.507809203729998,0.6139913273725008,3.1108893909973525,0.0,0.0,MIDLANDS,41.1,610.3,4169,Q1
C82631,1309,519,39.64858670741024,24.452607317775858,0.0,11.03,8.877695800489295,11.863835523168651,0.8925769673302884,12.272933300791465,0.0,0.0,MIDLANDS,25.5,540.4,3842,Q3
C82634,1673,786,46.98147041243276,56.52803571124325,0.0,15.14,8.673028166307594,13.645568897572664,2.0080435848141707,0.0,0.0,0.0,MIDLANDS,23.8,433.3,2780,Q4
C82644,131,46,35.11450381679389,36.109159053642536,1.0,15.71,8.50072499870893,10.843781768214164,7.807522873602169,2.819383258556422,0.0,0.0,MIDLANDS,38.0,731.4,3716,Q3
C82660,2179,876,40.20192748967416,53.53831417624521,0.0,30.5,8.838358394684567,3.094627920313331,4.1777476911174505,0.5802427348774237,0.0,0.0,MIDLANDS,32.6,546.0,4106,Q3
C82667,2193,823,37.52849977200182,48.418545957827895,0.0,34.84,8.972802044544297,6.943230333516507,4.869594623155937,1.2173986557889842,0.0,0.0,MIDLANDS,26.2,497.1,4073,Q3
C82669,755,643,85.16556291390728,32.869296210363494,0.0,29.0,8.341847248358707,8.007944389275075,3.559086396822244,8.38927507447865,0.0,0.0,MIDLANDS,27.3,634.0,2662,Q4
C82676,1793,731,40.76965978806469,44.557056235361074,0.0,27.92,8.882021473044672,6.221070172190337,2.147750415663766,3.40677652379189,0.0,0.0,MIDLANDS,26.0,491.7,3668,Q3
C83003,4985,1497,30.03009027081244,45.48638646576791,0.0,19.06,9.981940535728572,7.886989718591455,6.323891412127726,12.26563734100706,0.0,1.0,MIDLANDS,22.2,435.3,9193,Q2
C83007,8651,3629,41.94890764073517,61.612015452148476,0.0,12.24,10.209709200067396,10.13574713142815,9.947297611568525,15.077855626587482,0.0,1.0,MIDLANDS,23.2,371.1,9947,Q4
C83009,3010,1160,38.53820598006645,45.650332929279514,0.0,35.33,9.079719026767744,19.656885036750044,8.447761761722978,3.1299261193094408,0.0,0.0,MIDLANDS,20.7,509.0,4360,Q3
C83010,679,360,53.01914580265096,43.1194718313293,0.0,30.44,9.879997133687857,8.352858873684031,5.992458238435682,6.825123278618596,0.0,0.0,MIDLANDS,29.7,739.0,13736,Q4
C83011,4392,1339,30.487249544626597,42.688237524560215,1.0,15.18,9.410426805881697,9.64927241538808,9.638356949945765,11.526732659758084,0.0,1.0,MIDLANDS,22.3,519.0,6501,Q2
C83013,2559,1185,46.30715123094959,33.160541285650496,1.0,14.81,8.982079583240782,7.605486337346875,12.396607684221546,15.88105957491362,0.0,1.0,MIDLANDS,25.4,521.4,4133,Q4
C83015,833,417,50.06002400960384,40.346495797240024,1.0,22.48,9.061221456009946,19.315895371072592,10.462776660733631,6.933911160037146,0.0,1.0,MIDLANDS,33.6,928.8,8090,Q4
C83020,3704,968,26.13390928725702,37.694355697550584,1.0,14.29,9.197044032808831,19.1562549984377,5.431744289152557,36.56293543892244,0.0,1.0,MIDLANDS,24.6,669.5,6840,Q1
C83024,941,457,48.5653560042508,51.32187170545779,1.0,15.27,8.22764270790443,15.958678423724283,3.134740406091371,19.37839522575474,0.0,1.0,MIDLANDS,23.3,590.4,2211,Q4
C83031,4615,1654,35.83965330444204,45.383549565436454,1.0,10.02,9.436745265992764,9.73885308047046,6.145258820652535,14.00225928712871,0.0,1.0,MIDLANDS,24.0,307.1,3741,Q3
