model,outcome,predictor,after_rebuilt,before_live,delta
plusreport,Q16_contact,continuity_2026,3.336,3.347,-0.011
plusreport,Q16_contact,deflection_2026,-5.699,-5.698,-0.001
plusreport,Q16_contact,has_pref_hcp_2026,0.734,0.731,0.003
plusreport,Q16_contact,imd_score,-0.751,-0.73,-0.021
plusreport,Q16_contact,queue_answer,1.637,1.658,-0.021
plusreport,Q1_phone,continuity_2026,4.909,4.92,-0.011
plusreport,Q1_phone,deflection_2026,-5.809,-5.789,-0.02
plusreport,Q1_phone,has_pref_hcp_2026,0.524,0.499,0.025
plusreport,Q1_phone,imd_score,-1.465,-1.453,-0.012
plusreport,Q1_phone,queue_answer,4.512,4.554,-0.042
plusreport,Q32_overall,continuity_2026,2.952,2.965,-0.013
plusreport,Q32_overall,deflection_2026,-4.057,-4.047,-0.01
plusreport,Q32_overall,has_pref_hcp_2026,1.264,1.251,0.013
plusreport,Q32_overall,imd_score,-0.522,-0.516,-0.006
plusreport,Q32_overall,queue_answer,1.074,1.089,-0.015
together,Q16_contact,imd_score,-2.178,-2.18,0.002
together,Q16_contact,queue_answer,3.08,3.088,-0.008
together,Q1_phone,imd_score,-3.087,-3.099,0.012
together,Q1_phone,queue_answer,6.168,6.188,-0.02
together,Q32_overall,imd_score,-1.562,-1.572,0.01
together,Q32_overall,queue_answer,2.208,2.212,-0.004
