tag,model,outcome,predictor,coef,se
before_live,together,Q32_overall,queue_answer,2.212,0.167
before_live,together,Q32_overall,ivr_share,-1.131,0.159
before_live,together,Q32_overall,monwed_gap,0.035,0.148
before_live,together,Q32_overall,contacts_per_appt,-0.454,0.258
before_live,together,Q32_overall,calls_per1k,1.289,0.301
before_live,together,Q32_overall,oc_rate_febapr,-1.302,0.188
before_live,together,Q32_overall,same_day_pct_12m,-0.086,0.15
before_live,together,Q32_overall,log_list,-1.556,0.198
before_live,together,Q32_overall,imd_score,-1.572,0.184
before_live,together,Q32_overall,partner_per10k,1.54,0.173
before_live,together,Q32_overall,salaried_per10k,1.366,0.171
before_live,together,Q32_overall,locum_per10k,0.253,0.137
before_live,together,Q32_overall,trainee_per10k,0.173,0.168
before_live,together,Q32_overall,training_flag,2.668,0.426
before_live,together,Q32_overall,nurse10k_c,0.245,0.16
before_live,together,Q32_overall,dpc10k_c,0.153,0.143
before_live,together,Q32_overall,admin10k_c,-1.087,0.181
before_live,together,Q32_overall,appts_percap,0.447,0.244
before_live,together,Q32_overall,pct65plus,0.401,0.24
before_live,together,Q32_overall,nonwhite_pct,-1.227,0.218
before_live,together,Q32_overall,adm_x_size,-0.255,0.129
before_live,together,Q32_overall,adm_x_oc,-0.025,0.156
before_live,together,Q32_overall,_R2,0.2756,
before_live,together,Q32_overall,_n,4736.0,
before_live,plusreport,Q32_overall,queue_answer,1.089,0.13
before_live,plusreport,Q32_overall,ivr_share,-0.471,0.126
before_live,plusreport,Q32_overall,monwed_gap,-0.009,0.118
before_live,plusreport,Q32_overall,contacts_per_appt,-0.171,0.214
before_live,plusreport,Q32_overall,calls_per1k,1.334,0.259
before_live,plusreport,Q32_overall,oc_rate_febapr,-0.857,0.154
before_live,plusreport,Q32_overall,same_day_pct_12m,0.496,0.121
before_live,plusreport,Q32_overall,log_list,-0.411,0.159
before_live,plusreport,Q32_overall,imd_score,-0.516,0.15
before_live,plusreport,Q32_overall,partner_per10k,0.503,0.133
before_live,plusreport,Q32_overall,salaried_per10k,0.914,0.126
before_live,plusreport,Q32_overall,locum_per10k,0.13,0.121
before_live,plusreport,Q32_overall,trainee_per10k,0.693,0.142
before_live,plusreport,Q32_overall,training_flag,1.754,0.342
before_live,plusreport,Q32_overall,nurse10k_c,0.188,0.132
before_live,plusreport,Q32_overall,dpc10k_c,-0.034,0.113
before_live,plusreport,Q32_overall,admin10k_c,-0.431,0.152
before_live,plusreport,Q32_overall,appts_percap,0.1,0.199
before_live,plusreport,Q32_overall,pct65plus,0.241,0.196
before_live,plusreport,Q32_overall,nonwhite_pct,-1.01,0.182
before_live,plusreport,Q32_overall,adm_x_size,0.019,0.108
before_live,plusreport,Q32_overall,adm_x_oc,-0.065,0.126
before_live,plusreport,Q32_overall,deflection_2026,-4.047,0.136
before_live,plusreport,Q32_overall,continuity_2026,2.965,0.135
before_live,plusreport,Q32_overall,has_pref_hcp_2026,1.251,0.133
before_live,plusreport,Q32_overall,_R2,0.5382,
before_live,plusreport,Q32_overall,_n,4736.0,
before_live,together,Q16_contact,queue_answer,3.088,0.189
before_live,together,Q16_contact,ivr_share,-1.671,0.181
before_live,together,Q16_contact,monwed_gap,0.04,0.159
before_live,together,Q16_contact,contacts_per_appt,-0.475,0.279
before_live,together,Q16_contact,calls_per1k,1.34,0.316
before_live,together,Q16_contact,oc_rate_febapr,-1.823,0.206
before_live,together,Q16_contact,same_day_pct_12m,-0.059,0.169
before_live,together,Q16_contact,log_list,-2.157,0.223
before_live,together,Q16_contact,imd_score,-2.18,0.21
before_live,together,Q16_contact,partner_per10k,1.397,0.19
before_live,together,Q16_contact,salaried_per10k,1.242,0.184
before_live,together,Q16_contact,locum_per10k,0.186,0.15
before_live,together,Q16_contact,trainee_per10k,0.169,0.186
