sub,sat_respw,sat_basew,phone_respw,phone_basew,n_practices,sat_diff
00L,86.53,83.77,75.81,66.85,23.0,2.75
00N,79.34,78.11,63.28,59.22,17.0,1.23
00P,83.17,82.69,74.8,72.69,35.0,0.48
00Q,75.17,74.62,59.91,55.56,19.0,0.55
00R,76.76,75.16,59.19,55.54,13.0,1.6
00T,79.18,78.22,64.49,59.86,35.0,0.95
00V,72.77,71.58,55.67,53.18,18.0,1.18
00X,83.34,83.41,69.02,65.09,20.0,-0.07
00Y,74.97,73.31,55.85,52.92,30.0,1.65
01A,74.6,74.93,58.87,55.09,37.0,-0.33
01D,78.61,77.9,61.78,58.81,28.0,0.71
01E,79.77,80.17,69.24,69.67,19.0,-0.39
01G,80.5,79.86,67.05,63.02,29.0,0.64
01H,83.12,80.92,73.34,66.37,20.0,2.21
01K,83.86,81.76,74.09,64.08,25.0,2.1
01T,76.01,76.86,52.93,51.93,14.0,-0.85
01V,85.91,85.39,66.64,63.15,12.0,0.52
01W,87.22,84.87,73.43,68.34,32.0,2.34
01X,75.3,75.3,50.86,50.86,1.0,0.0
01Y,74.29,72.44,59.03,56.28,24.0,1.85
02A,82.27,82.0,66.86,65.88,23.0,0.27
02E,73.62,73.79,54.42,50.83,21.0,-0.18
02G,81.98,79.3,70.4,67.79,15.0,2.68
02H,83.04,82.61,72.97,70.35,55.0,0.43
02M,77.66,78.07,61.34,59.78,17.0,-0.41
02P,75.23,74.76,53.51,47.51,22.0,0.48
02Q,71.23,65.48,53.3,42.71,6.0,5.75
02T,75.42,74.63,54.96,52.76,17.0,0.79
02X,76.07,77.1,53.46,53.75,28.0,-1.02
02Y,81.47,80.92,61.43,58.03,14.0,0.56
03F,75.21,75.76,60.52,52.27,13.0,-0.55
03H,82.03,79.83,70.56,62.54,14.0,2.2
03K,75.96,74.06,58.11,54.22,14.0,1.9
03L,82.08,81.14,58.91,57.69,6.0,0.94
03N,80.63,79.24,59.95,56.41,26.0,1.39
03Q,82.21,79.6,59.97,50.99,10.0,2.61
03R,77.81,76.54,58.04,53.66,31.0,1.28
03W,78.57,75.76,58.73,55.84,23.0,2.81
04C,72.68,71.84,52.68,50.91,28.0,0.84
04V,78.34,77.54,57.53,56.12,35.0,0.8
04Y,84.25,83.18,73.27,71.74,16.0,1.07
05D,82.13,79.1,67.21,61.13,16.0,3.03
05G,84.81,84.81,70.84,69.98,25.0,-0.01
05Q,78.52,76.92,63.64,57.02,19.0,1.6
05V,80.55,79.86,58.66,58.9,7.0,0.7
05W,82.93,81.36,71.81,69.07,32.0,1.57
06H,76.59,75.13,59.68,56.42,50.0,1.45
06K,71.7,71.63,48.94,47.93,44.0,0.07
06L,82.16,81.29,66.06,62.03,34.0,0.87
06N,79.57,79.93,59.02,56.11,44.0,-0.36
06Q,75.71,74.03,51.57,47.32,29.0,1.67
06T,78.45,79.68,58.36,57.91,17.0,-1.24
07G,77.01,75.57,58.55,55.41,17.0,1.45
07H,74.09,70.3,52.65,47.93,24.0,3.79
07K,82.2,80.59,62.59,58.81,21.0,1.6
09D,82.73,81.92,63.32,60.6,24.0,0.82
10Q,81.57,79.92,68.31,64.16,57.0,1.65
10R,68.85,68.46,46.94,43.89,10.0,0.39
11J,82.34,78.88,68.31,61.25,50.0,3.46
11M,80.93,79.84,63.87,60.02,47.0,1.09
11N,80.8,78.75,63.46,59.28,43.0,2.05
11X,82.88,80.65,66.94,61.63,50.0,2.23
12F,84.02,81.77,65.15,60.95,29.0,2.25
13T,80.14,79.39,65.14,62.71,45.0,0.75
14L,79.75,78.73,64.49,61.57,72.0,1.02
14Y,74.66,72.07,52.84,47.86,42.0,2.59
15A,79.29,78.19,62.35,59.16,35.0,1.1
15C,79.47,78.15,58.59,56.61,59.0,1.32
15E,75.11,73.31,56.67,50.69,137.0,1.8
15F,78.26,77.85,58.61,56.46,69.0,0.41
15M,78.68,77.17,58.32,53.15,71.0,1.51
15N,82.8,80.2,65.76,59.75,94.0,2.6
16C,79.73,79.82,59.67,56.68,53.0,-0.09
18C,82.79,80.34,71.4,66.25,76.0,2.45
26A,80.73,79.69,66.67,63.07,55.0,1.04
27D,82.59,81.12,64.63,60.19,73.0,1.46
36J,72.07,70.4,51.56,45.39,43.0,1.66
36L,80.85,80.9,65.89,63.61,150.0,-0.05
42D,86.8,84.52,76.68,71.27,56.0,2.28
52R,75.67,75.38,56.03,53.17,108.0,0.29
70F,78.65,78.19,56.72,55.04,66.0,0.46
71E,77.91,74.75,61.62,55.78,62.0,3.15
72Q,77.05,76.07,60.78,57.66,161.0,0.98
78H,74.86,74.75,53.06,52.04,57.0,0.11
84H,83.38,81.82,72.16,68.02,45.0,1.56
91Q,74.46,73.02,53.95,49.37,123.0,1.44
92A,80.32,79.75,60.37,58.98,86.0,0.57
92G,82.3,80.95,64.22,60.62,56.0,1.35
93C,76.38,75.96,61.21,58.95,141.0,0.42
97R,76.23,74.14,52.7,45.82,31.0,2.09
99A,79.23,77.86,58.91,55.56,67.0,1.37
99C,83.12,83.47,69.84,66.86,16.0,-0.35
99E,74.45,76.83,52.11,51.32,31.0,-2.38
99F,76.41,74.92,55.53,48.04,20.0,1.49
99G,77.61,72.96,57.14,47.49,21.0,4.65
A3A8R,73.61,71.86,59.88,56.27,240.0,1.75
B2M3M,81.53,81.06,67.78,64.73,108.0,0.48
