SUB_ICB_LOCATION_CODE,appt_ratio,sameday_ratio,appts_wed,call_ratio,aq_mon,aq_wed,phone,access,defl,imd,match_total,flex_gap,sd_flex_gap,mon_aq_drop
00L,1.173,1.438,9493.25,1.405,71.801,76.213,75.809,83.363,5.135,21.272,0.768,0.232,-0.033,4.412
00N,1.099,1.391,3556.0,1.418,61.918,73.204,63.279,75.48,7.087,30.764,0.681,0.319,0.027,11.287
00P,1.084,1.316,6628.5,1.417,79.745,86.486,74.802,80.056,6.321,33.658,0.667,0.333,0.101,6.741
00Q,1.1,1.223,3966.5,1.428,68.14,75.465,59.909,71.716,9.934,37.201,0.672,0.328,0.206,7.325
00R,1.119,1.386,3882.5,1.363,68.56,76.671,59.188,73.098,7.756,42.474,0.756,0.244,-0.023,8.111
00T,1.108,1.345,7572.75,1.402,80.802,84.773,64.486,76.936,6.106,32.587,0.705,0.295,0.058,3.971
00V,1.106,1.315,3664.5,1.348,63.358,68.404,55.667,69.831,8.936,24.716,0.758,0.242,0.033,5.046
00X,1.079,1.343,4204.25,1.373,69.71,78.158,69.021,80.103,6.166,17.082,0.705,0.295,0.03,8.448
00Y,1.136,1.382,5549.0,1.408,76.27,82.296,55.855,69.273,11.253,41.404,0.729,0.271,0.026,6.025
01A,1.172,1.414,8630.0,1.458,72.748,80.328,58.87,69.995,8.906,32.641,0.714,0.286,0.044,7.58
01D,1.081,1.223,5478.0,1.42,72.631,80.032,61.782,74.57,10.626,37.576,0.661,0.339,0.197,7.401
01E,1.103,1.312,5060.0,1.407,79.003,85.836,69.238,77.573,7.376,25.173,0.697,0.303,0.095,6.833
01G,1.171,1.412,7265.75,1.335,77.917,82.989,67.054,77.829,6.7,31.672,0.837,0.163,-0.077,5.073
01H,1.083,1.264,9440.75,1.451,66.826,79.191,73.342,81.025,5.1,20.49,0.632,0.368,0.186,12.366
01K,1.074,1.314,7787.75,1.427,69.809,80.059,74.086,80.914,5.548,19.369,0.648,0.352,0.113,10.251
01T,1.132,1.311,2737.0,1.403,68.082,71.652,52.933,69.941,11.692,34.373,0.729,0.271,0.092,3.57
01V,1.128,1.497,3504.25,1.538,64.353,73.734,66.64,81.083,5.501,17.334,0.59,0.41,0.041,9.381
01W,1.135,1.379,7392.0,1.401,83.297,87.965,73.434,83.713,3.028,18.898,0.733,0.267,0.022,4.668
01X,1.151,1.372,3980.25,1.781,78.255,84.058,50.861,54.085,15.035,45.6,0.369,0.631,0.409,5.803
01Y,1.117,1.322,5227.75,1.341,74.016,73.243,59.028,70.356,8.193,30.84,0.776,0.224,0.02,-0.772
02A,1.132,1.405,4463.75,1.394,82.03,88.163,66.862,78.596,5.317,16.541,0.738,0.262,-0.011,6.133
02E,1.101,1.284,5687.5,1.433,73.916,81.033,54.424,69.676,7.596,18.395,0.668,0.332,0.149,7.117
02G,1.238,1.451,2523.75,1.417,84.317,87.198,70.402,79.911,9.056,17.361,0.821,0.179,-0.034,2.881
02H,1.244,1.53,6260.0,1.394,85.924,89.432,72.969,81.381,5.359,25.873,0.85,0.15,-0.136,3.508
02M,1.157,1.268,4403.0,1.422,74.687,83.291,61.337,74.358,6.068,19.775,0.735,0.265,0.154,8.604
02P,1.132,1.411,6401.25,1.484,67.747,74.837,53.514,70.901,9.788,33.114,0.647,0.353,0.073,7.09
02Q,1.114,1.301,4876.5,1.918,27.789,41.282,53.301,68.279,6.351,20.01,0.196,0.804,0.617,13.493
02T,1.067,1.285,5739.5,1.334,54.971,66.356,54.962,70.709,7.076,28.173,0.733,0.267,0.048,11.385
02X,1.264,1.536,7103.25,1.444,54.705,61.047,53.46,71.293,9.48,29.744,0.82,0.18,-0.092,6.342
02Y,1.31,1.599,7350.0,1.505,64.637,76.792,61.431,77.658,5.296,14.76,0.804,0.196,-0.094,12.156
03F,1.018,1.241,7358.5,1.357,73.397,80.725,60.523,72.328,8.923,37.674,0.661,0.339,0.116,7.329
03H,1.14,1.292,5131.5,1.485,65.305,74.882,70.56,80.504,5.73,30.044,0.655,0.345,0.193,9.577
03K,1.279,1.513,5264.0,1.507,54.349,63.745,58.114,71.761,8.121,24.139,0.772,0.228,-0.006,9.396
03L,1.094,1.309,8326.5,1.439,68.435,80.947,58.906,74.032,7.527,26.277,0.655,0.345,0.13,12.512
03N,1.142,1.369,17126.75,1.25,69.763,76.775,59.95,76.219,5.222,24.501,0.892,0.108,-0.12,7.012
03Q,1.269,1.561,5487.0,1.388,60.411,74.931,59.966,76.583,3.537,10.768,0.881,0.119,-0.173,14.52
03R,1.194,1.492,10510.75,1.436,57.69,64.533,58.041,72.565,8.078,27.282,0.758,0.242,-0.056,6.843
03W,1.117,1.342,9876.25,1.394,55.198,63.626,58.728,73.382,7.689,11.866,0.723,0.277,0.052,8.428
04C,1.135,1.387,10784.0,1.373,71.477,76.918,52.684,66.721,11.657,34.104,0.762,0.238,-0.015,5.441
04V,1.079,1.311,10433.0,1.431,65.733,75.721,57.534,71.417,8.981,14.595,0.648,0.352,0.12,9.989
04Y,1.16,1.339,3363.0,1.427,72.142,77.924,73.269,83.154,5.348,18.898,0.734,0.266,0.088,5.782
05D,1.177,1.336,3478.0,1.389,71.08,80.267,67.208,78.568,6.121,16.971,0.789,0.211,0.053,9.187
05G,1.135,1.403,5121.0,1.415,74.291,81.565,70.844,81.437,6.05,17.887,0.719,0.281,0.012,7.274
05Q,1.142,1.377,5103.5,1.448,64.062,72.161,63.636,75.237,7.274,17.613,0.694,0.306,0.071,8.099
05V,1.097,1.314,3647.25,1.405,61.872,69.082,58.665,74.632,4.738,14.07,0.692,0.308,0.09,7.21
05W,1.198,1.384,6750.25,1.351,72.056,79.408,71.813,80.163,6.798,30.607,0.847,0.153,-0.033,7.352
06H,1.204,1.44,27205.75,1.369,72.699,79.176,59.682,74.064,6.181,15.62,0.835,0.165,-0.071,6.477
06K,1.045,1.296,14058.0,1.304,65.274,70.157,48.94,66.915,7.461,14.523,0.741,0.259,0.008,4.883
06L,1.128,1.312,9831.5,1.358,64.74,72.883,66.058,79.165,3.99,18.214,0.77,0.23,0.046,8.142
06N,1.139,1.339,13519.75,1.324,72.203,80.123,59.02,76.465,5.018,12.542,0.815,0.185,-0.016,7.921
06Q,1.054,1.253,9672.0,1.341,62.05,68.647,51.571,72.401,6.128,15.353,0.713,0.287,0.089,6.597
06T,1.045,1.243,9320.25,1.4,62.486,72.463,58.362,74.395,4.682,26.395,0.645,0.355,0.157,9.976
07G,1.088,1.283,4708.75,1.24,86.475,86.945,58.553,72.027,6.839,18.839,0.848,0.152,-0.043,0.471
07H,1.206,1.37,7005.25,1.544,62.865,71.902,52.65,69.66,9.247,15.432,0.662,0.338,0.174,9.037
07K,1.11,1.331,7415.5,1.434,64.743,72.822,62.593,79.361,4.547,16.431,0.676,0.324,0.103,8.078
09D,1.017,1.248,7264.5,1.454,58.458,66.485,63.322,78.748,5.376,20.13,0.563,0.437,0.206,8.027
10Q,1.198,1.432,16822.5,1.373,77.844,82.707,68.305,79.546,4.122,11.221,0.825,0.175,-0.059,4.863
10R,1.103,1.257,5687.75,1.345,67.515,75.516,46.937,62.552,10.129,25.07,0.758,0.242,0.088,8.001
11J,1.132,1.385,23706.75,1.37,61.943,70.633,68.313,79.441,3.586,16.505,0.762,0.238,-0.014,8.691
11M,1.141,1.349,18139.75,1.377,69.713,75.631,63.874,76.671,5.293,14.879,0.765,0.235,0.027,5.918
11N,1.119,1.37,18119.5,1.444,68.739,79.223,63.46,76.783,4.111,21.77,0.675,0.325,0.074,10.484
11X,1.203,1.403,13383.75,1.453,70.443,77.899,66.94,79.163,3.369,18.712,0.75,0.25,0.05,7.456
12F,1.086,1.288,10642.0,1.293,76.21,80.097,65.153,78.892,4.991,29.376,0.793,0.207,0.005,3.887
13T,1.14,1.342,13198.0,1.43,67.675,74.627,65.144,77.608,7.436,30.733,0.71,0.29,0.088,6.952
14L,1.125,1.309,14021.25,1.394,76.952,82.083,64.495,76.746,7.726,39.116,0.731,0.269,0.085,5.131
14Y,1.063,1.268,13058.5,1.258,69.808,72.512,52.838,70.657,6.669,12.351,0.806,0.194,-0.01,2.705
15A,1.085,1.269,12392.0,1.358,74.278,81.04,62.352,75.73,5.969,12.253,0.727,0.273,0.089,6.763
15C,1.13,1.36,23324.25,1.358,71.7,77.237,58.587,75.121,5.173,19.058,0.773,0.227,-0.003,5.537
15E,1.12,1.313,39145.25,1.461,59.373,69.188,56.665,71.211,8.847,38.015,0.659,0.341,0.148,9.815
15F,1.088,1.308,21608.5,1.392,59.053,70.013,58.61,74.244,7.718,27.036,0.696,0.304,0.083,10.961
15M,1.168,1.399,26700.75,1.52,56.827,67.683,58.32,72.135,8.764,20.645,0.648,0.352,0.121,10.855
15N,1.168,1.4,37880.25,1.388,68.907,78.27,65.759,79.701,3.874,19.99,0.781,0.219,-0.012,9.362
16C,1.213,1.473,16648.0,1.498,61.237,70.638,59.669,74.977,7.483,32.102,0.715,0.285,0.024,9.401
18C,1.098,1.366,22490.75,1.396,74.381,82.197,71.396,80.872,4.1,17.606,0.702,0.298,0.03,7.815
26A,1.112,1.338,30201.5,1.435,67.038,75.839,66.668,77.587,6.806,22.015,0.677,0.323,0.097,8.802
27D,1.183,1.43,17211.75,1.441,71.346,80.717,64.629,78.619,5.938,16.563,0.742,0.258,0.011,9.37
36J,1.106,1.3,20572.75,1.39,62.127,72.602,51.555,67.208,10.035,37.752,0.716,0.284,0.09,10.475
36L,1.082,1.295,36526.25,1.332,76.555,81.162,65.89,77.474,5.064,16.454,0.75,0.25,0.037,4.607
42D,1.107,1.37,15434.25,1.425,71.259,80.073,76.681,84.971,3.116,15.934,0.682,0.318,0.055,8.814
52R,1.127,1.317,28503.25,1.383,67.906,75.046,56.031,70.909,9.407,24.076,0.745,0.255,0.066,7.139
70F,1.097,1.309,25640.75,1.34,67.662,74.925,56.721,73.306,6.304,15.135,0.757,0.243,0.031,7.263
71E,1.115,1.334,23694.25,1.425,62.201,69.867,61.625,74.374,5.387,20.785,0.69,0.31,0.091,7.666
72Q,1.116,1.298,37721.75,1.318,72.925,78.021,60.778,74.455,5.647,20.524,0.797,0.203,0.021,5.096
78H,1.246,1.474,19200.5,1.421,67.769,74.618,53.063,70.299,8.447,16.966,0.824,0.176,-0.053,6.849
84H,1.083,1.344,17351.0,1.425,73.775,81.269,72.165,82.056,5.463,30.106,0.658,0.342,0.081,7.494
91Q,1.098,1.276,44283.25,1.377,63.379,71.552,53.953,70.854,7.332,20.45,0.721,0.279,0.1,8.174
92A,1.125,1.333,30300.75,1.37,71.249,79.479,60.369,77.041,4.719,10.523,0.754,0.246,0.037,8.229
92G,1.101,1.32,26085.75,1.418,68.426,77.647,64.225,78.477,5.251,13.502,0.683,0.317,0.098,9.221
93C,1.126,1.264,35137.75,1.308,80.157,84.181,61.214,73.198,6.637,25.0,0.819,0.181,0.044,4.024
97R,1.089,1.297,14885.5,1.461,53.004,62.056,52.697,71.908,8.528,21.738,0.628,0.372,0.164,9.052
99A,1.136,1.312,12761.5,1.375,69.384,75.689,58.911,73.465,9.881,38.981,0.762,0.238,0.062,6.305
99C,1.094,1.278,5525.75,1.461,61.59,71.013,69.842,79.912,4.903,19.533,0.633,0.367,0.183,9.422
99E,1.134,1.368,7529.25,1.271,68.7,72.049,52.111,70.594,6.935,21.383,0.863,0.137,-0.097,3.349
99F,1.136,1.358,3905.0,1.335,65.544,71.462,55.535,72.014,7.274,15.774,0.801,0.199,-0.023,5.918
99G,1.065,1.278,4477.0,1.424,59.994,66.785,57.135,74.405,5.571,25.49,0.641,0.359,0.146,6.791
A3A8R,1.089,1.241,51238.25,1.329,72.597,78.12,59.877,70.172,8.446,26.277,0.761,0.239,0.088,5.523
B2M3M,1.23,1.422,23017.25,1.425,74.406,81.314,67.778,78.19,5.93,21.349,0.805,0.195,0.003,6.908
D2P2L,1.148,1.341,34267.5,1.419,69.148,78.587,62.877,73.183,8.319,31.094,0.729,0.271,0.078,9.44
D9Y0V,1.092,1.347,47488.5,1.36,66.248,73.27,59.367,74.401,5.687,16.182,0.733,0.267,0.013,7.022
M1J4Y,1.214,1.463,27136.25,1.353,69.431,75.807,51.339,68.794,7.935,20.966,0.861,0.139,-0.11,6.376
M2L0M,1.177,1.369,11898.5,1.532,67.285,73.864,63.134,77.078,7.097,19.614,0.645,0.355,0.162,6.579
W2U3Z,1.084,1.267,65672.75,1.338,80.411,85.266,67.825,75.937,6.982,24.305,0.745,0.255,0.072,4.855
X2C4Y,1.089,1.342,12668.5,1.346,75.486,80.072,67.676,77.919,7.222,26.606,0.743,0.257,0.004,4.586
