period,prac,patients,gp_fte,gp_fte_fq,nurse_fte,dpc_fte,admin_fte,gp_exrl_fte,nurses_fte,date,gp_fte_fq_per10k
201803,A81001,4086.0,2.0,2.0,1.0,,6.746666667,,,2018-03-31,4.894762604013706
201806,A81001,4108.0,2.0,2.0,1.0,0.32,6.293333333,,,2018-06-30,4.868549172346641
201809,A81001,4089.0,3.066666667,2.0,1.0,0.426666667,6.293333333,,,2018-09-30,4.8911714355588165
201812,A81001,4088.0,3.066666667,2.0,1.0,0.426666667,6.293333333,,,2018-12-31,4.892367906066536
201903,A81001,4117.0,3.066666667,2.0,1.266666667,0.426666667,6.666666667,,,2019-03-31,4.857906242409522
201906,A81001,4096.0,3.066666667,,,0.426666667,6.666666667,2.0,0.84,2019-06-30,
201909,A81001,4103.0,3.066666667,2.0,0.84,0.426666667,6.24,,,2019-09-30,4.874482086278333
201912,A81001,4118.0,3.066666667,,,0.426666667,6.64,2.0,1.053333333,2019-12-31,
202006,A81001,4095.0,3.066666667,,,0.426666667,6.64,2.0,1.053333333,2020-06-30,
202009,A81001,4092.0,3.066666667,,,0.426666667,6.64,2.0,1.053333333,2020-09-30,
202012,A81001,4100.0,3.066666667,,,0.426666667,7.28,2.0,1.053333333,2020-12-31,
202103,A81001,4098.0,3.066666667,,,0.426666667,6.893333333,2.0,1.053333333,2021-03-31,
202106,A81001,4075.0,3.066666667,,,0.426666667,6.893333333,,1.053333333,2021-06-30,
202109,A81001,4073.0,3.066666667,,,0.426666667,6.893333333,,1.053333333,2021-09-30,
202112,A81001,4036.0,3.066666667,,,0.426666667,6.893333333,,1.053333333,2021-12-31,
202203,A81001,4045.0,2.64,,,0.426666667,8.36,,1.053333333,2022-03-31,
202206,A81001,4061.0,2.64,,,0.426666667,6.866666667,,0.573333333,2022-06-30,
202209,A81001,4034.0,4.133333333,,,0.426666667,7.293333333,,0.52,2022-09-30,
202212,A81001,4019.0,4.133333333,,,0.426666667,7.293333333,,0.52,2022-12-31,
202303,A81001,3996.0,4.133333333,,,0.426666667,7.293333333,,0.52,2023-03-31,
202306,A81001,3979.0,4.133333333,,,0.426666667,7.293333333,,0.52,2023-06-30,
202309,A81001,3942.0,4.133333333,,,0.426666667,7.293333333,,0.52,2023-09-30,
202312,A81001,3885.0,3.066666667,,,0.426666667,7.293333333,,0.52,2023-12-31,
202403,A81001,3892.0,4.666666667,,,0.426666667,7.293333333,,0.52,2024-03-31,
202406,A81001,3901.0,4.666666667,,,0.426666667,7.293333333,,0.52,2024-06-30,
202409,A81001,3880.0,4.56,,,0.426666667,7.293333333,,0.52,2024-09-30,
202412,A81001,3889.0,4.453333333,,,0.426666667,7.293333333,,0.52,2024-12-31,
202503,A81001,3904.0,3.706666667,,,0.426666667,7.293333333,,0.52,2025-03-31,
202506,A81001,3874.0,4.84,,,0.426666667,4.2,,,2025-06-30,
202509,A81001,3827.0,3.7733333334,,,0.4266666667,5.1066666666,,,2025-09-30,
202512,A81001,3749.0,4.6266666667,,,0.4266666667,5.2933333334,,,2025-12-31,
202603,A81001,3747.0,3.9866666667,,,0.4266666667,5.2933333334,,,2026-03-31,
201803,A81002,19906.0,10.0,10.0,3.946666667,4.053333333,24.18666667,,,2018-03-31,5.023610971566361
201806,A81002,19835.0,10.0,10.0,3.946666667,4.053333333,24.18666667,,,2018-06-30,5.041593143433325
201809,A81002,19700.0,12.13333333,10.0,2.56,3.413333333,21.86666667,,,2018-09-30,5.0761421319796955
201812,A81002,19599.0,11.63333333,9.5,2.56,3.44,28.35066667,,,2018-12-31,4.847186080922496
201903,A81002,19572.0,10.56666667,9.5,2.56,3.44,28.35066667,,,2019-03-31,4.853872879623952
201906,A81002,19477.0,10.70666667,,,3.853333333,27.044,9.0,1.146666667,2019-06-30,
201909,A81002,19357.0,11.70666667,10.0,5.2,3.853333333,29.59066667,,,2019-09-30,5.166089786640492
201912,A81002,19276.0,10.70666667,,,3.853333333,28.95706667,9.0,5.694855154,2019-12-31,
202006,A81002,19124.0,9.456666667,,,4.226666667,29.4736,7.5,6.333333333,2020-06-30,
202009,A81002,19033.0,9.7,,,4.226666667,29.4736,7.993333333,6.333333333,2020-09-30,
202012,A81002,18917.0,8.633333333,,,4.226666667,28.7936,7.993333333,5.706666667,2020-12-31,
202103,A81002,18809.0,8.846666667,,,4.226666667,28.78026667,7.993333333,5.253333333,2021-03-31,
202106,A81002,18718.0,10.98,,,4.226666667,27.86026667,,7.2,2021-06-30,
202109,A81002,18623.0,11.2,,,4.64,27.96,,6.413333333,2021-09-30,
202112,A81002,18551.0,9.633333333,,,4.64,28.52,,6.2,2021-12-31,
202203,A81002,18490.0,10.66666667,,,5.64,27.53333333,,6.2,2022-03-31,
202206,A81002,18408.0,10.66666667,,,5.08,28.2,,6.36,2022-06-30,
202209,A81002,18381.0,10.66666667,,,4.493333333,27.82666667,,7.786666667,2022-09-30,
202212,A81002,18288.0,11.52,,,4.493333333,27.62666667,,7.573333333,2022-12-31,
202303,A81002,18315.0,10.98666667,,,4.493333333,26.88,,7.573333333,2023-03-31,
202306,A81002,18327.0,9.986666667,,,3.493333333,26.16,,7.573333333,2023-06-30,
202309,A81002,18433.0,9.133333333,,,3.493333333,26.53333333,,7.573333333,2023-09-30,
202312,A81002,18526.0,9.133333333,,,4.493333333,26.53333333,,7.573333333,2023-12-31,
202403,A81002,18634.0,9.773333333,,,4.493333333,26.53333333,,7.093333333,2024-03-31,
202406,A81002,18726.0,10.05333333,,,4.493333333,25.53333333,,7.093333333,2024-06-30,
202409,A81002,18766.0,10.26666667,,,4.493333333,24.32,,6.333333333,2024-09-30,
202412,A81002,18742.0,9.906666667,,,4.213333333,25.99561955,,7.053333333,2024-12-31,
202503,A81002,18758.0,9.32,,,5.186666667,26.0,,6.48,2025-03-31,
202506,A81002,18735.0,9.32,,,4.493333333,23.68,,7.48,2025-06-30,
202509,A81002,18706.0,8.2533333333,,7.48,3.6933333333,24.4000000004,,,2025-09-30,
202512,A81002,18649.0,9.32,,7.48,3.6933333333,25.0666666671,,,2025-12-31,
202603,A81002,18654.0,9.5333333333,,7.48,3.6933333333,25.6800000004,,,2026-03-31,
201803,A81004,10165.0,2.96,2.96,3.506666667,,11.00053333,,,2018-03-31,2.911952779144122
201806,A81004,10319.0,2.713333333,2.713333333,3.986666667,1.48,11.1072,,,2018-06-30,2.6294537581160964
201809,A81004,10495.0,2.466666667,2.466666667,3.986666667,0.48,10.20053333,,,2018-09-30,2.350325552167699
201812,A81004,10606.0,4.146051282,3.453333333,4.516533333,0.906666667,10.8152,,,2018-12-31,3.2560186055063167
201903,A81004,10806.0,3.453333333,3.453333333,5.449866667,1.356183862,10.92186667,,,2019-03-31,3.1957554441976677
201906,A81004,10889.0,3.453333333,,,1.362625996,10.92186667,3.453333333,5.449866667,2019-06-30,
201909,A81004,10941.0,3.186666667,3.186666667,5.129866667,2.245831876,12.62853333,,,2019-09-30,2.912591780458824
201912,A81004,10954.0,3.186666667,,,1.768224432,13.0952,3.186666667,5.476533333,2019-12-31,
202006,A81004,11029.0,3.053333333,,,1.733333333,11.90853333,3.053333333,4.96,2020-06-30,
202009,A81004,11004.0,3.053333333,,,2.673909418,12.34853333,3.053333333,4.106666667,2020-09-30,
202012,A81004,11011.0,3.053333333,,,2.52535564,12.4552,3.053333333,5.106666667,2020-12-31,
202103,A81004,11029.0,3.053333333,,,1.84,12.58853333,3.053333333,5.106666667,2021-03-31,
202106,A81004,10969.0,3.053333333,,,1.413333333,13.94853333,,5.106666667,2021-06-30,
202109,A81004,10987.0,2.56,,,2.653333333,14.65333333,,5.106666667,2021-09-30,
202112,A81004,11079.0,2.56,,,2.653333333,15.17333333,,5.106666667,2021-12-31,
202203,A81004,11104.0,2.56,,,2.753333333,15.8,,6.973333333,2022-03-31,
202206,A81004,11110.0,2.56,,,3.073333333,16.65333333,,7.293333333,2022-06-30,
202209,A81004,11183.0,2.56,,,2.873333333,15.65333333,,7.333333333,2022-09-30,
202212,A81004,11209.0,2.56,,,2.873333333,15.18666667,,7.333333333,2022-12-31,
202303,A81004,11276.0,2.56,,,3.633333333,15.50666667,,8.333333333,2023-03-31,
202306,A81004,11251.0,1.56,,,2.86,16.53333333,,6.4,2023-06-30,
202309,A81004,11306.0,1.56,,,1.3,16.53333333,,6.4,2023-09-30,
202312,A81004,11287.0,2.0,,,1.3,16.72,,6.2,2023-12-31,
202403,A81004,11235.0,3.013333333,,,1.486666667,16.44,,4.906666667,2024-03-31,
202406,A81004,11202.0,3.013333333,,,1.486666667,15.46666667,,4.906666667,2024-06-30,
202409,A81004,11284.0,3.773333333,,,3.353333333,15.48,,5.506666667,2024-09-30,
202412,A81004,11327.0,3.773333333,,,3.366666667,16.10666667,,5.613333333,2024-12-31,
202503,A81004,11346.0,3.266666667,,,0.9,16.01333333,,5.746666667,2025-03-31,
202506,A81004,11327.0,3.266666667,,,0.9,15.78666667,,5.146666667,2025-06-30,
202509,A81004,11431.0,4.0266666667,,5.8327292856,0.9,16.6799411628,,,2025-09-30,
202512,A81004,11398.0,3.52,,5.7409749963,0.9,16.2947208789,,,2025-12-31,
202603,A81004,11437.0,4.0666666667,,5.0533333333,0.9,15.6418984976,,,2026-03-31,
201803,A81005,8016.0,6.820266667,4.450133333,1.813333333,0.853333333,12.93333333,,,2018-03-31,5.5515635391716565
201806,A81005,8013.0,6.820266667,4.450133333,1.810133333,0.853333333,12.93333333,,,2018-06-30,5.553641998003245
201809,A81005,8045.0,8.0768,4.450133333,1.810133333,1.853333333,11.94026667,,,2018-09-30,5.5315516880049715
201812,A81005,8047.0,7.223466667,4.450133333,1.810133333,1.853333333,11.94373333,,,2018-12-31,5.530176877097055
201903,A81005,8051.0,7.010133333,4.450133333,1.810133333,1.853333333,12.15706667,,,2019-03-31,5.527429304434232
201906,A81005,8059.0,6.370133333,,,1.853333333,12.15706667,4.450133333,1.490133333,2019-06-30,
201909,A81005,8072.0,8.0768,4.450133333,2.050133333,0.853333333,12.15706667,,,2019-09-30,5.513049223240833
201912,A81005,8135.0,6.370133333,,,0.853333333,12.15706667,4.450133333,2.050133333,2019-12-31,
202006,A81005,8141.0,6.1568,,,0.853333333,12.07706667,4.450133333,2.050133333,2020-06-30,
202009,A81005,8157.0,7.223466667,,,0.853333333,12.55706667,4.450133333,2.050133333,2020-09-30,
202012,A81005,8166.0,8.850133333,,,0.64,13.11706667,5.010133333,2.050133333,2020-12-31,
202103,A81005,8146.0,7.783466667,,,0.64,13.11706667,5.010133333,2.050133333,2021-03-31,
202106,A81005,8107.0,7.6368,,,0.64,14.10373333,,2.050133333,2021-06-30,
202109,A81005,8118.0,8.063466667,,,0.64,13.11706667,,2.370133333,2021-09-30,
202112,A81005,8104.0,6.186666667,,,0.64,14.5536,,1.946666667,2021-12-31,
202203,A81005,8082.0,7.253333333,,,0.64,14.5536,,1.946666667,2022-03-31,
202206,A81005,8068.0,7.253333333,,,0.64,13.24693333,,2.16,2022-06-30,
202209,A81005,8069.0,7.253333333,,,0.613333333,12.95013333,,2.16,2022-09-30,
202212,A81005,8032.0,5.973333333,,,0.613333333,12.95013333,,2.16,2022-12-31,
202303,A81005,8005.0,5.76,,,0.613333333,12.55013333,,2.16,2023-03-31,
202306,A81005,7997.0,5.226666667,,,0.613333333,11.91013333,,2.16,2023-06-30,
202309,A81005,7964.0,6.293333333,,,0.613333333,13.19013333,,1.6,2023-09-30,
202312,A81005,7933.0,5.44,,,0.613333333,12.55013333,,1.6,2023-12-31,
202403,A81005,7872.0,5.44,,,1.2,13.08346667,,1.706666667,2024-03-31,
202406,A81005,7800.0,5.44,,,1.2,13.51013333,,1.52,2024-06-30,
202409,A81005,7784.0,6.506666667,,,0.613333333,12.11013333,,1.626666667,2024-09-30,
202412,A81005,7726.0,5.44,,,1.04,11.31013333,,1.626666667,2024-12-31,
202503,A81005,7677.0,5.906666667,,,0.613333333,12.88346667,,2.0,2025-03-31,
202506,A81005,7615.0,5.906666667,,,0.613333333,12.88346667,,2.0,2025-06-30,
202509,A81005,7591.0,7.0400000001,,1.5200000001,1.4666666666,12.8834666665,,,2025-09-30,
202512,A81005,7585.0,7.6800000001,,1.7333333334,1.4666666666,12.8834666665,,,2025-12-31,
202603,A81005,7571.0,8.0000000001,,1.7333333334,1.4666666666,13.0301333332,,,2026-03-31,
201803,A81006,14497.0,5.6,5.6,3.52,3.053333333,13.05333333,,,2018-03-31,3.86286817962337
201806,A81006,14513.0,5.6,5.6,2.8,3.853333333,15.32,,,2018-06-30,3.8586095224970713
201809,A81006,14563.0,7.306666667,5.6,2.493333333,4.346666667,14.05333333,,,2018-09-30,3.8453615326512396
201812,A81006,14585.0,7.306666667,5.6,3.16,4.346666667,13.93333333,,,2018-12-31,3.8395611930065137
201903,A81006,14711.0,7.306666667,5.6,3.16,4.346666667,13.93333333,,,2019-03-31,3.8066752770036025
201906,A81006,14759.0,7.306666667,,,3.853333333,14.93333333,5.6,3.16,2019-06-30,
201909,A81006,14784.0,7.52,5.6,3.16,3.853333333,15.73333333,,,2019-09-30,3.787878787878788
201912,A81006,14784.0,6.986666667,,,3.853333333,15.33333333,5.6,3.16,2019-12-31,
202006,A81006,14688.0,8.586666667,,,4.453333333,14.97333333,5.6,3.093333333,2020-06-30,
202009,A81006,14699.0,8.76,,,5.36,15.04,6.2,3.293333333,2020-09-30,
202012,A81006,14647.0,9.186666667,,,5.36,14.50666667,6.2,3.293333333,2020-12-31,
202103,A81006,14629.0,9.186666667,,,5.36,13.50666667,6.2,2.693333333,2021-03-31,
202106,A81006,14627.0,8.333333333,,,5.36,15.98666667,,2.693333333,2021-06-30,
202109,A81006,14578.0,9.933333333,,,5.36,16.56,,2.693333333,2021-09-30,
202112,A81006,14568.0,9.933333333,,,5.36,15.25333333,,2.293333333,2021-12-31,
202203,A81006,14534.0,11.10666667,,,3.56,14.25333333,,3.293333333,2022-03-31,
202206,A81006,14513.0,10.78666667,,,4.36,18.29333333,,5.693333333,2022-06-30,
202209,A81006,14441.0,9.72,,,4.36,18.09333333,,4.706666667,2022-09-30,
202212,A81006,14407.0,9.72,,,4.36,18.89333333,,5.0,2022-12-31,
202303,A81006,14383.0,8.92,,,4.36,18.89333333,,5.0,2023-03-31,
202306,A81006,14377.0,8.22,,,4.36,18.34666667,,5.64,2023-06-30,
202309,A81006,14412.0,7.9,,,4.36,18.34666667,,5.64,2023-09-30,
202312,A81006,14384.0,7.9,,,4.36,16.54666667,,5.64,2023-12-31,
202403,A81006,14449.0,8.966666667,,,4.16,16.54666667,,5.64,2024-03-31,
202406,A81006,14605.0,7.9,,,4.16,16.54666667,,5.64,2024-06-30,
202409,A81006,14729.0,8.22,,,4.16,16.54666667,,5.64,2024-09-30,
202412,A81006,14739.0,7.366666667,,,3.306666667,18.57333333,,5.64,2024-12-31,
202503,A81006,14709.0,8.22,,,3.306666667,18.37333333,,5.64,2025-03-31,
202506,A81006,14649.0,8.22,,,3.306666667,18.37333333,,5.64,2025-06-30,
202509,A81006,14609.0,8.5399999999,,5.64,3.3066666667,17.7733333333,,,2025-09-30,
202512,A81006,14591.0,7.6866666666,,5.84,3.3066666667,17.7733333333,,,2025-12-31,
202603,A81006,14584.0,9.6066666666,,4.84,3.3066666667,16.8,,,2026-03-31,
201803,A81007,9999.0,8.010933333,4.340533333,2.173333333,1.0,14.16,,,2018-03-31,4.340967429742974
201806,A81007,10027.0,8.010933333,5.010666667,2.173333333,2.0,13.53333333,,,2018-06-30,4.99717429639972
201809,A81007,10029.0,8.637333333,5.010666667,2.173333333,2.0,12.53333333,,,2018-09-30,4.99617775152059
201812,A81007,10011.0,8.637333333,5.010666667,2.173333333,2.0,13.53333333,,,2018-12-31,5.005160989911098
201903,A81007,9999.0,8.850666667,5.010666667,2.173333333,2.0,13.62666667,,,2019-03-31,5.011167783778378
201906,A81007,9986.0,8.850666667,,,2.0,13.62666667,5.010666667,2.173333333,2019-06-30,
201909,A81007,9940.0,7.357333333,5.010666667,2.173333333,2.0,13.62666667,,,2019-09-30,5.040912139839034
201912,A81007,9890.0,6.824,,,2.0,13.62666667,5.010666667,2.173333333,2019-12-31,
202006,A81007,9875.0,5.293866667,,,2.0,14.62666667,4.653866667,2.173333333,2020-06-30,
202009,A81007,9907.0,5.7904,,,2.0,14.62666667,3.2304,2.173333333,2020-09-30,
202012,A81007,9913.0,5.7904,,,2.0,15.62666667,3.657066667,2.173333333,2020-12-31,
