gp_code,gp_name,pcn_name,region,satisfaction_2026,access_satisfaction_2026,phone_easy_2026,has_pref_hcp_2026,continuity_2026,gpps_n_2026,satisfaction,access_satisfaction,phone_easy,has_pref_hcp,continuity,gpps_n,imd_score,list_size,appts_percap,sd_share,gp_per10k
A81622,GLADSTONE HOUSE SURGERY,HARTLEPOOL PCN,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,57.486279807093396,54.774454629374304,41.5075636222405,10.3601328853711,24.02275436522488,56.1879363871817,71.2191945,52.888997399999994,28.5018384,31.4905979,8.3425082,62.10879608,45.48,5866.0,569.4112967382657,47.467691232972406,2.56392771888851
A82071,BURNETT EDGAR MEDICAL CTR,BARROW TOGETHER PCN,NORTH WEST COMMISSIONING REGION,84.2605980678147,80.03072762321291,75.8261085295526,35.8758401381716,37.692737657732216,44.1279593520949,91.1239341,89.2770568,89.7176631,51.950703600000004,76.1776497,48.70004189,23.75,4216.0,537.0414294750158,33.54803091645197,6.087919038662239
A82613,WRAYSDALE HOUSE SURGERY,GRANGE AND LAKES PCN,NORTH WEST COMMISSIONING REGION,95.19249197076219,94.71676954528606,93.7778999207634,15.5262867353326,60.25314902323471,10.9303521876742,100.0,100.0,99.2464273,29.9689231,86.9811097,12.93875649,16.77,1109.0,421.40066125638714,32.596291012838805,12.744214007213706
A84614,THE ADDERLANE SURGERY, ,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,93.73151776410126,98.3738766483499,96.71417223150156,56.0626843818879,91.1303581168593,23.0159804335264,99.324529,99.69673139999999,98.80217019999999,51.9836352,97.7104326,23.97212718,18.58,2210.0,488.2730015082956,55.162560815506986,6.01870286561086
A85014,CRAWCROOK MEDICAL CENTRE,GATESHEAD OUTER WEST PCN,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,62.178081659092896,62.1203505428463,32.85526923289273,18.2013954261762,47.294918286615,211.417126069729,67.48022209999999,63.8426049,23.6041508,11.2058079,24.4023078,230.4723716,19.62,20553.0,457.6136492645032,31.040012758718458,3.885888515934413
A89032,NEW SILKSWORTH MEDICAL PRACTICE,SUNDERLAND CENTRAL PCN,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,77.57407920796629,66.40430170903791,38.668938048361,29.853737948430798,39.220686303669275,96.5422330219701,74.2335435,67.9890667,30.958457499999998,39.0768804,21.883617100000002,105.625041,26.08,9419.0,349.48862228828256,38.29679509898233,4.977173797643062
B81648,THE KILLINGHOLME SURGERY,NORTH LINCOLNSHIRE EAST PCN,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,91.46540906639311,82.59983681484331,96.43788451564829,37.6840382010398,77.9114348478012,17.10009800056,83.2563674,86.381021,91.9963912,42.003314200000005,75.34227440000001,18.45431623,25.6,1639.0,659.3959731543624,30.711697123910863,8.541793776693105
B83054,HAIGH HALL MEDICAL PRACTICE,AFFINITY CARE PCN,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,70.7919217155231,50.90835351204339,26.39022270876103,41.531455505333795,28.8833505511085,63.1490433221854,70.916176,63.05450770000001,41.3704399,43.1663452,31.1851631,70.0987883,,6340.0,467.2844374342797,60.21490253438722,4.100946372082019
B86104,BRAMLEY VILLAGE HEALTH & WELLBEING CTR, ,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,68.0421468091797,50.8605045563193,49.3441054324264,19.3679139735019,24.822166206969086,161.365026911421,63.54599210000001,52.9152639,44.175047,16.694252300000002,23.4298488,169.6750896,37.36,17357.0,342.50830596685296,28.66454533985618,3.5816481342974016
C81033,SHIRES HEALTHCARE,NORTH HARDWICK AND BOLSOVER PCN,MIDLANDS COMMISSIONING REGION,87.47517225372721,82.3174189042298,59.352623583100005,35.4648101888058,40.0257720381761,165.377116218307,79.72449569999999,75.4386638,60.8483392,52.0778454,32.2395512,180.2717138,35.26,16209.0,672.4710551751085,43.36281832707701,7.91329919600222
C87015,WICKERSLEY HEALTH CENTRE,MALTBY WICKERSLEY PCN,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,78.6781561501243,75.3080957012931,44.630936046903194,44.820294135711194,51.3099854288372,70.2846492413821,79.75045109999999,56.085386199999995,37.956178699999995,39.947456599999995,33.366875,76.84849099,16.5,6866.0,641.4093601320517,48.25628701723844,3.262452665307312
C88069,CLOVER GROUP PRACTICE,SEVEN HILLS PCN,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,61.3921007303541,53.9819689081033,43.0924045924591,29.692215327971898,24.62799986768244,151.819311034136,59.5303708,56.806829699999994,40.6196868,18.7652758,33.3403115,161.3280943,49.28,16050.0,626.6458982346833,53.1054253803069,7.864257528535826
C88082,CARRFIELD MEDICAL CENTRE,HEELEY PLUS PCN,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,79.17587473006739,79.06424257634418,71.4442633604202,22.2554913409422,32.44658525859212,67.8164245305809,76.7273232,80.1117259,66.6234753,23.6246488,44.4288956,62.532815,28.64,6478.0,374.72985489348565,25.753518709234466,4.4869815787280025
C88086,SOUTHEY GREEN MEDICAL CTR,FOUNDRY PCN,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,70.39120148119939,64.0616773397968,40.586584152737906,49.2488160195686,48.739235456950006,24.6146443411948,61.9803728,59.55211419999999,53.6578478,43.8500254,41.3070708,26.73781519,51.98,2666.0,365.52888222055515,44.65537882674876,6.50162540660165
D83064,GLEMSFORD SURGERY,WEST SUFFOLK RURAL PCN,EAST OF ENGLAND COMMISSIONING REGION,66.9980568258657,71.8526008531791,38.97270167411801,19.5046396317004,-19400.0,38.4169570910744,61.0789162,50.6649489,33.9159389,26.9188818,35.001105700000004,52.4279688,,4701.0,738.2294547259448,34.806099171569215,
D83070,STANTON SURGERY,BLACKBOURNE PCN,EAST OF ENGLAND COMMISSIONING REGION,85.9809884177133,79.3253057594854,78.2164233375333,40.5944116231098,45.9459238198278,54.1145107020001,87.86483380000001,80.3558414,73.3307345,44.5138988,32.6899043,59.10177171,17.18,5291.0,500.56700056700055,28.453212510225914,9.273609273672273
E82105,ABBOTSWOOD MEDICAL CENTRE,NORTH WATFORD PCN,EAST OF ENGLAND COMMISSIONING REGION,84.8103704192704,82.1919430622098,87.2631256458734,22.911491323933202,78.0637287264844,48.951728179691,86.2770402,90.48828209999999,89.4491537,25.5379912,60.3597862,51.95921541,15.36,5001.0,331.5836832633473,46.489773355444996,0.7781278694261148
E83049,LANGSTONE WAY SURGERY,BARNET 4 PCN,LONDON COMMISSIONING REGION,53.7473468188185,55.74826802806101,35.08668124335586,49.5255821115426,27.14085592419067,73.2493763372148,34.835716,33.1711407,21.3307618,37.3188397,16.164178,84.89403978,,9122.0,290.7805305853979,60.4052780395853,2.2655850325586497
E86034,CHURCH ROAD SURGERY, ,LONDON COMMISSIONING REGION,69.66827403154741,66.2148757773884,65.0356130303048,26.2278054038751,26.36458045631473,26.5318744132198,71.6418107,76.43421740000001,70.2809135,27.0752643,42.7462598,29.70521935,22.2,2797.0,447.175545227029,47.54480644946366,2.1928256464068645
