section,measure,group,value,unit,weighted_base_n,ci95_low,ci95_high,period,source,note
demand_capacity_ledger,"Inbound calls per 1,000 registered patients per month",most_deprived,721,"per 1,000 patients/month",881,,,Oct 2024 - Mar 2026,NHSE cloud-based telephony (via cbt_volumes_panel.csv),practices in both telephony and GPAD panels; ratio of sums (list-size-weighted)
demand_capacity_ledger,"Inbound calls per 1,000 registered patients per month",least_deprived,535,"per 1,000 patients/month",1063,,,Oct 2024 - Mar 2026,NHSE cloud-based telephony (via cbt_volumes_panel.csv),practices in both telephony and GPAD panels; ratio of sums (list-size-weighted)
demand_capacity_ledger,"Answered calls per 1,000 registered patients per month",most_deprived,394,"per 1,000 patients/month",881,,,Oct 2024 - Mar 2026,NHSE cloud-based telephony (via cbt_volumes_panel.csv),practices in both telephony and GPAD panels; ratio of sums (list-size-weighted)
demand_capacity_ledger,"Answered calls per 1,000 registered patients per month",least_deprived,299,"per 1,000 patients/month",1063,,,Oct 2024 - Mar 2026,NHSE cloud-based telephony (via cbt_volumes_panel.csv),practices in both telephony and GPAD panels; ratio of sums (list-size-weighted)
demand_capacity_ledger,"Online consultation submissions per 1,000 registered patients per month",most_deprived,95,"per 1,000 patients/month",881,,,Oct 2024 - Mar 2026,NHSE appointments + OC submissions (via panel_merged.parquet),practices in both telephony and GPAD panels; ratio of sums (list-size-weighted)
demand_capacity_ledger,"Online consultation submissions per 1,000 registered patients per month",least_deprived,119,"per 1,000 patients/month",1063,,,Oct 2024 - Mar 2026,NHSE appointments + OC submissions (via panel_merged.parquet),practices in both telephony and GPAD panels; ratio of sums (list-size-weighted)
demand_capacity_ledger,"Patient-initiated contacts (answered calls + OC) per 1,000 per month",most_deprived,489,"per 1,000 patients/month",881,,,Oct 2024 - Mar 2026,NHSE cloud-based telephony (via cbt_volumes_panel.csv) + NHSE appointments + OC submissions (via panel_merged.parquet),practices in both telephony and GPAD panels; ratio of sums (list-size-weighted)
demand_capacity_ledger,"Patient-initiated contacts (answered calls + OC) per 1,000 per month",least_deprived,418,"per 1,000 patients/month",1063,,,Oct 2024 - Mar 2026,NHSE cloud-based telephony (via cbt_volumes_panel.csv) + NHSE appointments + OC submissions (via panel_merged.parquet),practices in both telephony and GPAD panels; ratio of sums (list-size-weighted)
demand_capacity_ledger,"Appointments delivered per 1,000 registered patients per month",most_deprived,493,"per 1,000 patients/month",881,,,Oct 2024 - Mar 2026,NHSE appointments + OC submissions (via panel_merged.parquet),practices in both telephony and GPAD panels; ratio of sums (list-size-weighted)
demand_capacity_ledger,"Appointments delivered per 1,000 registered patients per month",least_deprived,492,"per 1,000 patients/month",1063,,,Oct 2024 - Mar 2026,NHSE appointments + OC submissions (via panel_merged.parquet),practices in both telephony and GPAD panels; ratio of sums (list-size-weighted)
